k,esv,delta_esv
2,0.2500453289221484,
3,0.5240161485080022,0.27397081958585373
4,0.6389878955624669,0.11497174705446478
5,0.6909207051540511,0.051932809591584195
6,0.7431697146183324,0.05224900946428124
7,0.7877611133483882,0.0445913987300558
8,0.8357144483166468,0.0479533349682586
9,0.8678713921047346,0.032156943788087866
10,0.8870396591461319,0.01916826704139729
11,0.894696034498496,0.007656375352364075
12,0.9133141288797276,0.01861809438123163
13,0.9242346818833628,0.010920553003635147
14,0.9311469567826105,0.006912274899247728
15,0.9380299260067098,0.006882969224099256
