,ACH-000828,ACH-000117,ACH-000017,ACH-000276,ACH-000554,ACH-000818,ACH-000856,ACH-000223,ACH-000019,ACH-000330,ACH-000643,ACH-000573,ACH-000711,ACH-000248,ACH-000783,ACH-000857,ACH-002499,ACH-000759,ACH-000196,ACH-000910,ACH-000258,ACH-000691,ACH-000147,ACH-000930,ACH-000374,ACH-000148,ACH-001705,ACH-001392,ACH-000668,ACH-000876,ACH-000699,ACH-000044,ACH-002921,ACH-001396,ACH-000352,ACH-001419,ACH-001390,ACH-001389,ACH-001388,ACH-001395,ACH-001683,ACH-000536,ACH-000568,ACH-000111,ACH-001819,ACH-002401,ACH-000212,ACH-000621,ACH-000849,ACH-000028,ACH-000277,ACH-001394,ACH-000721,ACH-000902,ACH-000097,ACH-000927,ACH-002399,ACH-001391,ACH-000768,ACH-000288,ACH-001662,ACH-000934,ACH-001393
TSPAN6,3.687934105679567,3.6966170652124264,2.7240564838179626,4.222209496618827,4.116630912036307,3.718613698975485,5.942286940369878,5.202954420268883,2.7617129116030625,3.793677433452757,4.763740870805563,3.150465443416414,4.8239531164050575,3.738216589573339,1.7972329979995436,5.090883062967466,4.96510548124777,5.373335001859012,4.640198653533789,0.274599219858716,0.0873596424317894,3.873291529448948,3.6362301816519342,4.701138700997968,5.316167469464702,2.5230148827462764,5.461646421900204,2.522967192215189,5.332937028310038,3.75271648359345,3.719062937002457,0.6678430886566997,3.912630705473291,3.2036851063725624,3.7515279918622824,5.090087006830574,3.705834177776373,4.189334354552731,0.6370416803651248,3.276451999467784,4.288609572246593,3.5877850156981452,2.3682459234903583,5.487274097036668,0.5183770129545784,4.715695727552449,4.6922597964719035,2.8775204676488904,5.319177139716936,2.318470142136523,1.2576865345082089,4.144054529633454,3.091857210466354,4.357390132191214,3.057193770264673,2.5149301956726235,5.648436680877753,2.0777112860051448,3.8147349781866047,3.5983413825536266,2.12771911257541,1.8501393201468437,3.823413099821953
DPM1,6.081972287075132,7.871942189887102,7.172837505817978,6.554421550744091,6.127573441305037,6.778826216279832,6.432346465652543,7.270332707559662,7.654485665378096,7.1230246537318616,6.127142118582818,6.499270288395655,7.757543355282265,6.982913739558248,6.168752335261416,5.866636025757373,6.8235710501143325,6.574476971790754,6.611433564483563,6.108599725860256,6.166317765414389,6.9627919193752525,6.985511815164011,6.96976063812787,6.264254920371922,6.159522222873991,7.536457046979442,5.116106871869359,6.385979709190751,6.453553794291417,7.182185755909279,6.805963080665316,6.175121356585376,5.805202155338368,6.05007718488641,6.832750800031937,7.0956923889801935,6.769692409995092,4.700395326841503,5.639035313418164,6.219544153218049,7.209589830327157,7.683387673298619,5.739289166084172,8.000478940330616,6.901289292778305,7.061506206935412,8.17977973914373,7.039588069080424,7.069057655559132,8.658936219233741,7.020313284785889,6.319735336246113,6.231616727385365,7.239588982848368,7.5103369324517635,6.891917336148668,6.872496359759516,6.419698994812988,7.057482764949543,3.296602770845724,6.794233893337401,6.337655794893646
SCYL3,4.02418668126576,3.060038734393167,3.405423335656092,2.65854283603296,4.17026159101793,3.792720028299345,3.463622456851893,2.866310604446111,2.880742330872136,2.7836997023317087,2.001279824010852,2.979070501707367,2.6931769189924553,3.6557067337352818,3.436606948159888,1.7912264569224572,3.5529057492475467,4.221900275344619,2.985769999646478,4.0850761781614615,4.1067670624450985,2.862048630273056,2.988675598900765,3.169275642557203,3.2939251470802753,1.7502934939491277,2.3355861548758123,1.3446467286916834,3.7958500499419663,1.947262183030573,2.458578865047482,3.445118832076102,3.556024692843669,2.671417932610139,3.711252601639941,2.2998512711511756,1.10375946635199,1.8598940332811496,0.8675596640865784,3.0044438630613817,2.7178025248651263,3.007939983960329,2.146661738342513,3.1404629294657975,3.0072852184553747,2.015822239153935,1.8193902437994764,2.350969581660689,3.235851107900094,2.985511359771371,3.6352668335061815,2.6645442787506317,2.29740567682563,3.306253489023749,4.162226152120641,4.223885867941667,2.7224682103710123,1.8368774735286788,2.455715175008887,2.2429225612422625,2.6308154815727907,2.947682986581667,3.993656248704792
FIRRM,3.8606847568819047,3.8409062972894574,4.016086202465223,4.416657367248907,4.326033927717296,3.3635762086333867,4.202699807094454,4.846834267201597,3.4220068889659303,4.08271110379427,3.597745685419446,4.700084549493092,5.015417282638167,4.503355096242726,4.031748062864279,3.5592592990852725,4.721629674743091,4.27956043985472,4.266501720833555,4.290763509408834,4.716107453241993,3.823392717879383,4.367238253305925,4.411378787872191,4.659924558402379,2.785008523874725,3.3236813462961337,1.286940273422517,5.153862070161722,2.519003372375296,3.8358937652166554,4.065813544775505,3.693955234665925,3.54318652456517,3.980418376512512,3.5004834014731148,2.286860453243659,3.381410744945929,0.4422354397580288,2.8542211130147503,3.9811585317591023,4.188472139691531,2.7596565346948907,3.9194926396146386,4.028728264198942,3.057566376301982,3.647383591454568,4.303890315791618,4.824727127232103,3.895952075719395,4.3807987006356095,3.342543367711313,3.237973586162531,4.649672935808537,4.2460964071286345,4.765799923285126,4.297580290077971,3.04800071693296,4.8667942588363475,4.212226911043315,2.465465188141463,3.844315344513516,2.348014241866551
FGR,0.0,0.009372972834048,0.0101611013691315,0.0765221550986062,0.0483757045389762,0.0573601550845661,0.1440476752224878,0.134644155859682,0.0113052706828702,0.5146666564395715,0.1838726635846582,1.1458600219990862,0.1314011512775162,0.1324912983526759,0.026889273554618,0.1309914749204883,0.1658926492908659,0.0536229679202107,0.0756092990445659,0.0,0.1953299582750114,0.0275122031632306,0.0330472792333848,0.0597165983988379,0.0490661244016136,0.1797250500872536,0.0158044020530716,0.0,0.6471219838437492,0.0144495650184116,0.1595219806847353,0.0558273025136441,0.644272549185227,0.4391305426475188,0.0,0.0,0.2055276420161917,0.0178606366845701,0.2224509523479144,0.0501366677094912,0.0,0.0597595078823298,0.0658300850016968,0.0782327173897936,0.0500753559466917,0.1675660308023441,0.0161953407483643,0.1239919081738975,0.1784112529707445,0.0325706125912313,0.0,0.123626470481246,0.0,0.0206437170707269,0.075417621711703,0.0,0.0832800966710886,0.0564975189828554,0.1072459553626166,0.0101696967613584,0.2634995999759565,0.0373976856429339,3.103136710982864
CFH,0.0533226844924846,0.0734651701105233,0.1145109540904499,3.076187941627865,0.252499224407771,0.1126280795908333,3.2813154586306212,0.0761225950431089,0.0689789195396573,0.042264704594335,3.269803675036782,0.3111182679633316,0.4092855646331021,0.1160918964958123,0.0896866109077058,0.5914199574042829,2.648219220471243,3.8483975995281936,0.1063563605140851,0.0745629786080156,0.0386707585647616,0.1302838176545227,0.2893717844852461,0.3299869452140979,0.5015298441946867,6.0855223849934665,1.281365909828703,0.0620940738070313,1.5101466928440757,2.2218987290717145,3.762104270336164,0.0492278719874403,0.0,0.0410256502834007,0.5124504173847813,0.0900634572050525,1.7878210872534168,0.1380621320331463,0.272186864430863,0.026164071257163,0.0939373638858744,0.0997435990120061,0.1384566990714344,0.1140124715677894,0.3085973631986325,7.503444148351024,1.6056128547021042,1.8318286102021275,1.0405488074337468,0.0797556117318412,0.1187344723045844,2.7613278301097792,0.7150384796981325,0.0448319327242444,1.3778622643686202,0.0369083919679904,6.182537374257236,4.081731610891625,2.3227386617523815,2.5904630963159287,0.0,1.3531651789329298,0.1982414241373185
FUCA2,4.786617270363077,5.709177576062751,5.361378863389141,6.521375872161447,7.222137995090104,4.511183368624602,6.379840995081327,5.94803776886602,6.9676297534661975,6.424250286084049,5.355372241113207,6.471337055813598,6.02009766736622,6.194890777575099,4.843491475519645,5.757346002746223,6.483930221158333,3.985509538199373,4.782067771853723,5.754924904883384,7.671746266863223,4.842471034421074,4.62425299557615,5.7873384271577955,6.694350921869497,6.602738944477807,6.291384381979744,4.461855931332252,6.177274015295416,6.49516428620068,6.020815526174414,5.225699098834357,5.1119827765505805,5.393553488861132,4.628983511301378,5.91536314217206,5.436458371704047,4.397077325542361,2.015451182036177,5.652569669769382,6.6546703950476545,5.452391165829514,4.7585696864783245,4.132288932949263,6.823520100296525,6.1906701650929605,6.301229123067721,5.58840282987061,5.665313175015135,5.80748372836463,5.076007461528862,4.0788574351111535,0.2570697735262817,3.6547219432922713,4.5980018653309545,4.207229121721635,6.802568062113565,6.3620981206926315,6.095291520211728,6.760354030276473,3.868992890743078,5.920212301187911,5.864171284199642
GCLC,5.8165817879259665,5.645326988736414,4.718032769277826,4.610162612461388,5.53909365566718,5.387579673261636,4.907731922352586,4.612340702342694,5.4501158967871275,4.840911331319228,4.420765335003957,5.138224690993589,4.657045428328372,5.717980693400133,6.5787938326767526,4.70540844988977,3.932013912477123,4.844586515521641,6.134196292140507,5.012666995093435,4.75149585687182,5.053067881135205,4.654796398616326,5.488341474082225,5.330841605105345,4.634145986886263,6.0866181931214385,2.1737223025684216,6.104678420627611,6.329270729327637,6.331493840746138,4.847460805678046,5.524746988198411,4.324666614694292,5.580175640777117,5.852251086871601,4.431368894658003,5.07783260567283,3.0487627987918735,6.651355988785154,5.167955982639117,6.0241844645297205,3.6829889673396914,5.8611464741092325,3.767379367607573,5.626973477392309,4.621665096064942,4.384457407292114,5.615227943578826,4.943396273761675,4.698585218481667,5.921955158304493,5.262493293728598,5.023503765482714,3.990963933922176,5.168525710372775,5.0941135876086365,4.216121120859996,4.243996513648566,4.582260930866659,2.571761743259599,5.688921661867692,3.797158277933187
NFYA,3.8130833992908615,3.8982083525087177,3.230518145701773,4.097560233998302,4.241420734502001,4.496986359462862,4.83058999384227,3.704883028026208,4.42049587636142,4.605328388303597,3.7505850679000887,3.865760485421139,3.820291309512878,3.782345655341796,5.630906320312519,3.0000468868269223,4.493307881591474,4.04037521153215,4.429535626278197,4.349542206383743,4.393443659194643,5.031690727916213,3.620128898024572,6.1149458193722115,5.182616824160519,4.547388132005338,3.5811342842326757,2.5894974505813013,3.9232252599450304,3.6644714625986743,5.0983226988201205,4.11454193695731,4.14326279303862,2.8928145428936345,4.139240269718867,2.859524350488423,3.3865709370854953,4.859413029585948,1.1055037640600178,3.5621202861376196,4.291780348060918,4.032435904570652,3.698240707560719,5.873134007419474,3.1657029540447015,4.0913359414049575,4.391967011431444,4.813555471936138,3.9118161946667582,3.941707308680967,4.119547084925453,3.716936038037288,3.511480690001186,4.675539331665587,3.368732036851105,4.276853945246167,4.3326005329898445,3.6342331305340223,5.395720913285953,4.667687795177128,2.669596018683668,4.479185282226048,2.964003015199079
STPG1,1.9459447420897824,2.2141590067695343,1.6403108864882203,2.0918419812492486,1.6582343371456754,2.328698620538728,2.9992748635361544,2.4743114326311937,1.5200249026297534,2.20137979902154,2.10066486174842,2.691239342621473,3.039887628499075,1.5025852024474389,2.443336120792404,2.764286699800278,2.2888989178805055,2.1614201411936635,2.052798428905276,1.1453970397566045,2.514723205312457,2.651159638052882,2.4137619538217545,1.5205127677284382,2.9425876938653284,3.4273058035145345,2.793648304407297,2.1026917210784326,3.792449342087118,2.9336783816661427,3.3182155960252193,2.135528303086978,2.150514185474003,2.8293361044279424,3.314587775700265,2.565633730164119,2.244719648087371,3.1287520074581803,1.1617845139030982,1.7240084461696163,2.3128016539522815,2.3674577365843463,2.0147194917909625,1.4189023473130575,2.9280139878274114,2.28379734560389,3.0037893071998907,2.4363351015959474,3.039415673605335,1.7916390621597156,2.538999950779015,2.5853760140321342,1.82450311416817,2.998117859153103,3.14930977438706,1.1660791050546664,2.944937136118235,3.066154648568649,3.8504194007225414,1.2669723928117702,1.4918171888062504,2.288497361385458,2.442399480679181
