,ACH-000828,ACH-000117,ACH-000017,ACH-000276,ACH-000554,ACH-000818,ACH-000856,ACH-000223,ACH-000019,ACH-000330,ACH-000643,ACH-000573,ACH-000711,ACH-000248,ACH-000783,ACH-000857,ACH-002499,ACH-000759,ACH-000196,ACH-000910,ACH-000258,ACH-000691,ACH-000147,ACH-000930,ACH-000374,ACH-000148,ACH-001705,ACH-001392,ACH-000668,ACH-000876,ACH-000699,ACH-000044,ACH-002921,ACH-001396,ACH-000352,ACH-001419,ACH-001390,ACH-001389,ACH-001388,ACH-001395,ACH-001683,ACH-000536,ACH-000568,ACH-000111,ACH-001819,ACH-002401,ACH-000212,ACH-000621,ACH-000849,ACH-000028,ACH-000277,ACH-001394,ACH-000721,ACH-000902,ACH-000097,ACH-000927,ACH-002399,ACH-001391,ACH-000768,ACH-000288,ACH-001662,ACH-000934,ACH-001393
ACTR3B,2.7135616555607127,2.775088478910934,3.0152067316977917,3.8692594631947537,3.194807274009524,3.717988916032107,3.975749397192794,3.4631385131429373,3.416079019562472,3.942861648718869,3.124306626773606,4.175524601089875,3.4215222444921607,2.930233962043262,3.209339505203063,2.637770201937084,3.1077029321770016,3.165255946279058,3.284207616824873,3.2651262991050456,4.065106962230768,4.5999604354652925,3.2400532466085905,4.899180465241316,1.9716778160543504,3.0553345017510996,3.930226391145997,2.089057410696049,2.7382857772544975,2.466684539596976,5.779144132016992,3.3178481605092665,2.327586774361758,1.2827778275513584,2.1410599702439925,3.598484313273425,3.2253119532193373,4.474591791394583,1.246322952045016,2.4905085193780176,1.9320347065690189,2.879545022282316,2.073199843857779,3.2211919088575556,2.550467298665762,1.9250955527904627,3.391109175121705,2.5142788330177352,3.2605722103523576,3.506322657655851,2.899336135879365,2.7893160995000157,3.698651888513453,4.185739709402783,3.294154600390758,3.8630265692789623,1.7083241034265426,3.5683969899161374,3.15562781584529,3.6910092500339866,3.908515117045925,3.1677368584128103,2.704801155600127
ANLN,5.556009360209917,5.40191029607167,6.677085350559835,6.263158382111841,5.227606317393514,5.015136243797379,6.48264502682898,7.306052572843196,5.174514281040765,5.558359483532602,6.416138824433753,6.6014187055781575,7.167508468259016,6.9479583126952065,6.034477655530931,5.9403077235664155,5.452644850246802,5.687547851686726,6.417547069919645,5.531334669648103,5.357266956220151,5.768073140324411,6.553790544230466,6.556640929815816,7.75863630612309,7.870099584594793,6.836340758965357,3.3057677417081743,7.353111529774809,5.1261427705926215,6.95820468671248,4.7743706601242755,5.073468940545412,3.777293457736079,6.0658415424430405,6.359088887504864,4.456122743838222,7.172877499304591,1.0600404642526695,3.9950050483832182,5.900499749329945,7.308921451883099,4.904011953492926,6.257714062333355,5.053372040922078,5.547992650222346,5.821700012063371,7.346212309167008,7.147398289096433,5.453425391283527,6.473762563495303,5.843521625361151,5.194457451826207,4.160597545880555,6.080246197844043,6.220935465598439,8.217022247238985,5.432120931132097,7.972411209129157,7.626081339007997,2.6294125780747444,5.861995052595949,3.3499681618975945
BAG1,5.298936857837996,6.11884350587492,6.649990453556448,5.5537813304123045,5.816182401169951,5.263267322167969,5.285886735057946,6.332011477260244,7.284662185483165,6.041413845250685,5.105615226776391,6.150120952598153,4.1757082196530835,6.683499964948255,6.944741339184569,5.892595028969815,5.6571054688471225,6.825340439545006,6.942608336111664,6.2312711100582545,5.334089109227276,6.200123729806214,5.425694274118385,5.317181040365085,4.760226270054624,3.033807081728022,4.911571751726427,4.391623388251696,6.312879325858304,5.722851238191558,4.679772831335128,6.161639823810179,6.571614623499623,5.099800143399415,5.016919688407885,5.8530275394485765,4.638456187605184,4.736545348034233,3.537656385194121,5.229080275480307,6.481612171821221,5.359120522355064,4.938459883520982,5.749652252773653,6.042243776356439,4.431883664175808,4.900775052072908,4.5842590154002405,7.217715411350674,6.022458810922669,4.486740112230904,4.1198209521218745,5.7160937309452455,6.498509380423517,6.533608509593343,6.089209989829408,5.4524372935870975,4.473364819371683,6.266100629114732,6.002394238504181,4.87308970124963,6.201357448821202,5.712001412931905
BCL2,2.707447485818037,0.5835932144248247,0.2077367073648789,0.9606659056649924,0.0504654772493316,1.439426332552552,2.992813740831298,0.1818722069385325,4.956581764759608,0.1881514858199864,0.3400312367443471,1.5779774010454928,0.302082701616695,0.0507287495045738,1.9038288355081792,0.159977870324834,1.4779829289746038,0.2482955815172252,4.041540884122263,0.7139509029989476,2.493142609825205,2.1736455590482064,0.3691448252144871,1.3820197620419787,1.4949378047679112,0.1111688961885202,0.6499133936798249,0.2331505760310459,0.6379709328524957,0.7189476824399859,0.6901604942620653,4.59706629052067,4.433627167084783,0.8630432261890771,3.944539893554437,1.3142150636656222,0.6004162995198523,2.0731415615295137,0.0813341730180327,3.8795391410646474,0.1304050796686197,0.5978514991948091,0.3588080802295143,1.9043492152652588,2.159816452790223,0.7479184027594189,2.8724111545971005,1.0016293250008548,1.4314143622180415,1.5602845270055006,2.0823279031566675,0.0444318912432396,1.6418280668940026,0.3599540264448407,4.137987073428877,3.3627377829356315,0.1678306123385408,3.6677104999455215,1.472768484807585,1.7521105822193583,0.8054625143490471,1.4814797838174705,0.4814766838552358
BIRC5,5.125609777311636,6.60806405199435,5.9758456757387615,6.925584109389362,4.949488243101609,5.400626729102387,6.855865149888289,6.491705613298456,5.97818189838178,6.780165717315186,4.982048956031338,5.354452160579561,6.878602741519047,5.693185841895027,6.507640850222968,5.942828814408404,6.382662065673009,5.168818511035423,6.3230547603416465,6.262098604831186,6.2375923975618965,5.937066561851051,6.48438951728169,6.927280190866622,6.572140848751824,6.0442192366331176,4.889015935100172,2.7616065457746095,6.007529669107188,5.190911111630688,7.1273340627995205,5.754387815689341,5.667841045429965,4.265669424866526,7.181142315780217,6.126016770574653,4.596708585708541,7.227644821090996,0.0366932189441554,2.371885000276599,4.45762712179055,6.098072098764364,4.519598514277713,6.011417365499184,5.991757646504715,3.5268700863568268,6.796675617612072,7.824984190271694,6.907731922352586,5.760471133874951,5.862002494058977,5.899274739838686,6.426100345201836,6.116420902921222,6.79689620822429,5.901129970185858,5.337746766638768,6.059833298828048,6.808462280657498,6.609376748763307,3.684201589808107,7.080551077327601,2.9461113600195032
BLVRA,6.9106846991694555,6.828060300266282,5.398155379890056,4.577942366274054,6.387803664533329,6.2270363424893365,5.181325220786017,5.436534993760199,5.940037513053939,4.590751706100331,4.260816060381343,5.624761832176777,6.079100725158906,6.720073211391771,6.917932935631184,4.566833415857858,4.865008184667828,5.6486236246009485,3.440431352221212,4.7921890189791805,5.208201186948203,4.381110294099054,6.994851222201222,4.02478950704328,5.3153923313243165,6.106333661300621,5.520208500094188,4.630708331091705,6.613586165487409,6.600873327541837,6.339969331983723,6.028173506019886,7.897361451961422,7.48760693334264,6.528879140148637,4.6676991476059895,4.858025767727201,5.80442017671336,3.805725818201272,8.188707520109775,7.575070247451549,4.16657084690328,5.23636250208581,5.662951724680594,6.77719612648893,6.4254374842406845,5.022722894261084,6.28918709863779,5.633919388764568,5.9496726594644995,6.773508489383994,4.597709935768445,5.646012848776881,6.276744165617344,7.110582487613055,6.120312537794927,6.552057311223619,6.093771426955753,5.59521122493889,5.495800675025257,2.961432561388455,6.323134044447895,5.983463371993801
CCNB1,7.102805080592096,7.651941437579245,6.767151567937371,7.309367209662295,6.367470666882454,6.748488068599704,8.253024878891921,8.041692002004178,7.558543164945347,6.475470804146126,6.951727656349584,7.288441621825206,8.379079399285779,7.260910127307605,7.437660535776199,7.571638891709784,7.402645442963031,6.689816313149856,7.66965752313527,8.022462140005088,7.761019265240484,7.31553905998273,7.795922760405086,8.446094910358646,7.986189052628162,7.254140484200726,7.476373586157242,5.318222828068696,7.562280590251707,6.906806435943119,7.710441409781887,7.134138779389252,6.8902156289497904,4.978007957270344,7.342225820732077,7.704823560340643,6.492396409144252,7.76768127918082,1.482022174655147,5.116269095119884,7.183704847489777,8.253729323306606,7.199888242224715,7.760027953133246,7.450633918369583,6.109130679482114,8.242916846591399,7.328271005925175,7.882838655767251,7.659218161158682,7.424367874040895,8.130766169210837,7.851442982733346,7.274065933537111,7.064354760971709,7.251065755994177,7.369274530322028,7.3586951513290115,8.525759607234423,8.963731312304411,3.825541427101827,7.395885394830687,6.0609963267945925
CCNE1,3.5195167439990644,4.258639521137091,4.621799875075787,3.74057142858516,2.8463428706814717,3.685043089476681,4.684392372756302,4.335583296670125,2.6648992048709332,3.7661816924446936,3.5398412150875487,4.403281358333847,4.58402444404312,4.125171666414248,4.290571850852079,3.4763168750134428,3.104995787305875,4.114183761055666,6.942502776063585,2.9934859749576423,5.2926713346679835,4.028100553816278,2.789975416945501,8.187381768161597,3.7931779969906434,2.591181519867425,2.644008530327603,1.5581598565465102,4.1712388584799855,3.518547727889217,4.008917094736053,2.32075903837241,1.5398685045340184,2.6410026041018613,3.8753967348544154,4.311532178331072,4.04176864995163,4.22329897333279,0.8827126882823739,1.2638096460911117,3.1334895479136726,4.358881486305911,3.6004957516855405,5.553646187651597,3.6521193210307703,2.214326892874327,4.538153228061524,7.360302816706584,4.538084922312424,3.7817478774214073,1.9406892216258291,3.3070073133388216,3.9903831132347216,4.585551480954237,4.727163521649534,3.206824487102657,2.7030785450261776,3.1931282998459434,3.751592259695934,3.9350825233186617,4.035060796905114,3.675319143130304,2.0336872878705967
CDC20,5.771555495222716,5.754585573276065,6.865943551909418,7.87767064118137,5.369613048996386,4.958114185491865,7.213386167868156,7.677529383596349,5.773199881075239,6.189978701622112,5.7037181215875705,7.164142648848307,7.463589763065911,6.334021154832852,5.731677453783605,6.476188861665098,7.330343270417228,4.616487091433995,7.506430569453624,7.110812136337923,6.692789834972647,6.941388059807964,6.208772798956664,8.209706789795472,7.3045110418099535,6.914564523493939,6.6896346320037186,3.5977576017729227,7.820274713333283,5.390712390806018,7.486440865664721,5.328276392287819,5.646911465811901,4.4642173543443935,7.390401144764371,6.395402176919016,6.964595013901523,7.591754206337617,0.1870177053464759,3.3564100643292685,6.040966929986076,7.542265789526419,5.487897901210089,7.540546543528349,6.359109977482072,4.18947668909787,7.590355002480019,7.243069229534974,8.178794301871793,6.618460388301871,5.715736905409348,7.269416591971261,6.689033523623053,6.548065113719709,5.135079235832671,6.9321674981327925,6.054188609968146,6.424194848437243,8.096219678241741,7.940660096020696,4.8853547222235445,7.266777172514869,3.416496588239955
CDC6,4.707983014541369,7.172637521753105,8.654507146787576,6.895920579081019,10.567109978487714,5.30632786831682,6.412181971144911,6.72137265947682,5.593831801150637,6.929412287901253,5.658565685178366,6.34355350582051,6.46889931992775,9.348478094923747,6.111878479964575,5.533392033580457,5.234804021773299,5.616540022177246,6.116177586810981,5.769102592440504,6.754967649661664,4.922036059538016,6.598378605458911,6.040493574639898,5.676961278808801,4.455741473246932,6.278744936509408,1.4369560093102225,5.671754757275156,4.5621630356430325,6.1331175463439855,5.523737577806971,6.09875851287361,4.784127032226518,5.7337285250086305,7.103340269096048,3.4820350862376728,5.279512154091248,0.6234492530795083,2.229141817996111,6.232002568908853,6.419387198312857,7.591058515218421,5.351469324267079,4.693654216793569,4.053676136597219,5.173691126005685,6.505968713787298,6.024357359713192,5.460519787138006,5.674327878637457,3.954577876031556,5.706099503036175,5.6442572032578,6.121027837933973,5.965133193762482,5.316395585010466,5.20679558028674,6.84173415906004,5.440623369561231,2.5448785251774257,5.937123074043084,3.2073978161482866
