requested_symbol,status,matched_matrix_symbol,match_how
ACTR3B,present_exact,ACTR3B,exact
ANLN,present_exact,ANLN,exact
BAG1,present_exact,BAG1,exact
BCL2,present_exact,BCL2,exact
BIRC5,present_exact,BIRC5,exact
BLVRA,present_exact,BLVRA,exact
CCNB1,present_exact,CCNB1,exact
CCNE1,present_exact,CCNE1,exact
CDC20,present_exact,CDC20,exact
CDC6,present_exact,CDC6,exact
CDCA1,present_alias,NUF2,alias:CDCA1->NUF2
CDH3,present_exact,CDH3,exact
CENPF,present_exact,CENPF,exact
CEP55,present_exact,CEP55,exact
CXXC5,present_exact,CXXC5,exact
EGFR,present_exact,EGFR,exact
ERBB2,present_exact,ERBB2,exact
ESR1,present_exact,ESR1,exact
EXO1,present_exact,EXO1,exact
FGFR4,present_exact,FGFR4,exact
FOXA1,present_exact,FOXA1,exact
FOXC1,present_exact,FOXC1,exact
GPR160,present_exact,GPR160,exact
GRB7,present_exact,GRB7,exact
KIF2C,present_exact,KIF2C,exact
KNTC2,present_alias,NDC80,alias:KNTC2->NDC80
KRT14,present_exact,KRT14,exact
KRT17,present_exact,KRT17,exact
KRT5,present_exact,KRT5,exact
MAPT,present_exact,MAPT,exact
MDM2,present_exact,MDM2,exact
MELK,present_exact,MELK,exact
MIA,present_exact,MIA,exact
MKI67,present_exact,MKI67,exact
MLPH,present_exact,MLPH,exact
MMP11,present_exact,MMP11,exact
MYBL2,present_exact,MYBL2,exact
MYC,present_exact,MYC,exact
NAT1,present_exact,NAT1,exact
ORC6L,present_alias,ORC6,alias:ORC6L->ORC6
PGR,present_exact,PGR,exact
PHGDH,present_exact,PHGDH,exact
PTTG1,present_exact,PTTG1,exact
RRM2,present_exact,RRM2,exact
SFRP1,present_exact,SFRP1,exact
SLC39A6,present_exact,SLC39A6,exact
TMEM45B,present_exact,TMEM45B,exact
TYMS,present_exact,TYMS,exact
UBE2C,present_exact,UBE2C,exact
UBE2T,present_exact,UBE2T,exact
