pc,explained_variance_ratio,cumulative
1,0.15059177259123194,0.15059177259123194
2,0.12775011182442997,0.2783418844156619
3,0.06326450320027412,0.341606387615936
4,0.04448233674202143,0.3860887243579574
5,0.03159954496541797,0.4176882693233753
6,0.029621551963973355,0.4473098212873487
7,0.02778518269834421,0.47509500398569293
8,0.025034064817482122,0.5001290688031751
9,0.023307933304365862,0.523437002107541
10,0.017994158218167494,0.5414311603257085
11,0.01716949637827593,0.5586006567039844
12,0.016505302441038643,0.575105959145023
13,0.015901128472174612,0.5910070876171977
14,0.01582869479113044,0.6068357824083281
15,0.015113595899362958,0.6219493783076911
16,0.01405012900573472,0.6359995073134259
17,0.013610229591022201,0.6496097369044481
18,0.012983379671030805,0.6625931165754789
19,0.012844736423205832,0.6754378529986848
20,0.012386562580723967,0.6878244155794088
21,0.012119289224268569,0.6999437048036773
22,0.012043190051210123,0.7119868948548874
23,0.011579721005069071,0.7235666158599565
24,0.011445475730942413,0.735012091590899
25,0.010703221082753771,0.7457153126736528
26,0.010385726594640758,0.7561010392682935
27,0.01026092630534628,0.7663619655736398
28,0.010062972028240256,0.77642493760188
29,0.009992367853420513,0.7864173054553005
30,0.009718765686219434,0.79613607114152
31,0.00956954973308548,0.8057056208746054
32,0.009336423463658048,0.8150420443382634
33,0.00914061248367327,0.8241826568219367
34,0.008696488540134476,0.8328791453620712
35,0.00862483817364048,0.8415039835357117
36,0.008290684328851798,0.8497946678645635
37,0.008214603525321443,0.8580092713898849
38,0.008051744325647923,0.8660610157155328
39,0.007856989828309182,0.873918005543842
40,0.007714373611393525,0.8816323791552355
