pc,explained_variance_ratio,cumulative
1,0.31799759194253535,0.31799759194253535
2,0.15493997513888505,0.47293756708142043
3,0.11943288881554982,0.5923704558969702
4,0.0605462907191741,0.6529167466161443
5,0.044549332243659576,0.6974660788598038
6,0.03837447726861234,0.7358405561284161
7,0.03581417030460133,0.7716547264330175
8,0.027400811698646076,0.7990555381316635
9,0.02450475260840484,0.8235602907400683
10,0.020189972892147932,0.8437502636322163
11,0.018144357852107575,0.8618946214843238
12,0.015837003079121562,0.8777316245634454
13,0.01371285867321494,0.8914444832366604
14,0.011837972323814127,0.9032824555604745
15,0.011082668574761532,0.914365124135236
16,0.010013803603906189,0.9243789277391421
17,0.008271446848120706,0.9326503745872629
18,0.007482207739327686,0.9401325823265906
19,0.006737103980490915,0.9468696863070815
20,0.006185721543331246,0.9530554078504128
21,0.00589817583002512,0.9589535836804379
22,0.004756261753245698,0.9637098454336837
23,0.004224559965973693,0.9679344053996574
24,0.0037680708516845034,0.9717024762513419
25,0.0033254996933828372,0.9750279759447247
26,0.003291060394179239,0.9783190363389039
27,0.002532411017382794,0.9808514473562867
28,0.002259534275741525,0.9831109816320283
29,0.002223164490446854,0.9853341461224752
30,0.0019694495717904937,0.9873035956942656
31,0.0017653262926250733,0.9890689219868907
32,0.0016224474227550432,0.9906913694096458
33,0.0013971115546923495,0.9920884809643381
34,0.001188174948440528,0.9932766559127786
35,0.0011358389992010053,0.9944124949119796
36,0.0010232820668418143,0.9954357769788214
37,0.0008416163952585234,0.9962773933740798
38,0.0006810388368917713,0.9969584322109716
39,0.0005650613654264761,0.997523493576398
40,0.000532162539314428,0.9980556561157125
