pc,explained_variance_ratio,cumulative
1,0.4214806360479136,0.4214806360479136
2,0.11854264674448736,0.540023282792401
3,0.0452326950975012,0.5852559778899021
4,0.039825894008223506,0.6250818718981257
5,0.032109335863506304,0.657191207761632
6,0.02184348529146857,0.6790346930531006
7,0.019573724770361914,0.6986084178234625
8,0.01840924421793777,0.7170176620414003
9,0.016862365503779085,0.7338800275451793
10,0.01602282638503055,0.7499028539302098
11,0.013979242066499739,0.7638820959967095
12,0.013434783711680357,0.7773168797083899
13,0.012364287479697788,0.7896811671880877
14,0.011687807426885828,0.8013689746149735
15,0.01154378175678291,0.8129127563717564
16,0.010821198901663871,0.8237339552734203
17,0.009439667172134007,0.8331736224455543
18,0.009263175755028753,0.842436798200583
19,0.008411681146508988,0.8508484793470921
20,0.00814885486647357,0.8589973342135656
21,0.007380249710429278,0.8663775839239949
22,0.007337576804932791,0.8737151607289276
23,0.0071581045763601785,0.8808732653052878
24,0.006695298494297725,0.8875685637995855
25,0.006545342631473673,0.8941139064310591
26,0.00613829144555548,0.9002521978766146
27,0.006046094819033585,0.9062982926956482
28,0.00555794694946727,0.9118562396451155
29,0.005528537197592694,0.9173847768427082
30,0.005206383921345713,0.922591160764054
31,0.004795462271875546,0.9273866230359296
32,0.004572019603226749,0.9319586426391563
33,0.004403605959122352,0.9363622485982787
34,0.004054968454067798,0.9404172170523465
35,0.003988057442576393,0.9444052744949228
36,0.0038199991578477493,0.9482252736527705
37,0.003663579313753486,0.951888852966524
38,0.0034744515508432117,0.9553633045173673
39,0.0032881914975918633,0.9586514960149591
40,0.0032290169045829623,0.9618805129195421
