pc,explained_variance_ratio,cumulative
1,0.4214806360479137,0.4214806360479137
2,0.11854264674448746,0.5400232827924012
3,0.045232695097501184,0.5852559778899024
4,0.03982589400822357,0.6250818718981259
5,0.03210933586350624,0.6571912077616322
6,0.021843485291468585,0.6790346930531008
7,0.019573724770361938,0.6986084178234627
8,0.018409244217937788,0.7170176620414005
9,0.016862365503779106,0.7338800275451796
10,0.016022826385030556,0.7499028539302102
11,0.013979242066499751,0.7638820959967099
12,0.013434783711680389,0.7773168797083903
13,0.012364287479697774,0.789681167188088
14,0.011687807426885834,0.8013689746149738
15,0.01154378175678291,0.8129127563717568
16,0.01082119890166387,0.8237339552734206
17,0.009439667172134009,0.8331736224455546
18,0.009263175755028752,0.8424367982005834
19,0.008411681146508991,0.8508484793470924
20,0.008148854866473569,0.8589973342135659
21,0.007380249710429274,0.8663775839239952
22,0.007337576804932771,0.873715160728928
23,0.007158104576360158,0.8808732653052881
24,0.006695298494297701,0.8875685637995858
25,0.006545342631473669,0.8941139064310595
26,0.006138291445555477,0.9002521978766149
27,0.006046094819033584,0.9062982926956485
28,0.00555794694946727,0.9118562396451159
29,0.005528537197592682,0.9173847768427086
30,0.005206383921345699,0.9225911607640542
31,0.004795462271875543,0.9273866230359298
32,0.00457201960322674,0.9319586426391565
33,0.004403605959122342,0.9363622485982789
34,0.004054968454067796,0.9404172170523467
35,0.003988057442576386,0.9444052744949231
36,0.003819999157847747,0.9482252736527708
37,0.0036635793137534812,0.9518888529665243
38,0.0034744515508432126,0.9553633045173675
39,0.00328819149759186,0.9586514960149594
40,0.0032290169045829536,0.9618805129195424
