cell_line,arc1,arc2,arc3,arc4
ACH-000828,4,1,1,3
ACH-000117,3,1,1,2
ACH-000017,3,1,1,1
ACH-000276,1,4,3,0
ACH-000554,4,1,1,1
ACH-000818,4,3,0,3
ACH-000856,0,4,2,3
ACH-000223,2,3,3,0
ACH-000019,2,2,1,2
ACH-000330,2,2,0,2
ACH-000643,1,0,3,1
ACH-000573,0,3,4,2
ACH-000711,1,1,2,0
ACH-000248,4,2,1,0
ACH-000783,3,3,0,4
ACH-000857,2,0,4,1
ACH-002499,1,4,3,0
ACH-000759,4,1,1,1
ACH-000196,1,1,2,1
ACH-000910,3,2,0,3
ACH-000258,1,1,2,3
ACH-000691,1,1,2,2
ACH-000147,3,2,0,3
ACH-000930,0,2,2,1
ACH-000374,1,4,3,0
ACH-000148,0,3,4,4
ACH-001705,2,0,3,0
ACH-000668,3,4,3,0
ACH-000876,3,1,1,1
ACH-000699,0,3,3,2
ACH-000044,3,4,1,4
ACH-002921,4,4,0,4
ACH-001396,4,0,2,4
ACH-000352,2,4,0,2
ACH-001419,3,0,2,1
ACH-001390,1,0,4,3
ACH-001389,0,2,4,4
ACH-001683,4,0,1,2
ACH-000536,2,3,2,0
ACH-000568,4,0,2,4
ACH-000111,1,3,2,0
ACH-001819,2,1,1,2
ACH-000212,0,2,3,2
ACH-000621,0,4,4,4
ACH-000849,1,3,2,0
ACH-000028,2,2,0,2
ACH-000277,4,3,0,3
ACH-001394,1,0,4,1
ACH-000721,0,0,3,4
ACH-000902,2,2,0,3
ACH-000097,3,4,0,2
ACH-000927,3,2,0,3
ACH-002399,2,1,4,0
ACH-001391,0,0,4,3
ACH-000768,0,2,3,1
ACH-000288,0,3,4,4
ACH-001662,4,0,4,4
ACH-000934,2,4,1,1
