archetype,subtype,bin,fold_enrichment,p_value,q_value,sig_peak_at_bin0,k_in_bin,bin_size,K_subtype,significant,peak_bin
0,LumB,0,0.28431372549019607,0.9911429680747006,1.0,False,1,12,17,False,3
0,LumB,1,0.28431372549019607,0.9911429680747006,1.0,False,1,12,17,False,3
0,LumB,2,1.4215686274509807,0.23780954622189965,0.8236262046205023,False,5,12,17,False,3
0,LumB,3,1.86096256684492,0.050611890820088615,0.27302579423030376,False,6,11,17,False,3
0,LumB,4,1.2406417112299466,0.40780741704619383,1.0,False,4,11,17,False,3
1,LumB,0,0.5686274509803921,0.930915150982665,1.0,False,2,12,17,False,2
1,LumB,1,0.8529411764705883,0.7599458637536605,1.0,False,3,12,17,False,2
1,LumB,2,1.7058823529411766,0.0818115000537238,0.3506207145159591,False,6,12,17,False,2
1,LumB,3,0.6203208556149733,0.9024202697778309,1.0,False,2,11,17,False,2
1,LumB,4,1.2406417112299466,0.40780741704619383,1.0,False,4,11,17,False,2
2,LumB,0,2.558823529411765,0.00030904594565300206,0.014181242479965174,True,9,12,17,True,0
2,LumB,1,1.4215686274509807,0.23780954622189965,0.8236262046205023,False,5,12,17,False,0
2,LumB,2,0.5686274509803921,0.930915150982665,1.0,False,2,12,17,False,0
2,LumB,3,0.31016042780748665,0.986123983317031,1.0,False,1,11,17,False,0
2,LumB,4,0.0,1.0,1.0,False,0,11,17,False,0
3,LumB,0,0.0,1.0,1.0,False,0,12,17,False,2
3,LumB,1,0.8529411764705883,0.7599458637536605,1.0,False,3,12,17,False,2
3,LumB,2,1.9901960784313728,0.01941228158645344,0.1294152105763563,False,7,12,17,False,2
3,LumB,3,1.2406417112299466,0.40780741704619383,1.0,False,4,11,17,False,2
3,LumB,4,0.93048128342246,0.6931609859298307,1.0,False,3,11,17,False,2
0,Her2,0,0.3452380952380952,0.9763502962059144,1.0,False,1,12,14,False,4
0,Her2,1,0.0,1.0,1.0,False,0,12,14,False,4
0,Her2,2,1.0357142857142856,0.602760857661909,1.0,False,3,12,14,False,4
0,Her2,3,1.5064935064935066,0.24708786138615066,0.8236262046205023,False,4,11,14,False,4
0,Her2,4,2.2597402597402594,0.016552556714224228,0.12414417535668171,False,6,11,14,False,4
1,Her2,0,0.6904761904761904,0.8559518041632965,1.0,False,2,12,14,False,1
1,Her2,1,2.071428571428571,0.028437764729225355,0.1706265883753521,False,6,12,14,False,1
1,Her2,2,1.0357142857142856,0.602760857661909,1.0,False,3,12,14,False,1
1,Her2,3,0.37662337662337664,0.9663170885356962,1.0,False,1,11,14,False,1
1,Her2,4,0.7532467532467533,0.8137533130797321,1.0,False,2,11,14,False,1
2,Her2,0,1.0357142857142856,0.602760857661909,1.0,False,3,12,14,False,1
2,Her2,1,2.4166666666666665,0.004667348699223113,0.04175622190150363,False,7,12,14,True,1
2,Her2,2,1.0357142857142856,0.602760857661909,1.0,False,3,12,14,False,1
2,Her2,3,0.0,1.0,1.0,False,0,11,14,False,1
2,Her2,4,0.37662337662337664,0.9663170885356962,1.0,False,1,11,14,False,1
3,Her2,0,0.6904761904761904,0.8559518041632965,1.0,False,2,12,14,False,3
3,Her2,1,1.3809523809523807,0.31339977594603785,0.9401993278381136,False,4,12,14,False,3
3,Her2,2,0.3452380952380952,0.9763502962059144,1.0,False,1,12,14,False,3
3,Her2,3,1.883116883116883,0.07861975412589671,0.3506207145159591,False,5,11,14,False,3
3,Her2,4,0.7532467532467533,0.8137533130797321,1.0,False,2,11,14,False,3
0,Basal,0,1.7901234567901236,0.00487155922184209,0.04175622190150363,False,10,12,27,True,1
0,Basal,1,1.9691358024691359,0.0004727080826655058,0.014181242479965174,False,11,12,27,True,1
0,Basal,2,0.7160493827160493,0.9136986409429921,1.0,False,4,12,27,False,1
0,Basal,3,0.19528619528619529,0.9996281283119007,1.0,False,1,11,27,False,1
0,Basal,4,0.19528619528619529,0.9996281283119007,1.0,False,1,11,27,False,1
1,Basal,0,1.4320987654320987,0.10682543845149038,0.4273017538059615,False,8,12,27,False,3
1,Basal,1,0.5370370370370371,0.9798217222615556,1.0,False,3,12,27,False,3
1,Basal,2,0.5370370370370371,0.9798217222615556,1.0,False,3,12,27,False,3
1,Basal,3,1.5622895622895623,0.05460515884606076,0.27302579423030376,False,8,11,27,False,3
1,Basal,4,0.9764309764309764,0.6592685236954763,1.0,False,5,11,27,False,3
2,Basal,0,0.0,1.0,1.0,False,0,12,27,False,3
2,Basal,1,0.0,1.0,1.0,False,0,12,27,False,3
2,Basal,2,1.2530864197530864,0.2760191443730823,0.8716394032834177,False,7,12,27,False,3
2,Basal,3,1.9528619528619529,0.0012058499391949362,0.018087749087924043,False,10,11,27,True,3
2,Basal,4,1.9528619528619529,0.0012058499391949362,0.018087749087924043,False,10,11,27,True,3
3,Basal,0,1.7901234567901236,0.00487155922184209,0.04175622190150363,True,10,12,27,True,0
3,Basal,1,0.8950617283950618,0.7584531456733213,1.0,False,5,12,27,False,0
3,Basal,2,0.7160493827160493,0.9136986409429921,1.0,False,4,12,27,False,0
3,Basal,3,0.39057239057239057,0.9943688001516396,1.0,False,2,11,27,False,0
3,Basal,4,1.1717171717171717,0.3982145986497876,1.0,False,6,11,27,False,0
