"symbol","entrez","mapped"
"TSPAN6","7105",TRUE
"DPM1","8813",TRUE
"SCYL3","57147",TRUE
"FIRRM","55732",TRUE
"FGR","2268",TRUE
"CFH","3075",TRUE
"FUCA2","2519",TRUE
"GCLC","2729",TRUE
"NFYA","4800",TRUE
"STPG1","90529",TRUE
"NIPAL3","57185",TRUE
"LAS1L","81887",TRUE
"ENPP4","22875",TRUE
"SEMA3F","6405",TRUE
"CFTR","1080",TRUE
"ANKIB1","54467",TRUE
"CYP51A1","1595",TRUE
"KRIT1","889",TRUE
"RAD52","5893",TRUE
"BAD","572",TRUE
"LAP3","51056",TRUE
"CD99","4267",TRUE
"HS3ST1","9957",TRUE
"AOC1","26",TRUE
"WNT16","51384",TRUE
"HECW1","23072",TRUE
"MAD1L1","8379",TRUE
"LASP1","3927",TRUE
"SNX11","29916",TRUE
"TMEM176A","55365",TRUE
"M6PR","4074",TRUE
"KLHL13","90293",TRUE
"CYP26B1","56603",TRUE
"ICA1","3382",TRUE
"DBNDD1","79007",TRUE
"ALS2","57679",TRUE
"CASP10","843",TRUE
"CFLAR","8837",TRUE
"TFPI","7035",TRUE
"NDUFAF7","55471",TRUE
"RBM5","10181",TRUE
"MTMR7","9108",TRUE
"SLC7A2","6542",TRUE
"ARF5","381",TRUE
"SARM1","23098",TRUE
"POLDIP2","26073",TRUE
"PLXND1","23129",TRUE
"AK2","204",TRUE
"CD38","952",TRUE
"FKBP4","2288",TRUE
"KDM1A","23028",TRUE
"RBM6","10180",TRUE
"CAMKK1","84254",TRUE
"RECQL","5965",TRUE
"VPS50","55610",TRUE
"HSPB6","126393",TRUE
"ARHGAP33","115703",TRUE
"NDUFAB1","4706",TRUE
"PDK4","5166",TRUE
"SLC22A16","85413",TRUE
"ZMYND10","51364",TRUE
"ABCB5","340273",TRUE
"ARX","170302",TRUE
"SLC25A13","10165",TRUE
"ST7","7982",TRUE
"CDC27","996",TRUE
"CALCR","799",TRUE
"HCCS","3052",TRUE
"DVL2","1856",TRUE
"PRSS22","64063",TRUE
"UPF1","5976",TRUE
"SKAP2","8935",TRUE
"SLC25A5","292",TRUE
"MCUB","55013",TRUE
"HOXA11","3207",TRUE
"POLR2J","5439",TRUE
"DHX33","56919",TRUE
"MEOX1","4222",TRUE
"THSD7A","221981",TRUE
"LIG3","3980",TRUE
"RPAP3","79657",TRUE
"ACSM3","6296",TRUE
"REXO5","81691",TRUE
"CIAPIN1","57019",TRUE
"SPPL2B","56928",TRUE
"ATOSB","80256",TRUE
"COPZ2","51226",TRUE
"PRKAR2B","5577",TRUE
"MSL3","10943",TRUE
"CREBBP","1387",TRUE
"TSPOAP1","9256",TRUE
"MPO","4353",TRUE
"PON1","5444",TRUE
"GCFC2","6936",TRUE
"WDR54","84058",TRUE
"CROT","54677",TRUE
"KMT2E","55904",TRUE
"RHBDD2","57414",TRUE
"SOX8","30812",TRUE
"IBTK","25998",TRUE
"ZNF195","7748",TRUE
"MYCBP2","23077",TRUE
"FBXL3","26224",TRUE
"ITGAL","3683",TRUE
"PDK2","5164",TRUE
"ITGA3","3675",TRUE
"ZFX","7543",TRUE
"LAMP2","3920",TRUE
"ITGA2B","3674",TRUE
"GDE1","51573",TRUE
"REX1BD","55049",TRUE
"CRLF1","9244",TRUE
"OSBPL7","114881",TRUE
"TMEM98","26022",TRUE
"YBX2","51087",TRUE
"KRT33A","3883",TRUE
"MAP3K14","9020",TRUE
"ABCC8","6833",TRUE
"TMEM132A","54972",TRUE
"AP2B1","163",TRUE
"ZNF263","10127",TRUE
"CX3CL1","6376",TRUE
"SPATA20","64847",TRUE
"CACNA1G","8913",TRUE
"TNFRSF12A","51330",TRUE
"DLX6","1750",TRUE
"MAP3K9","4293",TRUE
"RALA","5898",TRUE
"BAIAP2L1","55971",TRUE
"KDM7A","80853",TRUE
"ETV1","2115",TRUE
"AGK","55750",TRUE
"ALDH3B1","221",TRUE
"TTC22","55001",TRUE
"PHTF2","57157",TRUE
"CCL26","10344",TRUE
"FARP2","9855",TRUE
"USH1C","10083",TRUE
"GGCT","79017",TRUE
"DBF4","10926",TRUE
"TBXA2R","6915",TRUE
"IFRD1","3475",TRUE
"LGALS14","56891",TRUE
"COX10","1352",TRUE
"GTF2IRD1","9569",TRUE
"PAF1","54623",TRUE
"VPS41","27072",TRUE
"ARHGAP44","9912",TRUE
"ELAC2","60528",TRUE
"SCIN","85477",TRUE
"ARSD","414",TRUE
"PNPLA4","8228",TRUE
"ADIPOR2","79602",TRUE
"CDKL3","51265",TRUE
"PRSS21","10942",TRUE
"MARK4","57787",TRUE
"PROM1","8842",TRUE
"CCDC124","115098",TRUE
"CEACAM21","90273",TRUE
"PAFAH1B1","5048",TRUE
"DNAH9","1770",TRUE
"BLTP2","9703",TRUE
"SLC13A2","9058",TRUE
"GAS7","8522",TRUE
"TRAPPC6A","79090",TRUE
"MATK","4145",TRUE
"CEACAM7","1087",TRUE
"CD79B","974",TRUE
"ST7L","54879",TRUE
"PAX6","5080",TRUE
"RPUSD1","113000",TRUE
"RHBDF1","64285",TRUE
"LUC7L","55692",TRUE
"CACNA2D2","9254",TRUE
"BAIAP3","8938",TRUE
"TSR3","115939",TRUE
"PIGQ","9091",TRUE
"CRAMP1","57585",TRUE
"TEAD3","7005",TRUE
"SELE","6401",TRUE
"DNAJC11","55735",TRUE
"FMO3","2328",TRUE
"MYLIP","29116",TRUE
"E2F2","1870",TRUE
"PSMB1","5689",TRUE
"SYN1","6853",TRUE
"JARID2","3720",TRUE
"CDKL5","6792",TRUE
"CAMK1G","57172",TRUE
"CDK11A","728642",TRUE
"NADK","65220",TRUE
"TFAP2B","7021",TRUE
"DLEC1","9940",TRUE
"CYTH3","9265",TRUE
"ADAM22","53616",TRUE
"SYPL1","6856",TRUE
"CYB561","1534",TRUE
"SPAG9","9043",TRUE
"CELSR3","1951",TRUE
"AASS","10157",TRUE
"PLEKHG6","55200",TRUE
"SS18L2","51188",TRUE
"MPND","84954",TRUE
"MGST1","4257",TRUE
"CRY1","1407",TRUE
"NFIX","4784",TRUE
"ST3GAL1","6482",TRUE
"MMP25","64386",TRUE
"IL32","9235",TRUE
"PKD1","5310",TRUE
"MAPK8IP2","23542",TRUE
"MED24","9862",TRUE
"RHOBTB2","23221",TRUE
"HEATR5B","54497",TRUE
"SEC62","7095",TRUE
"RPS20","6224",TRUE
"CSDE1","7812",TRUE
"UBE3C","9690",TRUE
"REV3L","5980",TRUE
"TENM1","10178",TRUE
"PAX7","5081",TRUE
"MASP2","10747",TRUE
"IYD","389434",TRUE
"FAM76A","199870",TRUE
"TRAF3IP3","80342",TRUE
"POMT2","29954",TRUE
"VTA1","51534",TRUE
"MLXIPL","51085",TRUE
"BAZ1B","9031",TRUE
"RANBP9","10048",TRUE
"ETV7","51513",TRUE
"SPRTN","83932",TRUE
"METTL13","51603",TRUE
"DYRK4","8798",TRUE
"ZNF207","7756",TRUE
"UQCRC1","7384",TRUE
"STARD3NL","83930",TRUE
"CD9","928",TRUE
"HHATL","57467",TRUE
"NCAPD2","9918",TRUE
"IFFO1","25900",TRUE
"GIPR","2696",TRUE
"PHF7","51533",TRUE
"SEMA3G","56920",TRUE
"NISCH","11188",TRUE
"STAB1","23166",TRUE
"FUZ","80199",TRUE
"IDS","3423",TRUE
"PRSS3","5646",TRUE
"ZNF200","7752",TRUE
"CD4","920",TRUE
"LRRC23","10233",TRUE
"BTK","695",TRUE
"HFE","3077",TRUE
"SCMH1","22955",TRUE
"FYN","2534",TRUE
"HIVEP2","3097",TRUE
"ELOA","6924",TRUE
"LYPLA2","11313",TRUE
"CLCN6","1185",TRUE
"MRC2","9902",TRUE
"TSPAN9","10867",TRUE
"BTBD7","55727",TRUE
"APBA3","9546",TRUE
"MKS1","54903",TRUE
"ABHD5","51099",TRUE
"ANOS1","3730",TRUE
"AKAP8L","26993",TRUE
"MBTD1","54799",TRUE
"UTP18","51096",TRUE
"RNF216","54476",TRUE
"TTC19","54902",TRUE
"PTBP1","5725",TRUE
"DPF1","8193",TRUE
"SYT7","9066",TRUE
"LARS2","23395",TRUE
"PIK3C2A","5286",TRUE
"PLAUR","5329",TRUE
"ANLN","54443",TRUE
"WIZ","58525",TRUE
"RABGAP1","23637",TRUE
"DCN","1634",TRUE
"QPCTL","54814",TRUE
"PPP5C","5536",TRUE
"CEP68","23177",TRUE
"MAP4K3","8491",TRUE
"ZBTB32","27033",TRUE
"LDAF1","57146",TRUE
"GABRA3","2556",TRUE
"BRCA1","672",TRUE
