"cell_line_genefu","pam50_subtype","confidence_score","Basal","Her2","LumA","LumB","Normal"
"ACH-000828","Her2",0.495732969752058,0,0.495732969752058,0.0440842296621724,0.46018280058577,0
"ACH-000117","Her2",0.572908483896308,0,0.572908483896308,0,0.427091516103692,0
"ACH-000017","Her2",0.570596886873391,0,0.570596886873391,0,0.429403113126609,0
"ACH-000276","Basal",0.796369863013699,0.796369863013699,0.203630136986301,0,0,0
"ACH-000554","Her2",0.66336781380545,0,0.66336781380545,0,0.336632186194549,0
"ACH-000818","LumB",0.489249224825904,0,0.294566156661414,0.216184618512682,0.489249224825904,0
"ACH-000856","Her2",0.375261859317536,0.347702620920814,0.375261859317536,0,0.27703551976165,0
"ACH-000223","Basal",0.484935019523282,0.484935019523282,0.338656098840259,0,0.176408881636459,0
"ACH-000019","LumB",0.990784044016506,0,0,0.00921595598349381,0.990784044016506,0
"ACH-000330","LumB",0.74032872319102,0,0.25967127680898,0,0.74032872319102,0
"ACH-000643","Basal",0.623723827651843,0.623723827651843,0.376276172348157,0,0,0
"ACH-000573","Basal",0.582779597566682,0.582779597566682,0.171736078614881,0,0.245484323818437,0
"ACH-000711","Basal",0.482914825792741,0.482914825792741,0.361221408198647,0,0.155863766008612,0
"ACH-000248","Her2",0.577816773568922,0,0.577816773568922,0,0.422183226431078,0
"ACH-000783","LumB",0.607030956260183,0,0.392969043739817,0,0.607030956260183,0
"ACH-000857","Basal",0.841045038705137,0.841045038705137,0.158954961294863,0,0,0
"ACH-002499","Basal",0.892445958646617,0.892445958646617,0,0,0,0.107554041353383
"ACH-000759","LumB",0.479686302258388,0,0.463765552214164,0.0565481455274486,0.479686302258388,0
"ACH-000196","Basal",1,1,0,0,0,0
"ACH-000910","Her2",0.562347063621533,0,0.562347063621533,0,0.437652936378467,0
"ACH-000258","LumB",0.403636753741351,0.194657512202972,0.401705734055678,0,0.403636753741351,0
"ACH-000691","Basal",1,1,0,0,0,0
"ACH-000147","LumB",0.645820983995258,0,0.354179016004742,0,0.645820983995258,0
"ACH-000930","Basal",0.930673499267936,0.930673499267936,0.0693265007320644,0,0,0
"ACH-000374","Basal",0.587299652629654,0.587299652629654,0.262965445791943,0,0.149734901578402,0
"ACH-000148","Basal",0.697646676065503,0.697646676065503,0.113978961067129,0,0.188374362867368,0
"ACH-001705","Basal",0.560949960564368,0.560949960564368,0.326264131101569,0,0.112785908334064,0
"ACH-001392","LumA",0.501821089100115,0,0.426490183885582,0.501821089100115,0,0.0716887270143022
"ACH-000668","Basal",0.816648531011969,0.816648531011969,0.18335146898803,0,0,0
"ACH-000876","Her2",0.507219519728206,0,0.507219519728206,0.064628214037526,0.428152266234268,0
"ACH-000699","Basal",0.878868552412646,0.878868552412646,0.0671547420965058,0,0.0539767054908486,0
"ACH-000044","LumB",0.639538548824308,0,0.146945722751056,0.213515728424636,0.639538548824308,0
"ACH-002921","LumB",0.570921985815603,0,0.0129636088826881,0.416114405301709,0.570921985815603,0
"ACH-001396","Her2",0.611933141526236,0,0.611933141526236,0,0.388066858473764,0
"ACH-000352","LumB",0.669743987587277,0,0.330256012412723,0,0.669743987587277,0
"ACH-001419","LumB",0.35506884497396,0.351644431761433,0.293286723264607,0,0.35506884497396,0
"ACH-001390","Basal",0.845761052042529,0.845761052042529,0,0,0,0.154238947957471
"ACH-001389","Basal",0.472627834120958,0.472627834120958,0.225296022938459,0,0.302076142940583,0
"ACH-001388","Normal",0.528644210680644,0,0,0.471355789319356,0,0.528644210680644
"ACH-001395","LumA",0.661619486504279,0,0,0.661619486504279,0.230534442516009,0.107846070979712
"ACH-001683","LumB",0.517470123556816,0,0.482529876443184,0,0.517470123556816,0
"ACH-000536","Basal",0.615317783866872,0.615317783866872,0.280892869077057,0,0.103789347056072,0
"ACH-000568","Her2",0.469829858614905,0,0.469829858614905,0.148334531512102,0.381835609872993,0
"ACH-000111","Basal",0.969712601326455,0.969712601326455,0,0,0.0302873986735446,0
"ACH-001819","LumB",0.639705882352941,0,0.360294117647059,0,0.639705882352941,0
"ACH-002401","LumA",0.409928696354097,0,0.323288039822414,0.409928696354097,0,0.26678326382349
"ACH-000212","Basal",0.835008818342152,0.835008818342152,0,0,0.164991181657848,0
"ACH-000621","Basal",0.436378827345555,0.436378827345555,0.240674300879737,0,0.322946871774709,0
"ACH-000849","Basal",1,1,0,0,0,0
"ACH-000028","LumB",0.723818838399037,0,0.276181161600963,0,0.723818838399037,0
"ACH-000277","Her2",0.555920086181569,0,0.555920086181569,0,0.444079913818431,0
"ACH-001394","Basal",0.898509763617677,0.898509763617677,0.101490236382323,0,0,0
"ACH-000721","Basal",0.489322191272052,0.489322191272052,0.17854607023868,0,0.332131738489268,0
"ACH-000902","Her2",0.527525499510968,0,0.527525499510968,0,0.472474500489032,0
"ACH-000097","LumB",0.764027234901021,0,0.235972765098979,0,0.764027234901021,0
"ACH-000927","LumB",0.522269933484887,0,0.439589121832113,0.0381409446830008,0.522269933484887,0
"ACH-002399","Her2",0.531366564937267,0.237978975924042,0.531366564937267,0,0.230654459138691,0
"ACH-001391","Basal",0.552166581127649,0.552166581127649,0.0904025221790454,0,0.357430896693306,0
"ACH-000768","LumB",0.377045816017649,0.333743779180134,0.289210404802216,0,0.377045816017649,0
"ACH-000288","Basal",0.577132007805495,0.577132007805495,0.232318970518433,0,0.190549021676072,0
"ACH-001662","Basal",0.499090847868543,0.499090847868543,0,0.00370395312815678,0,0.4972051990033
"ACH-000934","Her2",0.601075667655786,0,0.601075667655786,0,0.398924332344214,0
"ACH-001393","LumA",0.596937046825236,0,0.233041946195026,0.596937046825236,0,0.170021006979738
