cell_line,arc1,arc2,arc3
ACH-000828,3,4,0
ACH-000117,3,3,1
ACH-000017,3,3,1
ACH-000276,1,0,3
ACH-000554,2,3,1
ACH-000818,2,4,0
ACH-000856,4,2,2
ACH-000223,1,0,3
ACH-000019,2,3,1
ACH-000330,2,3,1
ACH-000643,0,2,3
ACH-000573,1,1,2
ACH-000711,2,1,2
ACH-000248,4,2,1
ACH-000783,4,3,0
ACH-000857,0,1,3
ACH-002499,0,1,4
ACH-000759,1,4,1
ACH-000196,1,0,4
ACH-000910,4,4,0
ACH-000258,0,2,2
ACH-000691,1,1,3
ACH-000147,4,3,0
ACH-000930,3,0,4
ACH-000374,2,0,3
ACH-000148,0,1,4
ACH-001705,1,2,2
ACH-000668,1,0,4
ACH-000876,0,3,2
ACH-000699,2,0,4
ACH-000044,3,4,0
ACH-002921,3,4,0
ACH-001396,0,4,2
ACH-000352,4,3,1
ACH-001419,2,2,2
ACH-001390,0,2,4
ACH-001389,2,1,2
ACH-001683,3,4,0
ACH-000536,1,0,3
ACH-000568,2,4,0
ACH-000111,1,0,4
ACH-001819,2,2,1
ACH-000212,2,0,3
ACH-000621,4,1,3
ACH-000849,1,0,4
ACH-000028,3,3,1
ACH-000277,4,4,0
ACH-001394,0,1,4
ACH-000721,1,1,2
ACH-000902,3,2,1
ACH-000097,4,3,0
ACH-000927,4,4,0
ACH-002399,0,2,2
ACH-001391,0,1,3
ACH-000768,3,1,2
ACH-000288,3,0,3
ACH-001662,0,2,4
ACH-000934,4,2,1
