archetype,subtype,bin,fold_enrichment,p_value,q_value,sig_peak_at_bin0,k_in_bin,bin_size,K_subtype,significant,peak_bin
0,LumB,0,0.28431372549019607,0.9911429680747006,1.0,False,1,12,17,False,3
0,LumB,1,0.28431372549019607,0.9911429680747006,1.0,False,1,12,17,False,3
0,LumB,2,1.4215686274509807,0.23780954622189965,0.5852080927566726,False,5,12,17,False,3
0,LumB,3,1.5508021390374331,0.17281036031849306,0.48602913839576173,False,5,11,17,False,3
0,LumB,4,1.5508021390374331,0.17281036031849306,0.48602913839576173,False,5,11,17,False,3
1,LumB,0,0.0,1.0,1.0,False,0,12,17,False,3
1,LumB,1,0.28431372549019607,0.9911429680747006,1.0,False,1,12,17,False,3
1,LumB,2,0.8529411764705883,0.7599458637536605,1.0,False,3,12,17,False,3
1,LumB,3,2.1711229946524067,0.009879067653953796,0.06350829206113154,False,7,11,17,True,3
1,LumB,4,1.86096256684492,0.050611890820088615,0.2530594541004431,False,6,11,17,False,3
2,LumB,0,2.2745098039215685,0.00306962913073977,0.023022218480548275,True,8,12,17,True,0
2,LumB,1,1.7058823529411766,0.0818115000537238,0.30679312520146423,False,6,12,17,False,0
2,LumB,2,0.8529411764705883,0.7599458637536605,1.0,False,3,12,17,False,0
2,LumB,3,0.0,1.0,1.0,False,0,11,17,False,0
2,LumB,4,0.0,1.0,1.0,False,0,11,17,False,0
0,Her2,0,1.0357142857142856,0.602760857661909,1.0,False,3,12,14,False,4
0,Her2,1,0.0,1.0,1.0,False,0,12,14,False,4
0,Her2,2,0.6904761904761904,0.8559518041632965,1.0,False,2,12,14,False,4
0,Her2,3,1.5064935064935066,0.24708786138615066,0.5852080927566726,False,4,11,14,False,4
0,Her2,4,1.883116883116883,0.07861975412589671,0.30679312520146423,False,5,11,14,False,4
1,Her2,0,0.0,1.0,1.0,False,0,12,14,False,4
1,Her2,1,0.0,1.0,1.0,False,0,12,14,False,4
1,Her2,2,1.7261904761904763,0.11446403226637633,0.3679201037133525,False,5,12,14,False,4
1,Her2,3,1.5064935064935066,0.24708786138615066,0.5852080927566726,False,4,11,14,False,4
1,Her2,4,1.883116883116883,0.07861975412589671,0.30679312520146423,False,5,11,14,False,4
2,Her2,0,1.3809523809523807,0.31339977594603785,0.6715709484557953,False,4,12,14,False,1
2,Her2,1,2.071428571428571,0.028437764729225355,0.1599624266018926,False,6,12,14,False,1
2,Her2,2,1.3809523809523807,0.31339977594603785,0.6715709484557953,False,4,12,14,False,1
2,Her2,3,0.0,1.0,1.0,False,0,11,14,False,1
2,Her2,4,0.0,1.0,1.0,False,0,11,14,False,1
0,Basal,0,1.4320987654320987,0.10682543845149038,0.3679201037133525,False,8,12,27,False,1
0,Basal,1,1.9691358024691359,0.0004727080826655058,0.004254372743989552,False,11,12,27,True,1
0,Basal,2,0.8950617283950618,0.7584531456733213,1.0,False,5,12,27,False,1
0,Basal,3,0.39057239057239057,0.9943688001516396,1.0,False,2,11,27,False,1
0,Basal,4,0.19528619528619529,0.9996281283119007,1.0,False,1,11,27,False,1
1,Basal,0,2.1481481481481484,1.9493116810948695e-05,0.0008589154594824265,True,12,12,27,True,0
1,Basal,1,1.9691358024691359,0.0004727080826655058,0.004254372743989552,False,11,12,27,True,0
1,Basal,2,0.7160493827160493,0.9136986409429921,1.0,False,4,12,27,False,0
1,Basal,3,0.0,1.0,1.0,False,0,11,27,False,0
1,Basal,4,0.0,1.0,1.0,False,0,11,27,False,0
2,Basal,0,0.0,1.0,1.0,False,0,12,27,False,3
2,Basal,1,0.0,1.0,1.0,False,0,12,27,False,3
2,Basal,2,0.8950617283950618,0.7584531456733213,1.0,False,5,12,27,False,3
2,Basal,3,2.1481481481481484,5.726103063216177e-05,0.0008589154594824265,False,11,11,27,True,3
2,Basal,4,2.1481481481481484,5.726103063216177e-05,0.0008589154594824265,False,11,11,27,True,3
