cell_line,pam50_subtype,confidence_score
ACH-000828,Her2,0.495732969752058
ACH-000117,Her2,0.572908483896308
ACH-000017,Her2,0.570596886873391
ACH-000276,Basal,0.796369863013699
ACH-000554,Her2,0.66336781380545
ACH-000818,LumB,0.489249224825904
ACH-000856,Her2,0.375261859317536
ACH-000223,Basal,0.484935019523282
ACH-000019,LumB,0.990784044016506
ACH-000330,LumB,0.74032872319102
ACH-000643,Basal,0.623723827651843
ACH-000573,Basal,0.582779597566682
ACH-000711,Basal,0.482914825792741
ACH-000248,Her2,0.577816773568922
ACH-000783,LumB,0.607030956260183
ACH-000857,Basal,0.841045038705137
ACH-002499,Basal,0.892445958646617
ACH-000759,LumB,0.479686302258388
ACH-000196,Basal,1.0
ACH-000910,Her2,0.562347063621533
ACH-000258,LumB,0.403636753741351
ACH-000691,Basal,1.0
ACH-000147,LumB,0.645820983995258
ACH-000930,Basal,0.930673499267936
ACH-000374,Basal,0.587299652629654
ACH-000148,Basal,0.697646676065503
ACH-001705,Basal,0.560949960564368
ACH-000668,Basal,0.816648531011969
ACH-000876,Her2,0.507219519728206
ACH-000699,Basal,0.878868552412646
ACH-000044,LumB,0.639538548824308
ACH-002921,LumB,0.570921985815603
ACH-001396,Her2,0.611933141526236
ACH-000352,LumB,0.669743987587277
ACH-001419,LumB,0.35506884497396
ACH-001390,Basal,0.845761052042529
ACH-001389,Basal,0.472627834120958
ACH-001683,LumB,0.517470123556816
ACH-000536,Basal,0.615317783866872
ACH-000568,Her2,0.469829858614905
ACH-000111,Basal,0.969712601326455
ACH-001819,LumB,0.639705882352941
ACH-000212,Basal,0.835008818342152
ACH-000621,Basal,0.436378827345555
ACH-000849,Basal,1.0
ACH-000028,LumB,0.723818838399037
ACH-000277,Her2,0.555920086181569
ACH-001394,Basal,0.898509763617677
ACH-000721,Basal,0.489322191272052
ACH-000902,Her2,0.527525499510968
ACH-000097,LumB,0.764027234901021
ACH-000927,LumB,0.522269933484887
ACH-002399,Her2,0.531366564937267
ACH-001391,Basal,0.552166581127649
ACH-000768,LumB,0.377045816017649
ACH-000288,Basal,0.577132007805495
ACH-001662,Basal,0.499090847868543
ACH-000934,Her2,0.601075667655786
