,arc1,arc2,arc3
ACTR3B,1.362654944051115,3.8009421494082347,2.996330556923205
ANLN,1.4596221582799647,7.24877678931875,5.5900599823573565
BAG1,3.563702357362238,5.470320744749756,6.092051480985274
BCL2,-0.35355536060081727,1.3415136185819225,1.9456403209450024
BIRC5,-0.09890517967779733,7.105272846219951,5.797720725128114
BLVRA,4.275723436784519,5.001793435659835,6.680554128520319
CCNB1,2.4583494440604854,8.283621810296946,7.252635014477208
CCNE1,0.45151637176529746,5.036831510406716,3.3115041278415154
CDC20,1.0175926658421428,8.218774770227547,5.831226462004237
CDC6,-0.18250577757548836,6.239607067469254,6.364632091503696
NUF2,1.0565375428866526,6.210035612856647,4.928229575826112
CDH3,6.722381467796641,5.045140627768562,3.577182228297233
CENPF,0.7006610996213123,7.046149063849093,5.991458933193681
CEP55,0.8516313966066607,6.123885564165882,4.547604172384567
CXXC5,2.767501776650374,3.4010520392621064,6.719274217509324
EGFR,3.6645306199887635,5.911399200409171,0.6106906354470736
ERBB2,3.544123020001125,5.00484472725312,8.688260467942065
ESR1,0.2770803200920864,0.14719931209523218,4.111850861318612
EXO1,-0.6753859384987289,5.067937429945369,4.402880874463458
FGFR4,-0.518988130922927,2.730813338865195,6.68971281714154
FOXA1,1.8572677123511019,0.8133642998920454,8.012104697668766
FOXC1,2.8151870753155883,4.459151457681398,0.4324758942906808
GPR160,1.5888456625434748,1.8889256090578344,7.036676198821131
GRB7,3.6349142475450593,3.04117454237078,6.282196810693312
KIF2C,0.34040848277753266,6.47062954056139,4.597806249558765
NDC80,0.5287871659632533,6.335812555131053,3.7987505347086588
KRT14,2.5419673524200084,3.269717124626312,-0.18555750067222543
KRT17,10.523919296858942,5.717301474065147,-0.17237900032895892
KRT5,9.896432548148605,6.306258274701248,-0.8970434810525294
MAPT,1.1933599580050145,0.4660363684063247,3.122863018320082
MDM2,5.283350661694825,4.457981115325776,5.585140733675143
MELK,0.3465594713038822,6.182864307242764,4.804856384310463
MIA,1.666069263862747,2.6056246030781973,0.10153314870532837
MKI67,-0.3390498822095882,5.988818416639798,4.742435006881058
MLPH,5.557805082199508,2.9167074562375634,8.655276104744079
MMP11,1.0346885638908174,1.9263168501063077,1.4442662808060358
MYBL2,-0.24254637938112378,6.544145651053624,5.841976077198468
MYC,4.723823259199357,6.855505553974461,5.250758962481444
NAT1,1.2439686967258878,1.580698138239152,4.250598319054763
PGR,-1.3506500443047793,-0.18183930147685112,2.1488304911346208
PHGDH,5.1691985949821,7.663752336236509,6.2878024640661385
PTTG1,4.6144365454151135,8.356384885070048,6.890504922624193
RRM2,0.031395347920224914,7.843003837091013,7.162581369523612
SFRP1,2.913139900996911,5.190009514867561,-0.3025584651410478
SLC39A6,2.6830239999308034,5.450424181711084,6.600532250869966
TMEM45B,2.800379780409809,0.41613085207270606,5.114694018399921
TYMS,0.6535501174334897,8.070342089125386,5.918735038003266
UBE2C,2.202574190088127,8.553351552358945,7.651434210334008
UBE2T,2.953654184274349,6.970132239567283,7.030004538665459
