,arc1,arc2,arc3
CDH1,8.084915813858112,0.3854394243617616,6.665773025830416
AGR2,4.72274420853195,-0.8746426091208201,9.73733424687229
EPCAM,9.130775291990908,1.2322173842398039,8.787604940329254
KRT19,10.424517413857078,1.7217913473344737,11.66094244215942
RAB25,7.698179661363524,-0.33801082072601485,8.352797775387149
TACSTD2,10.238587086579216,-0.08328689922437338,5.975531020500524
S100P,8.848025932478782,0.2093320621405521,6.7793155645672964
CEACAM6,3.130310654319286,-1.5836943696893622,4.396102923134242
FXYD3,8.811812231505534,-1.0118543833012428,9.106729611270572
SPINT2,10.338265970903581,2.160551355900954,9.728525731202614
TMEM30B,5.131679283478087,-0.592619790039207,4.456018202803748
SCNN1A,7.113809456084061,0.31596655562745735,5.650828381372451
ST14,7.001158652707164,-0.049648147783474705,5.972227695567034
ESRP1,7.172730296874839,0.14428912079761336,7.042971231659184
S100A14,8.470558600746303,-0.8524110279316881,9.411614215334147
CLDN7,8.637591474078784,0.005367359561478047,7.636666838817606
ERBB3,5.8320391830904414,1.1966458207825639,7.63254607097298
RBM47,4.697866293273172,0.8717842825909208,5.401677866114442
SPINT1,8.028685521509507,0.35565531198394584,7.704729852529424
ELF3,9.054528535137047,0.4300847032593662,7.1959467296214585
CLDN4,9.04220246528402,0.6426871739843643,8.567745695911247
PRSS8,6.956903765737697,-0.6155391510178632,7.196244436224901
SH3YL1,5.817822397903174,3.265517215625876,5.789664284459859
EHF,5.211867595371009,0.8922695543953263,5.311650700995836
LCN2,9.59484017281824,0.6139495760180465,1.4208033426777464
JUP,7.375032738276561,2.141847744814087,7.8139484287950465
VAMP8,8.131996440092763,2.1332398433647715,8.048457435337731
KRT8,11.08823836191552,4.5020553368655,11.377345303293309
KRT7,11.777215893121358,3.63659681206662,8.37018803409847
DSP,6.568012871569378,2.410595166921493,5.59121428333905
CDS1,4.66351620505267,0.6679337598620307,4.512957846251092
ITGB4,7.2222909714250525,2.0447156675043887,4.409002687537936
TMPRSS4,4.083957463433898,-1.2087929168201736,2.2873922086503473
LSR,8.277625678357904,2.578682982246856,6.7820061419448425
SORL1,3.0383850192346675,0.17049227416905888,3.7571514182087697
GRHL2,4.987448632254914,-0.32362099558829405,5.367911726840019
PPL,5.151331400746743,0.8508307029754385,3.8364367421092527
C1orf116,4.18606021426655,0.024728666958646173,1.8834371845007631
TSPAN1,6.250076702651491,0.5373382585113209,6.500946545345105
MAP7,4.60895512655869,0.5854461765355885,5.027198533365179
SLPI,10.23825570385544,1.6156010373402214,4.286916843331719
TOX3,0.17872075494048656,-0.14923641486362293,3.4539023818707486
ARHGAP8,4.65864065825168,0.4512367098997374,5.5621353672826945
F11R,7.767564912147615,2.11810312356774,7.022564499711234
LAD1,6.223075755252215,-0.08440340667766844,5.590608359908068
GPX2,2.5902067315553077,-0.042325912444315605,2.9344452513096213
CTSH,7.138601898225584,2.106904756764564,4.313429817624941
FA2H,2.3408625879308467,-0.3290101310342206,3.164438225816612
KLF5,5.8889602303183715,3.071678304248705,3.2774990654595455
AREG,4.885586617665978,2.2535204562138755,3.6728075815260164
KRT18,10.34630968829568,5.143013936549225,10.777149188356084
SCEL,2.175473431372122,-0.360819465209525,0.32731546234722725
CDH3,8.033981716173695,1.3118292967114384,3.8301407748040046
MPZL2,6.740503274351856,-0.4453140405565321,4.117757901670773
OVOL2,3.2680444133670683,0.2227180144996792,3.635283109104488
LLGL2,6.078083023807776,1.8596298056827871,7.27661233405407
ESRP2,5.463254210231738,0.4035148311724335,6.6347095161427685
MYO5C,3.583052025402381,-0.08044094644896704,4.831649531907003
DDR1,8.183732296413968,4.119746134315777,7.678296723182756
VGLL1,6.785785600368635,-1.1038735988675437,1.8108518089931849
IRF6,5.540977170400477,0.029216724724240084,4.719884111599217
SFN,7.728119189342506,2.8509942432962783,5.042818368383422
TSPAN13,6.5225498691161725,2.7262246631038334,8.688408373872834
KCNK1,5.37526594176332,1.338904686014455,4.665348555256424
MYO1D,4.464803052783058,0.7655444365590967,4.404133028485101
