requested_symbol,status,matched_matrix_symbol,match_how
CDH1,present_exact,CDH1,exact
AGR2,present_exact,AGR2,exact
EPCAM,present_exact,EPCAM,exact
KRT19,present_exact,KRT19,exact
RAB25,present_exact,RAB25,exact
TACSTD2,present_exact,TACSTD2,exact
S100P,present_exact,S100P,exact
CEACAM6,present_exact,CEACAM6,exact
GALNT3,missing,,
FXYD3,present_exact,FXYD3,exact
SPINT2,present_exact,SPINT2,exact
TMEM30B,present_exact,TMEM30B,exact
SCNN1A,present_exact,SCNN1A,exact
ST14,present_exact,ST14,exact
ESRP1,present_exact,ESRP1,exact
S100A14,present_exact,S100A14,exact
CLDN7,present_exact,CLDN7,exact
ERBB3,present_exact,ERBB3,exact
RBM47,present_exact,RBM47,exact
SPINT1,present_exact,SPINT1,exact
ELF3,present_exact,ELF3,exact
CLDN4,present_exact,CLDN4,exact
PRSS8,present_exact,PRSS8,exact
SH3YL1,present_exact,SH3YL1,exact
EHF,present_exact,EHF,exact
LCN2,present_exact,LCN2,exact
JUP,present_exact,JUP,exact
VAMP8,present_exact,VAMP8,exact
KRT8,present_exact,KRT8,exact
C1orf106,missing,,
KRT7,present_exact,KRT7,exact
DSP,present_exact,DSP,exact
CDS1,present_exact,CDS1,exact
ITGB4,present_exact,ITGB4,exact
TMPRSS4,present_exact,TMPRSS4,exact
LSR,present_exact,LSR,exact
SORL1,present_exact,SORL1,exact
GRHL2,present_exact,GRHL2,exact
PPL,present_exact,PPL,exact
C1orf116,present_exact,C1orf116,exact
TSPAN1,present_exact,TSPAN1,exact
MAP7,present_exact,MAP7,exact
SLPI,present_exact,SLPI,exact
TOX3,present_exact,TOX3,exact
ARHGAP8,present_exact,ARHGAP8,exact
F11R,present_exact,F11R,exact
LAD1,present_exact,LAD1,exact
GPX2,present_exact,GPX2,exact
CTSH,present_exact,CTSH,exact
GPR56,missing,,
FA2H,present_exact,FA2H,exact
KLF5,present_exact,KLF5,exact
AREG,present_exact,AREG,exact
KRT18,present_exact,KRT18,exact
SCEL,present_exact,SCEL,exact
CDH3,present_exact,CDH3,exact
UGT1A1,present_exact,UGT1A1,exact
MPZL2,present_exact,MPZL2,exact
AIM1,missing,,
OVOL2,present_exact,OVOL2,exact
LLGL2,present_exact,LLGL2,exact
ESRP2,present_exact,ESRP2,exact
MYO5C,present_exact,MYO5C,exact
DDR1,present_exact,DDR1,exact
VGLL1,present_exact,VGLL1,exact
IRF6,present_exact,IRF6,exact
SFN,present_exact,SFN,exact
TSPAN13,present_exact,TSPAN13,exact
KCNK1,present_exact,KCNK1,exact
MYO1D,present_exact,MYO1D,exact
PKP3,present_exact,PKP3,exact
ITGB6,present_exact,ITGB6,exact
LY75,present_exact,LY75,exact
MAPK13,present_exact,MAPK13,exact
TTC39A,present_exact,TTC39A,exact
