,source
ACH-000828,cell_line
ACH-000117,cell_line
ACH-000017,cell_line
ACH-000276,cell_line
ACH-000554,cell_line
ACH-000818,cell_line
ACH-000856,cell_line
ACH-000223,cell_line
ACH-000019,cell_line
ACH-000330,cell_line
ACH-000643,cell_line
ACH-000573,cell_line
ACH-000711,cell_line
ACH-000248,cell_line
ACH-000783,cell_line
ACH-000857,cell_line
ACH-002499,cell_line
ACH-000759,cell_line
ACH-000196,cell_line
ACH-000910,cell_line
ACH-000258,cell_line
ACH-000691,cell_line
ACH-000147,cell_line
ACH-000930,cell_line
ACH-000374,cell_line
ACH-000148,cell_line
ACH-001705,cell_line
ACH-001392,cell_line
ACH-000668,cell_line
ACH-000876,cell_line
ACH-000699,cell_line
ACH-000044,cell_line
ACH-002921,cell_line
ACH-001396,cell_line
ACH-000352,cell_line
ACH-001419,cell_line
ACH-001390,cell_line
ACH-001389,cell_line
ACH-001388,cell_line
ACH-001395,cell_line
ACH-001683,cell_line
ACH-000536,cell_line
ACH-000568,cell_line
ACH-000111,cell_line
ACH-001819,cell_line
ACH-002401,cell_line
ACH-000212,cell_line
ACH-000621,cell_line
ACH-000849,cell_line
ACH-000028,cell_line
ACH-000277,cell_line
ACH-001394,cell_line
ACH-000721,cell_line
ACH-000902,cell_line
ACH-000097,cell_line
ACH-000927,cell_line
ACH-002399,cell_line
ACH-001391,cell_line
ACH-000768,cell_line
ACH-000288,cell_line
ACH-001662,cell_line
ACH-000934,cell_line
ACH-001393,cell_line
MB-0362,tumor
MB-0346,tumor
MB-0386,tumor
MB-0574,tumor
MB-0185,tumor
MB-0503,tumor
MB-0641,tumor
MB-0201,tumor
MB-0218,tumor
MB-0316,tumor
MB-0189,tumor
MB-0891,tumor
MB-0658,tumor
MB-0899,tumor
MB-0605,tumor
MB-0258,tumor
MB-0506,tumor
MB-0420,tumor
MB-0223,tumor
MB-0445,tumor
MB-0199,tumor
MB-0517,tumor
MB-0155,tumor
MB-0428,tumor
MB-0117,tumor
MB-0906,tumor
MB-0249,tumor
MB-0660,tumor
MB-0497,tumor
MB-0434,tumor
MB-0143,tumor
MB-0513,tumor
MB-0541,tumor
MB-0653,tumor
MB-0455,tumor
MB-0540,tumor
MB-0384,tumor
MB-0637,tumor
MB-0157,tumor
MB-0443,tumor
MB-0584,tumor
MB-0292,tumor
MB-0322,tumor
MB-0501,tumor
MB-0401,tumor
MB-0140,tumor
MB-0606,tumor
MB-0666,tumor
MB-0598,tumor
MB-0453,tumor
MB-0138,tumor
MB-0579,tumor
MB-0405,tumor
MB-0471,tumor
MB-0347,tumor
MB-0619,tumor
MB-0171,tumor
MB-0310,tumor
MB-0621,tumor
MB-0614,tumor
MB-0372,tumor
MB-0374,tumor
MB-0382,tumor
MB-0327,tumor
MB-0066,tumor
MB-0144,tumor
MB-0596,tumor
MB-0164,tumor
MB-0215,tumor
MB-0146,tumor
MB-0229,tumor
MB-0505,tumor
MB-0102,tumor
MB-0569,tumor
MB-0516,tumor
MB-0272,tumor
MB-0585,tumor
MB-0494,tumor
MB-0306,tumor
MB-0463,tumor
MB-0198,tumor
MB-0203,tumor
MB-0607,tumor
MB-0631,tumor
MB-0363,tumor
MB-0427,tumor
MB-0519,tumor
MB-0371,tumor
MB-0380,tumor
MB-0221,tumor
MB-0348,tumor
MB-0261,tumor
MB-0576,tumor
MB-0385,tumor
MB-0659,tumor
MB-0270,tumor
MB-0379,tumor
MB-0432,tumor
MB-0527,tumor
MB-0624,tumor
MB-0273,tumor
MB-0050,tumor
MB-0460,tumor
MB-0654,tumor
MB-0454,tumor
MB-0392,tumor
MB-0336,tumor
MB-0467,tumor
MB-0349,tumor
MB-0378,tumor
MB-0176,tumor
MB-0429,tumor
