n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,16.1074198503602,16.07602534068665,16.1074198503602,16.07602534068665,0.998050928704584
2,9.339175901704778,9.331851533357632,25.446595752064976,25.40787687404428,0.9984784260182404
3,7.077662729492149,7.091025156241939,32.524258481557126,32.49890203028622,0.9992203834167261
4,3.9737632937747,3.974185784006601,36.49802177533183,36.47308781429282,0.9993168407539319
5,3.120676897452186,3.1201506465160564,39.618698672784014,39.59323846080888,0.9993573687973597
6,2.9059392687632637,2.9062915497809088,42.524637941547276,42.49953001058979,0.9994095674373054
7,2.6918365274018266,2.692109336009215,45.2164744689491,45.191639346599004,0.9994507505805842
8,2.1883537193934064,2.187075973338826,47.404828188342506,47.37871531993783,0.9994491517129663
9,1.821312259999886,1.8199818067420679,49.22614044834239,49.1986971266799,0.9994425051118666
10,1.6084648439252898,1.6079526252603922,50.83460529226768,50.8066497519403,0.9994500687048389
11,1.4588175544860305,1.458492126041992,52.293422846753714,52.26514187798229,0.9994591868875307
12,1.3715883683719001,1.369069675685578,53.66501121512562,53.63421155366787,0.9994260755609594
13,1.2549717806342122,1.2541174577964296,54.91998299575983,54.8883290114643,0.9994236344847744
14,1.205110693532595,1.2038188208096756,56.12509368929243,56.09214783227397,0.999412992391588
15,1.091780039610738,1.090624852298202,57.21687372890317,57.18277268457218,0.9994040037123916
16,1.027488362655862,1.026624085968572,58.244362091559026,58.20939677054075,0.9993996788742692
17,0.9374547687405523,0.9322138729115226,59.18181686029958,59.141610643452275,0.9993206322654438
18,0.8923128604702313,0.8882871344990917,60.07412972076981,60.02989777795137,0.9992637106351098
19,0.8835707157202548,0.8821076982587698,60.957700436490065,60.91200547621014,0.9992503824791171
20,0.863783985549138,0.8611000588327966,61.821484422039205,61.77310553504294,0.9992174421651542
