,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
ACH-000828,49.189452143723564,2.75307212258865,-3.8937909241584374,7.322914519217493,26.19402774864391,-9.841637926987165,18.503620216907496,-2.067168595176112,-3.1724950199964326,-10.856590014757773,-16.328685727615362,5.88851254322188,16.540377294733673,-4.826905159138218,-16.96830714323296,6.031300647249487,13.084388032954022,7.1389876999789275,-9.029751738215094,-1.9056836691615737
ACH-000117,24.717107043566138,8.604869335673033,-10.059240195217448,13.597239752063144,9.12297477797546,-3.1381594781480033,21.459621261802802,-3.3434636687418706,3.5912338219393254,5.8221090914379126,-7.2563509783217395,6.952052134233783,8.806598016569783,-2.967952269414413,-11.801020494737307,6.766827885892607,2.2537476324823333,3.6319906398563435,1.9422211373842255,-9.122095516080929
ACH-000017,11.039912931987415,20.310394403280732,-12.765552118643729,17.82986111749071,17.925139852321145,-4.11971013388744,23.73550636450177,-7.2823521387448915,-7.468350523547636,3.0463449531535045,-24.81142246797727,-0.7550953474762762,0.5038693334806489,2.1829634306410886,-3.7332573268190217,-7.860386694736715,2.815223905798294,-7.14665141072481,-0.7931091834274934,-4.3885795428173235
ACH-000276,-39.714029207496814,-32.44005868624962,16.744129416004295,-18.54939621486144,-17.188297946254313,-9.837104904977954,13.83411335795193,24.07137591226731,16.715955433163792,19.05037810526555,25.89048253164414,-10.174946878528324,21.333661339117427,-3.6681434954321834,2.5946838749327283,-14.9588210510656,-20.148936405622504,3.723285350139424,-12.008670545757877,-13.405490155728005
ACH-000554,16.60765940825262,10.480655788504725,-11.352714862655489,17.3482469279797,18.254823781804937,-13.9380940765655,35.49191801382267,-20.10571819175628,-7.275032591621788,4.120139149340038,-13.698780408581568,5.056729414557639,-0.9766402191790419,-7.149239573670548,-2.335384426098408,-5.423802329280887,0.5767426710084956,0.38497723220238445,-4.802791900308812,-2.716195397704224
ACH-000818,46.515670045893366,4.018151487226776,4.772568985407928,-8.010990677414231,-5.881180091918927,-8.65016931338979,38.15004155633019,15.899661978761733,9.555766781727659,9.51455240386344,3.17626199031913,3.3703205664249394,12.357024451327817,-21.2882775948669,11.798448762326794,6.406510532730056,-7.6311761410829675,-20.055735778904815,9.04492699809678,-0.5871754428854681
ACH-000856,-17.449053302420783,-28.107210565674936,8.335634132705106,-22.792283953937105,-31.61984047258476,-0.352176182193714,1.3686938750621362,3.1312537580132545,13.444079698885043,-25.367145438830686,22.739779033622526,-14.076215112963023,15.42431765201122,-2.999511426980798,10.590795701874043,-19.96385583861042,-7.904915770636242,15.085645059186504,-3.5511622321149074,-16.27291023143137
ACH-000223,-36.986384609722236,-0.5334103599639358,9.752254273066656,2.013551863658897,7.729218408212858,15.547872705546833,18.31014015911574,17.648220833634042,6.9034194853715185,36.570253503480934,16.3462749374124,-6.319476198451305,2.415360954780073,4.274708933042935,1.7922240080465544,-8.362739893663981,-11.781564720236576,18.15668206919996,1.840598730904801,-4.937016034324838
ACH-000019,38.362654934973406,10.77478472259426,-19.501848885142284,6.338245469795509,-15.16280231021159,-2.9792273017703574,6.8600500368008905,-5.710822825698255,8.282228983706268,11.260091293967593,4.014870675541712,-4.97095759910863,2.4812272726775237,7.580147205572192,7.5379769185182806,-7.532991829835197,-1.4804479595995486,-12.750384656422927,5.330085782621631,-2.410802733548723
ACH-000330,31.38040204515615,7.667493649535159,-7.764815428779487,-4.056465928917897,-6.2104985152708485,-10.297591729387946,22.199767906595753,19.674607922202373,10.898812700964928,-2.033632749228717,-9.953788169063305,-2.860715873001552,5.337725671233493,-2.812478291019289,-1.9099907644929977,-1.7595052164873666,-2.5256183628308655,1.622476198760755,18.94904239209222,5.183033484642003
ACH-000643,-29.63684215667511,-1.6350667140245883,21.265261480231835,-3.8751424383149353,3.1722376384683133,20.417045662335088,-14.22575133252441,10.124889717094291,-6.204257320668818,19.639135940380744,-9.524307082890394,21.720201707402722,-21.669829876160073,13.692076073096908,-12.194448907643457,21.458255847948784,-3.148481106005038,-0.5949723620805061,1.7122085573456238,0.4898765403514023
ACH-000573,-41.24359164241901,-19.01109588189089,11.362688086318007,4.749338733998173,-35.96969383795928,15.527751871004764,-24.132879342728646,7.78867142683073,-6.566850830470955,-13.49733329731715,15.356875793548229,-15.766257116115845,-2.089246671790936,-3.7268824786195247,25.415873147028993,-12.487776433899013,8.081228183932769,0.5592254187209446,-0.2173876490663284,-9.888461466605872
ACH-000711,-27.319077105515287,0.012109496197837088,4.692533926511302,6.266918467834105,-12.484185719617866,1.4716902667601592,-0.06842476578355729,3.198777612081849,-8.451410423528086,22.06170100854463,2.8316012769575,-6.09919148662187,0.9247009840899999,5.580174974734348,9.837419146980832,-3.624659441961379,-8.009465744389246,1.942146425147582,-0.22028898468042515,-2.5369216155066106
ACH-000248,6.314449844196479,5.878791133774124,-15.690030080721039,21.883410299290937,23.246081274465354,-2.639478468477654,33.97859944973194,-7.083183165445452,-6.288078672725816,10.27014852975768,-19.03368765211808,-8.431660307524583,4.377402447906431,-3.40926554851408,7.201784650803111,-15.318579227859278,2.8681347089577027,-1.6078992500629412,-0.15543923767602758,-8.992386305067294
ACH-000783,41.93497633636562,8.864476508274786,-15.273932964905152,-4.897481886306186,-9.263078833614273,-7.739314472616861,24.656165934230586,7.176890674165564,6.187754839345909,-10.388681225396835,-0.22849484167471593,-9.494528984651202,12.68049735787013,-0.3020757229016303,-6.094671079020978,-5.643639422992642,-5.732925035337686,-5.596786814248399,-12.819933298611566,-0.11113956735164358
ACH-000857,-38.19168891518906,-4.5943907252622775,-0.5363581310594315,13.110676593261685,17.402215419109538,5.580217375850446,-27.55570363812406,-2.4362569635029954,-11.906946325204846,24.52714730531397,-8.67866975058506,15.91964651366395,-19.967975589536675,25.203243537323274,-9.936756705407804,16.472245186107685,6.690574507680595,-2.80912642495224,5.100210709720594,5.285742960527423
ACH-002499,-48.84474294323183,-19.079527162479227,15.155370823798483,-13.70199291178242,-15.289028739657502,5.502005303399309,-7.485345887069872,22.998916292555695,15.778667403202945,3.4068157611209386,19.842618549881163,-11.677692042126058,29.03127780820693,1.7433113758810987,0.02132608501673372,-1.8336550677143573,-18.944492476578738,2.6659580170722603,-13.411218091365841,-5.626409163395984
ACH-000759,28.56674473657076,5.644935247574132,20.567094871479764,5.089372105758952,19.621522638001423,-0.8046018450867669,35.737443671685114,-1.9431278027415149,-4.134754685708414,21.25367524825808,-4.22802521194765,12.213456323839994,5.733674354156502,-15.412191206728608,-1.2633351205814685,9.157706699198776,15.404743755817627,-2.772149213241997,6.390129819840804,-3.611248664968578
ACH-000196,-27.975318473093616,-8.341283956904661,-34.81478079304021,-34.78624074093437,3.9915051157216253,-7.876039267253539,3.8937907806153205,11.186403498457864,10.900315890172896,-8.784818251406314,-6.652194920918291,7.2081982841455545,3.5939390136795946,1.0070362586199453,-14.798983466242367,-13.954048377623904,4.990709705370036,-5.505941058371344,-2.5886543004830553,-0.7270728730166819
ACH-000910,38.70575853654942,20.508297984312634,-25.675552847120382,6.458659262581629,8.127616655602447,-10.711828540518804,21.936716973146783,-5.502347464422407,-3.7202709271040573,-28.939746322957255,1.3855079862736337,-14.791977630324478,7.641255796823706,9.643182707374061,-8.290224989081956,-9.811390762628273,1.6424506302746837,0.26210160641606367,-11.086300162502186,1.2218941319973042
ACH-000258,-2.5446907557242713,3.3116934141966814,-11.30277564797983,-17.023126342443074,-26.948897257521644,13.735803697502918,10.765125804035787,-8.867018991295955,-4.2624965518992015,-17.107867960984677,27.3457059381394,-4.571128598944255,7.198746422301312,-22.574610688349278,-10.04445554026624,-2.8069288306872697,22.960192446307946,-13.257117519016287,13.03754404405848,-1.868668291359221
ACH-000691,-25.2460804297852,17.06096829151,-22.256705613726872,-29.005918788558205,7.860877103059988,-8.554329139591719,9.106611720141343,12.393854158117573,-6.494005585175265,-10.570440414211534,-15.686415146031631,8.28426888503146,24.338322593407476,-9.578826473545229,-1.1201904387001158,-13.930320629057354,0.35083540560728704,-14.41477907415626,-0.36966381223702277,15.055897318129254
ACH-000147,40.863005617766056,8.551199773814885,-4.714089286880294,-0.35655176207224903,2.4142982498314836,-0.9708549543201883,19.137019090747625,18.329550369524366,5.626773560160745,-0.7254084370502746,-3.4635903928974594,-1.4405925301046838,13.388835354893175,-7.444972947986239,9.142164418250548,-11.924976064861625,-11.5590435913799,7.934793212832311,2.1517598124653543,-11.719241426469965
ACH-000930,-43.6052995786663,-3.3348255124036057,-12.009247170336742,-20.304360845775687,-15.503097484884945,-3.2659155359574226,0.6857807405503231,13.313307298899504,-3.0443001562655354,-3.8537905238318437,-1.9060636765348198,4.141601826585308,32.36581606405347,-12.450914850957815,15.362154330082317,-8.405039175863548,-1.9091507560570258,3.1710382611050996,-3.096902760189516,6.245861565363038
ACH-000374,-44.74751750036075,-17.917208381868218,11.957565456064657,-12.022040038013825,-15.88149384151306,6.560236065592344,18.45403513089355,31.11399470306402,-2.6774143442642244,25.76855868257322,16.564630677045972,-6.048955318803966,2.16117872566465,4.658391732829077,-9.79377555713558,-15.760884810950724,2.8444280722933044,15.352795574410932,-8.131339126292575,-1.39254912501101
ACH-000148,-44.50068907286766,-48.046878770485016,46.64468029054509,10.226295145514435,-55.852801988549224,-13.262914763919909,-46.638324533445,2.5408705457681204,-26.501038958581155,-17.379772268718604,-0.47950548664543663,1.4215706056389086,2.4206183410707687,-0.917453812338798,7.2683979665609595,-10.317280764052125,-8.803287490137231,15.23096779207905,-12.018394788780585,2.845502707324822
ACH-001705,-19.369195279550063,-3.2694749600535435,1.636024356429484,15.623967009744852,14.73329753463261,1.3172493935948997,-20.018118082154142,-12.1358852547548,-5.824808104126999,25.70069375989233,-5.656489064537364,-6.251096227268149,-20.705555854215696,13.752331345186734,2.3100534239498347,-4.86119564042418,14.253771880671762,-1.800527854480632,6.795102260137567,0.6445470743969606
ACH-001392,31.77125620242736,44.253205554500724,7.832129557921241,2.1427959638526866,24.550932374822526,-7.807528796734927,-8.618114620452584,-30.809750345898486,-15.395487832804095,-18.326751842652193,-21.492269081196117,31.930555173399203,-23.936800985477625,0.18932337192081738,-17.038915792280438,35.44604962723774,5.181867991821286,-18.682330768506308,24.57994815482846,20.74081770809122
ACH-000668,-35.77479828648266,-16.696853771330996,2.439415614646948,11.558637620643928,30.646611983081723,10.217870007914925,18.076124948962597,19.838321560601504,-2.6907311447376845,32.52917840459351,21.165603593843024,-3.2856870814692933,-2.3716332075011017,11.590136428436058,3.6475796371776643,-12.47383863655542,-8.896485155524745,9.25227467442579,-10.219512316312702,11.23357740418702
ACH-000876,21.9882846857494,9.547993653144893,21.694470138864467,11.450319813693323,25.393981638951193,8.832580992705005,18.480358276691877,-2.1887706748061437,2.6200802130073595,10.453588979897207,2.546642544074327,4.629914017016362,8.717685452997491,-2.2276469195439637,-13.052017669802643,17.730201979877478,-8.31296328486078,16.149440411576425,-3.9075299979882794,2.4493334209821587
