,dist_arc1,dist_arc2,dist_arc3,dist_arc4,nearest_archetype
TCGA-AR-A5QQ-01,431.4589582999099,697.6162898102812,442.9882716310323,408.32315090052924,4
TCGA-D8-A1JA-01,438.6157488120499,699.4644303218743,429.3426695245448,409.5940786881197,4
TCGA-BH-A0BQ-01,439.685017177892,705.1590163755814,433.9668827730191,417.66236059933686,4
TCGA-BH-A0BT-01,437.8945504427448,699.3623115499892,422.08058251309296,412.8330589829362,4
TCGA-A8-A06X-01,434.201464314015,699.5049956991451,423.91558748246797,414.14891413110854,4
TCGA-A8-A096-01,441.2430516206028,708.6638728824294,436.9370468452335,422.43440672946235,4
TCGA-BH-A0C7-01,452.3597553846615,718.27829557755,443.74865475364646,432.05992592469886,4
TCGA-AC-A5XU-01,435.0611815024753,704.3740284092696,428.22700672936935,422.22433282008984,4
TCGA-PE-A5DE-01,435.6551281967564,699.6740067358056,425.4115765131173,412.8538339560036,4
TCGA-PE-A5DC-01,444.3663208663107,708.5083907534239,430.5150164660681,423.56502537372035,4
TCGA-AR-A0TV-01,430.9783370985229,697.2979937821863,419.8065242237623,413.97407226503583,4
TCGA-GM-A3XG-01,430.74957551223235,694.6653055323735,420.1782464483063,408.07375208329626,4
TCGA-BH-A18J-01,444.5354528136503,709.8887806586374,436.642599718063,423.0073124344326,4
TCGA-BH-A0W7-01,449.6070563788121,715.6770395943532,442.1996191456154,429.1333421653227,4
TCGA-E9-A3QA-01,436.568887059038,704.2600407919896,442.03511034824265,415.9083165713604,4
TCGA-A7-A4SD-01,441.97468890093097,708.3162708283597,448.1537517378968,418.971994897696,4
TCGA-BH-A0HA-01,434.8264215249505,701.7272756670532,428.8985936633622,415.8865481970055,4
TCGA-AR-A5QN-01,443.39221561702396,707.7136574144428,432.858476361253,421.079186674416,4
TCGA-A7-A0CE-01,447.9438847584698,714.7288539892038,449.75281903360525,426.03400507713025,4
TCGA-AR-A0U1-01,447.5609339460134,710.4423664083035,443.9166139850948,420.26024422257365,4
TCGA-EW-A1OZ-01,438.6452360201832,703.7330178928439,426.0336684075999,419.39322946390473,4
TCGA-A2-A0EY-01,448.4082204678469,710.3571659003958,433.35663630531246,423.5293266240271,4
TCGA-A8-A09R-01,445.7797189174012,712.5353461168745,438.33947226621274,426.87732036621514,4
TCGA-LL-A440-01,440.37794092069856,710.418221598357,441.6994713740158,424.8030425216039,4
TCGA-BH-A8FY-01,429.3938352673012,689.8155238812797,408.40069286745523,406.0387563175202,4
TCGA-E2-A1II-01,426.5396284490915,697.1852983511485,434.6191965141141,410.9181302438372,4
TCGA-A7-A6VX-01,444.983635889562,710.5665459254144,435.0433099419382,424.9335848961242,4
TCGA-C8-A273-01,440.7083466737709,705.5072605484862,429.88327050757516,419.632553758349,4
TCGA-BH-A1EO-01,436.72490634192576,706.1506799846409,437.27150442840974,420.2907939932708,4
TCGA-OL-A5RX-01,440.2942195986515,704.7327768819856,430.08136720659667,418.1638059516377,4
TCGA-BH-A0B9-01,445.79234395910714,713.9173903028955,448.0473680919902,426.1731106000203,4
TCGA-EW-A1P5-01,442.8669531325221,706.4093794754388,431.85488478961634,419.24925239999,4
TCGA-AO-A03P-01,435.78477953556495,703.0610684012328,426.7757454879324,419.36599299193614,4
TCGA-AN-A0AS-01,430.31484701867697,696.8724905540878,426.7174299047123,409.8908395429131,4
TCGA-A2-A1G0-01,442.5780550421954,708.6881737780649,434.05957094641326,422.97409975612294,4
TCGA-B6-A0I8-01,441.9204934313053,701.4912466187853,421.89642995758663,415.4437436935584,4
TCGA-A7-A4SA-01,442.878937741942,709.5265620824968,435.54400498103945,423.79745335444227,4
TCGA-AR-A24S-01,445.4294568966289,713.5911109885775,444.40543209006455,426.74988625830554,4
TCGA-LD-A74U-01,446.0081970477916,712.6142017335233,439.47194054675765,426.34859853768313,4
TCGA-D8-A1XA-01,440.03652669552434,704.8017538215075,427.88789099791205,419.6929712656692,4
TCGA-D8-A1XR-01,439.4724239039103,704.4794201568515,426.7422440776718,420.0804740369264,4
TCGA-A8-A07Z-01,433.05653155432026,695.6270811718699,417.3328613759014,410.4594848960406,4
TCGA-E2-A1IJ-01,441.2976161006426,707.9898362388008,436.7062896498562,421.1479771288876,4
TCGA-GM-A2DH-01,455.8524881442364,722.8367330689822,449.09650994224415,436.7494530040382,4
TCGA-BH-A0AY-01,430.5678090627278,696.9540419387,422.76020198690907,411.63221928381785,4
TCGA-BH-A42V-01,437.9363749101776,704.3233002713085,429.91011459471736,418.836074732225,4
TCGA-B6-A0IH-01,437.1880393212973,704.7069244296955,432.9548035373299,418.6877615693848,4
TCGA-A1-A0SH-01,435.753029318046,703.6353075395923,434.4792732652865,416.9145050715303,4
TCGA-AR-A1AQ-01,436.2821489722426,705.1826872653086,443.5745097473149,417.44648220013937,4
TCGA-A7-A0DC-01,434.47065181079245,696.335815942757,412.4139414838095,415.6553175067429,3
TCGA-A8-A07P-01,441.67094420276067,704.8420868473348,426.17654182786964,419.9119945555078,4
TCGA-A1-A0SN-01,448.0520677241803,712.7785748754768,438.04873053078063,426.1404591948075,4
TCGA-BH-A18T-01,435.7531327377395,704.5454231458415,439.9490208151041,417.2027797158675,4
TCGA-E9-A22B-01,439.45555857692256,705.6488645551137,433.37132476369635,418.9826326623443,4
TCGA-S3-AA10-01,440.0596468394802,710.1462658288458,449.95402038871464,422.8991971609664,4
TCGA-AO-A0J9-01,435.0861702492805,703.8015207246441,433.12882168397164,418.1840515017716,4
TCGA-A1-A0SE-01,447.48956565626514,713.4504141660196,438.4213237711865,427.6827035155926,4
TCGA-OL-A5RV-01,447.73961170477196,709.7543289938981,432.09747312251324,423.3600010340935,4
TCGA-A2-A04U-01,420.021742250381,691.4311698899498,425.79538125063743,406.56124886423146,4
TCGA-A2-A3XV-01,399.0070889268357,659.4043792031133,381.11063001291035,374.6057374009596,4
TCGA-A7-A3IZ-01,439.13693382471786,705.0460280719067,424.23564759024566,423.8435199291973,4
TCGA-D8-A1Y2-01,435.3572387523285,704.0681811424827,434.1915646675384,418.1322976770454,4
TCGA-E9-A229-01,449.4596355995792,717.5073204964212,446.0327869776008,431.2932029836029,4
TCGA-A7-A4SB-01,435.17271360840004,699.5779292459043,420.8579563655358,415.68717991677914,4
TCGA-BH-A0HK-01,432.78147914119177,695.568081890906,425.0585894143914,406.75049081271607,4
TCGA-3C-AAAU-01,445.0252200215979,710.6313215971043,429.7915047033402,428.91720146241494,4
TCGA-E2-A14Z-01,441.7353867776214,707.5415075786382,433.8955342882286,421.18892058762424,4
TCGA-A2-A3XW-01,416.91183380989736,678.1735263859701,405.71562362032387,389.9028226851925,4
TCGA-D8-A1Y1-01,439.9218243874482,707.8443672087785,433.20704973067967,423.4178369330488,4
TCGA-AC-A7VB-01,441.40122138931855,703.8389094051212,420.81600541277976,422.20207544334534,3
TCGA-B6-A0RO-01,443.3529874001347,701.4076398845077,421.8536935339063,414.6927469270725,4
TCGA-A2-A04P-01,432.285527709933,698.31625676263,431.87823587623546,409.91949862678683,4
TCGA-A7-A13E-01,428.7616601158522,697.5712655410972,432.77931768916454,410.4724155864151,4
