,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
TCGA-AR-A5QQ-01,266.05209637357484,348.36026763363,108.50378418572069,33.85589970018597,96.60294730412382,-44.67393283359163,-11.767230193692349,87.3269917507815
TCGA-D8-A1JA-01,213.8382194703722,380.6325710871828,101.67681680479035,-19.318111378498244,97.96655216546934,-63.99836499101831,-43.06970657519775,38.91924478351078
TCGA-BH-A0BQ-01,221.72015623590764,386.72223990572104,81.28874734723584,28.368839599327213,128.75464176599155,-68.94778344663166,-30.669224832123906,82.36707243310053
TCGA-BH-A0BT-01,192.97968937187485,394.4650666625058,77.68622906128869,27.845122495486137,122.16480746201181,-54.29617217758102,-34.70197836889179,87.73927333767924
TCGA-A8-A06X-01,205.00340481120034,390.688374124201,66.36718774356038,14.790059226637776,90.83881143005037,-54.236972072446115,-18.072593773498824,68.97481280554737
TCGA-A8-A096-01,225.03524363982442,390.462316493167,71.62212567238683,7.623797547517093,127.9468027684328,-58.60380733471427,-27.450988789217742,62.54943214682933
TCGA-BH-A0C7-01,218.15912617314441,404.4602404681583,73.01328208825319,25.447680205279404,113.23016695880645,-58.72637133634934,-12.880582498545973,60.70750281754647
TCGA-AC-A5XU-01,211.36378814549673,395.6123951896901,44.49598879878974,27.081111910803237,117.48273242619446,-60.156453798462444,-3.7416373479961216,86.15768561209487
TCGA-PE-A5DE-01,207.1403931226691,388.37773432049494,76.83545662123612,27.334462617844558,125.46750185512019,-60.82508019652075,-22.477894166561057,81.58844164128442
TCGA-PE-A5DC-01,199.23304649146584,403.41991752794263,65.81977653308044,41.0231994782434,123.13008790761747,-46.97314889405181,-12.314506930017156,90.94891890557932
TCGA-AR-A0TV-01,199.3327658456271,392.4844832188635,53.32784379041419,10.343761365508328,101.83010842628909,-51.57494226925507,-12.13941160898679,76.20982791472727
TCGA-GM-A3XG-01,203.9676336557525,384.575187031764,74.92985393639046,44.85192797636392,130.29262172044432,-70.34602394066837,-25.770575053174028,96.39512409069917
TCGA-BH-A18J-01,217.38355114558786,394.8158624910898,77.25834069072292,22.94246629057748,120.2212194308772,-62.857099459005745,-35.08243339792238,74.29079702538587
TCGA-BH-A0W7-01,220.61145519837245,400.07662427290416,74.9509366567683,29.106368172658243,130.32650871290807,-59.93608233388333,-20.654118589511313,86.82339487151211
TCGA-E9-A3QA-01,251.46814848018752,368.0362960509974,91.86129423749253,69.17288207466916,83.63394513657917,-59.83063676458598,-29.6760561639157,90.30317811356957
TCGA-A7-A4SD-01,257.183532839913,367.40618696299373,102.93312963947943,67.4896069597342,89.89334299291724,-54.14381992668263,-37.80370943639293,72.62366601317905
TCGA-BH-A0HA-01,217.36529924655386,386.90176997223034,68.58788249916341,22.971918161999852,133.2095901199676,-62.1504965683613,-23.603450608273317,86.61436173469005
TCGA-AR-A5QN-01,209.47331490975964,396.3548304160655,76.14066456007677,33.42018191625643,126.86338247177808,-61.15601862401922,-22.37960020493406,78.10160203619733
TCGA-A7-A0CE-01,247.5209923654522,382.0162023597695,93.77944599725348,56.61742773756078,83.3626893399364,-76.15984267320619,-29.9269118837708,79.74445168472204
TCGA-AR-A0U1-01,233.5810169699835,382.2681351305372,105.86216224911868,50.120649031903724,103.447247837386,-67.11887269918341,-20.934747312103596,95.69914860304749
TCGA-EW-A1OZ-01,199.65144441796073,398.5787440321701,60.82369931277469,12.722357314392116,102.6293194198968,-41.52489816254839,-26.924630564493036,83.91838226425199
