,ACH-000570,ACH-000075,ACH-000376,ACH-000269,ACH-001611,ACH-000098,ACH-000887,ACH-000368,ACH-000760,ACH-001610,ACH-002680,ACH-000231,ACH-003438,ACH-000738,ACH-002681,ACH-000819,ACH-000571,ACH-000102,ACH-000634,ACH-000137,ACH-000445,ACH-001609,ACH-001329,ACH-000027,ACH-000370,ACH-000289,ACH-000543,ACH-001623,ACH-001624,ACH-000244,ACH-000215,ACH-001608,ACH-000464,ACH-000622,ACH-000558,ACH-000631,ACH-000479,ACH-000863,ACH-000283,ACH-000623,ACH-000609,ACH-000504,ACH-001605,ACH-000152,ACH-000328,ACH-000595,ACH-000469,ACH-002409,ACH-001622,ACH-000455,ACH-000036,ACH-000673,ACH-000200,ACH-000323
TSPAN6,5.590107943223052,3.5312941163347427,3.8756129838048894,3.6676991476059895,6.211537917962491,3.804301423419623,5.099859041446449,3.9384834078066806,1.7093347541631676,4.688146781119983,4.627379210518607,4.6580629203660235,4.725610293875998,3.8156778893605305,4.738103071346092,4.892366737913657,3.017408858546305,5.381892443359668,3.812272305219075,4.6774856911695055,3.928938760788691,4.667460727838317,5.186484710731442,3.985728110419125,4.482970868226043,2.938865388519002,4.439942223751478,4.461083214496076,3.187568238546818,4.167092938263839,3.605126857329378,4.947993367427647,4.502324236122013,4.696961964025816,0.1337187024590299,4.360736491606236,4.243638618334425,4.414724129918465,3.8222712673635986,4.250461392968035,0.413000419077857,3.8961943345670336,5.122262709910677,3.905485688603009,5.062566439778077,3.841429742328177,4.201963134415532,4.569065706420948,3.6116563454772272,4.564975610836223,4.264198611654218,4.241756303507617,4.405611220078344,4.253838032409076
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1410311870973814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1715527252571278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830880738939273,0.0,0.0363795432595659,0.0,0.0,0.0,0.0,0.0338859993048921,0.0,0.0,0.0,0.0,0.0
DPM1,6.951249740117799,7.220059037134706,6.739726613158921,6.589735028226531,6.942397208291255,6.956289026583943,7.046414662736701,6.053665277141053,7.085796415066086,6.805176354225254,6.951669382357836,6.655582240670001,7.138353725514751,6.8052666561024875,6.162514191793868,6.833990598368527,6.913044971283256,7.371097056599407,7.655001130946659,7.098558517938413,6.9468361112893335,6.716167829797151,7.550931438530927,6.1700251851193695,6.743595749817112,5.93862454546622,6.433218200881932,7.455351881547472,6.303404502691796,6.623050375344304,6.538711971839265,6.948227043879167,6.521418275706879,6.42125023377027,6.792816317877689,6.274468544548767,6.459629975568693,7.048236185652848,7.2880632003253165,6.131439264364208,6.740091051092496,6.701826258412055,7.5114126910482355,6.784320755306263,6.987775616142913,7.303114032512666,6.003869794022303,6.646534230031003,7.206311109615226,6.380159723567905,6.801456168330672,6.95099323197964,6.595430557168805,6.930962002083537
SCYL3,3.093989405345776,2.0841901548535233,2.39144879632224,2.1325538120066247,1.588411225522575,1.9220151208303595,1.851015391246399,2.190700186856169,2.4383727033383007,2.995128097520762,2.6741668397593017,2.576043175576846,2.0576166274259746,2.2436051086958058,1.8159647400484669,1.901382464201552,2.478420499631195,2.4871261451383573,2.474853929466151,2.5373408011272445,2.4424791054698893,2.2334923688827604,2.29177740173793,2.617321994628412,2.232335346318493,1.9138449099210315,1.6159859174984803,2.494279911314534,1.4752146158782249,2.6735790365878658,2.244049809610481,1.8065385379211811,1.8241527694642767,3.2372776594541963,2.5384885002951156,2.5357120854689463,2.3032897830930006,2.0423571704968753,2.1917647654448364,2.4672116487187843,1.941658486958574,2.479703964862034,2.744617517914367,2.0023172702708445,2.5975287905873135,3.0107082392077857,2.5693039377745177,2.8436944722915705,2.006872473815985,2.073240982907246,2.3118634535928395,2.224525002540655,2.6026326572492,2.0735529158596258
FIRRM,4.372596950693147,3.673635566531601,4.395762035430219,4.264063461764265,3.0800504440459653,3.9668826230110543,4.6927563646172805,4.1243033177869,5.156942620908886,3.555104446272325,3.314896604159347,4.44895379614947,4.3264798232674035,4.59352109955772,2.6795994511923005,3.953954289629321,3.9531814131104657,4.197598084380388,4.210661604039388,4.22720196651556,4.393903515132786,3.1170849262593183,3.597149742216864,3.215869597408509,3.5504205070520696,2.683772797238145,2.4271690074985632,4.346637830627403,3.1391043546518365,3.3160081292756787,4.002045372995635,3.6008168461009125,3.143889688344351,5.7588414753020265,4.839818534989838,4.104068226463717,3.914421012207694,3.146570508541438,4.12279694094791,3.5199066836777715,3.676910519107828,4.304605952835341,3.926853393086601,4.5970543684557175,4.903110595925661,5.249452926213327,3.678477606043868,4.243631002575811,2.5530090032942363,3.703344377510472,2.6575805585455816,3.723962590558581,4.565432669997066,3.5913084041851424
FGR,0.165155591687053,0.0130019532639391,0.0278065853762787,0.0391987682025495,0.0549498613879163,0.0597193667911246,0.0,0.1638735266816961,0.0,0.0700760229510372,1.0234469890976683,0.1683005744405146,0.0610365188055092,0.0335322457585274,0.0954032683034564,0.1603806897112469,0.0272276709620552,0.432525464845491,0.2122592895151372,0.4580722219641857,0.0181783643202004,0.0645076469183454,0.0,0.0270124650625816,0.1567331414645107,0.0,0.4610779743251417,0.0293284888369223,0.0,0.0251067758996594,0.0281659899026962,0.3511330243176223,0.0321996061950883,0.0333912839237762,0.0308473763541491,0.0332023734693119,0.3305756090141393,0.0993558063571957,0.0,0.7684070914574044,0.0340142311608611,0.5646035187102413,0.0,0.0475300131510021,0.031894829949134,0.0326199788734355,0.2709977047298029,0.133268907065104,0.3169207653940299,0.1553787984265452,0.2303481365145057,0.0,0.0748972262575283,0.0299192788429756
CFH,6.288552360562528,3.4902877247748196,5.643948519302828,3.086010929419307,1.8580884470324583,0.1895057868760233,0.1090248388111072,4.5190952390511105,3.496641301185464,0.2858389564180018,3.785791155213349,2.8082614740539458,6.133193598664106,1.7188766845525558,3.167057602656128,4.158409741818505,1.0042928380652505,5.005013660263327,1.9975922980394465,3.245358749371078,0.3054289346103739,6.097789858350297,7.874028454837329,3.592863625618032,4.532510220139991,0.7916507300870292,4.556398758620644,4.4990422176422,0.0050564309092713,7.167970027928843,4.918705843775787,2.8642178464459245,5.885874487905039,2.9152570039659067,0.8690106637723358,4.6138203987633775,6.209174547619521,2.3437773323238025,2.657434217863402,2.037659839403067,1.1567590247416162,4.9768172709147285,2.684652694665617,3.6879676880966534,4.422831756354012,3.97963211683832,7.292919755545336,6.2500160105485305,0.9964032094833042,3.952454717842929,3.3425220341581934,4.5458819036265385,2.0295730317488494,0.7099134631585884
FUCA2,6.830977809300408,6.219042642249062,6.8287458108313155,6.243415840783423,6.517664664431538,5.41981189908821,6.9893206955544676,7.284689943586588,6.677014856555722,4.968362672128394,7.361294634203389,7.270883966126697,5.534201705417868,5.6023202818597495,6.508057789139454,7.115688750943685,5.780785144191072,6.293554414625707,5.727272457323245,6.589255638454831,6.705825885575692,6.2918908308295896,6.131739688652106,5.074839354902533,7.127168951030249,5.621307577695532,7.084957166361566,6.642219245275306,5.582486756807303,5.837037489934441,7.462641320839952,6.906012689068323,6.461060288607714,7.025815061674826,6.145063975615794,6.477674089915712,7.128963527669723,6.055826868784172,6.516620346638166,6.800136298703843,7.076227712642178,6.72891366673207,7.342643631185528,7.23666481308299,7.5630208115225965,0.2924849357175693,7.029839349072531,6.737848974371172,6.597343450760781,6.746272452103603,6.972773056742157,4.631220717944883,6.102131090323371,5.920979227235629
GCLC,5.0548614976502275,4.879769470838861,5.181098574190873,3.7656408229808616,3.829311746271468,5.835307665295647,4.560531549379728,4.569260183944384,4.298357722784828,4.651304320130667,4.568895517080077,4.119663277358194,6.465775345791955,4.303378929049063,2.6587690266314064,7.089826499472332,7.10936055940423,2.617185620926433,3.960048282971392,5.84751342252421,4.381574097487937,2.836053385661537,3.9119983016993505,4.752063469684231,3.98581006646501,2.867870771934394,3.7526094523867353,4.064408656625935,2.2619188916364603,3.890660697648909,5.854008118552648,4.025817275906831,4.185739709402783,4.5874009978508745,3.7513780224491544,2.989703982569501,3.5773683997528067,4.1756283883667,4.007213445260783,3.950990899878275,4.345367986779791,4.570311124318805,2.929864834551654,4.944497726955581,4.812626573275545,4.413580543540835,3.70378732282977,3.4491691195288756,2.758049414481611,4.104504405299593,4.688051640719518,3.674460651560259,4.91076143877763,3.651373211258777
NFYA,5.039971827268341,3.1078133883644554,4.09785515768396,4.267985165784839,3.770131310502621,3.970697231219848,3.903086487724283,4.147135714631153,3.720169000151831,4.098705885315416,3.819617095657045,4.062613926886255,3.1789711328978187,4.410042547662062,3.2343541618417855,4.322598792156343,4.386328128343922,3.98945694667993,4.544800647669977,4.104814683038114,4.224788910311979,3.860714549549685,4.061715724072049,3.780425594023258,3.7646646237749986,3.5607760843251643,3.794977238430429,4.911782646127076,3.277101011886877,3.629333303607704,4.717281598335631,3.731802337764603,3.7581005970969303,4.663748790638748,4.02461223149015,4.923111139231397,3.880636553111529,3.3751965548768545,3.801686374824531,4.196103397714807,3.7200704744766,3.6815841954078863,3.667199556209468,3.9569580551539354,4.892701876202174,4.174246607392406,4.727092709050408,3.617921415782764,3.025891672126846,3.94481160429904,3.9344598871970047,4.075635310434394,3.577501338634411,3.91058876891868
STPG1,2.4379946992882187,2.4316390044252687,1.654224712315999,3.2506963478608313,1.6822137023704204,3.621254821582645,2.0318680178463864,3.871981604553686,2.804656621554604,0.0781343227476414,2.592021621521315,3.4746177477836864,3.0559487416362523,3.0695818797518375,1.2362354360249843,0.1651826109177742,0.4691191128948108,2.6645306260020836,2.27451513579167,2.797708210061545,2.79231397993327,2.3893382751731975,2.024745190197138,2.1329189692250248,0.3690789210581276,1.8311151672901549,3.2884560183417486,2.678335623695008,2.9318891416313853,1.682753061230546,1.818179764420719,3.087355908125621,2.3736732651554835,3.1873227735731575,1.5219351846492108,2.834231855653317,1.9557480016447293,1.7713024682577938,3.3394552560191824,0.7460005428961253,2.5562037659401637,2.463928434771959,2.119767842547207,2.9780985923609853,2.938174738676585,3.496973580998276,2.1586892551326335,0.1682838844195515,2.559229926214787,2.4422295997697567,1.827802768806967,3.918052238602539,3.1691264892442663,3.5214779526595064
NIPAL3,3.991961673465626,4.430766983099973,3.9365342967789703,4.304554847674469,3.729531018385867,3.6710442199568014,4.269145384960607,4.83450391714198,3.9604931758910182,3.0037245547650135,3.320579988055233,4.424881788903686,2.8001751356387907,4.7825710686610465,2.651988492754799,3.638664699679675,4.152207761285695,5.144658242831882,3.925638699704266,4.3637738266677895,3.943968196976026,3.5352318229055473,4.017236019559326,3.842103901252558,3.0864152341136997,3.5783228708157235,4.170766328186381,3.978955224656071,4.553790544230466,3.476705706668179,3.0192090725327865,3.3451536347311928,2.629494179593906,4.474948650816056,2.815595921544314,4.6116268400372835,3.764123185152934,4.021079910457638,5.267022598751915,4.396488333440544,4.3935672169815705,4.710729304265525,3.509341141080355,4.549952507427387,4.449033060026763,4.9573853277032915,3.700761514220446,1.1030477239816396,3.6334660857207393,3.4743581628754,2.713737599612907,5.7925196212734384,5.100725406262357,5.102351589084419
LAS1L,5.6021064498244115,5.358962341166841,6.006026426930736,6.109630099200723,5.136351366914504,5.832596383189448,5.324137332641142,5.328010641085316,5.211748154123635,3.9340918395049447,5.086507800549948,6.332140409712067,5.837438714856374,6.521518782836407,5.018175693135121,5.751369987933489,5.480087359698248,5.580552542022511,5.51679366434819,5.125419670054772,4.73805982395753,4.376839069953397,4.22013644739608,5.124481165063861,5.654183459651995,4.454366748061948,5.3302070050679315,4.7040696295038815,4.1973464560955165,4.727234330773097,5.1281118977648665,4.581773026163416,4.679840376400026,5.8622604410507515,5.302966034649947,5.2018925821891076,5.249384658630221,5.32774124869169,6.080591580941927,5.381660611469305,5.142625823548244,5.582393419704295,5.634192464153447,5.167687089298627,6.014690037951128,5.523781479904235,5.222700249310232,5.736315333190474,5.232422845971198,5.299398533152615,4.975033983918955,5.620407528635816,4.985605167620149,4.704274405657201
