,ACH-000570,ACH-000075,ACH-000376,ACH-000269,ACH-001611,ACH-000098,ACH-000887,ACH-000368,ACH-000760,ACH-001610,ACH-002680,ACH-000231,ACH-003438,ACH-000738,ACH-002681,ACH-000819,ACH-000571,ACH-000102,ACH-000634,ACH-000137,ACH-000445,ACH-001609,ACH-001329,ACH-000027,ACH-000370,ACH-000289,ACH-000543,ACH-001623,ACH-001624,ACH-000244,ACH-000215,ACH-001608,ACH-000464,ACH-000622,ACH-000558,ACH-000631,ACH-000479,ACH-000863,ACH-000283,ACH-000623,ACH-000609,ACH-000504,ACH-001605,ACH-000152,ACH-000328,ACH-000595,ACH-000469,ACH-002409,ACH-001622,ACH-000455,ACH-000036,ACH-000673,ACH-000200,ACH-000323
ARPC1B,8.408648181347182,8.01612298405899,8.452801321637109,6.698399081668498,6.035518342816697,8.295571511567854,8.332157420772354,8.48068116194074,7.64578090319377,8.400627582917382,8.375313169795984,7.551877415146323,6.640095958516385,5.992081809178454,7.108858955977648,8.105918981818375,7.743030182436158,6.589492357063437,8.055206502184985,7.760566938840514,7.555018526635021,6.55763830786968,7.808262761364777,7.680739268934951,7.895084455386742,9.030929169865802,8.133989851789185,8.423536153389481,8.47531596161269,7.96008304517164,9.076516340377625,5.97690660648672,7.824914202397672,7.750787366297913,8.968508404805968,7.850730676488912,8.535154822941893,7.659867488640671,7.639651826886497,7.331857459506765,8.070255142425005,8.121927161380658,7.762727513253382,7.482033472296176,7.518432850040113,8.798841135595708,8.281016610396149,7.070077998496871,6.836403882515073,8.387306529154248,9.123746369238786,6.325640058563647,8.5254542517506,7.602075263337748
S100A11,8.97695069956976,10.768614422025513,9.559539611628685,9.120673342193104,8.811191635447402,9.924359735047872,10.9866029215215,9.908581765060246,11.754177668547277,10.048309761746966,10.690809913834832,10.1360042069441,9.68196221356361,8.276133712954154,10.17609833152149,8.658943357683835,9.482699069973089,10.405673332281866,7.401826694166677,7.855049098317999,9.466716837092672,11.058972584281346,9.260253882654863,8.91544321875863,8.744416774459395,9.792935044489749,9.147812916943696,9.22131402248727,9.186374272722691,9.70371846760204,9.49479359626238,11.046626110087542,8.23981330656747,10.087502620896052,10.382461916901068,8.355082355678732,8.954498779250628,9.847751114002126,10.298612497540187,8.571130690834718,9.338912391772384,10.133116518582474,10.766139610000414,9.248907169324903,9.64315631294604,9.494393608170258,10.111813812294509,3.3996031538869675,11.143823226271737,8.806936222119818,9.862570722414404,7.223132900603352,9.83143709634813,8.504795157648712
CTSC,4.60571358976929,5.959795652488484,8.39336471395707,8.322392387635542,8.25895698071388,6.9460757915151525,5.971389504981095,6.623411852001681,5.953886795832211,4.470634473092409,6.546122758857796,5.757076599627449,8.198351723691323,6.98327866412136,5.10458827072853,7.585721218883765,5.728745004921518,7.958436715186445,8.190501281033299,6.127955126584079,7.144739806323587,9.751711415395867,8.074575009099684,5.975847968006785,5.076661701371887,6.948600847493355,6.50575598825375,8.378251498534892,5.753096380260896,7.025560402324433,8.580051241754932,7.262743207526547,7.044831233447812,6.849348799554909,4.8546739335031734,8.781490861658098,9.240419283488531,8.379374034647217,7.408023971669465,6.354288176584398,6.677888738841763,7.558604386886408,7.434786665212721,7.929211057868845,6.606603604326824,7.7219399459985505,6.283355099580313,6.689243241039736,7.948571647573487,7.378754364016166,8.989692517225784,7.20518721464066,5.369595601521715,7.6073525088872
GLIPR1,5.782909122616899,6.6172161885667355,6.537156264286247,5.100372194107113,7.216910728207586,7.014098602553433,1.229821688071707,8.286091033761178,4.295664257760967,6.850361888612105,6.201949416197272,6.635499024423233,7.778248008121624,4.746307391247633,7.078097423026661,3.8031753630510545,5.883584161982619,6.50463310331708,5.118567376692638,5.671887767205725,5.889054886064796,7.077403241999793,6.701964839175899,5.234581791638815,5.123637229706831,2.94311304095968,7.132021536751895,5.491849890337132,4.404943983397312,7.415133300065553,4.653593188201042,5.302161830302449,7.596860621090649,5.851863952808186,5.708612144819342,7.091678680095491,7.372464618589438,6.9259994185562235,5.082668530971653,7.652378934121299,5.4804784079739,5.864639315005467,6.55121606583773,6.876197676592865,4.428551123474343,4.7269510734241,8.515648594107484,6.453221239896909,5.613947075129743,3.9456357927646306,6.2048469416155365,8.164519810219943,7.220813610065583,5.999055176274519
NNMT,4.838740035162307,5.477071760695671,5.735286582857359,5.172607521752254,8.688096413454234,4.654853669327898,2.36756956235673,7.808713249613665,7.581524492749689,7.556904513012891,8.033648749128945,6.805124750614704,10.89374140234714,4.297837035886643,8.275654289334645,5.392530376329088,7.7375988884398845,7.351071735491141,5.487055380170907,5.99737370938675,8.909809099077854,9.110788651214584,7.6717957935617855,8.587023630752336,6.701202480190524,5.549173197563146,8.903339603748297,7.423679008210795,5.179507069319437,8.837968463611832,6.846668815635224,8.483843986109385,6.992870376408199,6.602541505260225,7.523922584740528,5.102481772529838,8.344504528729512,8.706126447403499,6.7554884998980045,8.553498744746014,8.434031846032477,8.446293454912087,9.013615789228515,6.597556500123041,7.22265968159858,4.886335531693985,7.583240759351562,9.289594733661282,8.58559729714185,7.189399592962387,6.696925809148036,3.730324756468624,5.880136942208927,8.84383941661586
VDR,1.671316020577602,3.178948831079936,3.0664147290852166,1.4370412633227168,3.565438763141108,4.2725831328060515,3.889220415933234,3.877371260162165,0.4281970740349458,3.124225554414391,3.4053375541972537,3.2539650698846385,2.2454378565041457,2.112259751681093,3.3681243695528944,2.3668033820885284,3.5202965179898817,3.9394428717218313,1.8799448888487489,4.49684579012695,4.3165874638077915,2.8228524914529296,3.6091403150223216,3.608726462716353,1.305270155240195,1.573258175380041,3.804518269888069,3.6534728119497086,1.3772126130746267,4.14746952198919,2.8163170785468203,1.873805325513372,3.2919998322029125,0.1024458262750555,1.7424029513586214,1.5324316720959843,3.212005846290294,2.0623946097265384,3.1018903932060966,2.9717329886389487,3.5799283400664885,3.225734569133439,2.57698643444653,2.5436443521195433,1.8764599743337984,3.958787007479577,4.276504109868007,4.126708602196969,3.083637177456673,2.5639683508250988,2.564168395456055,3.038669705160909,3.97451095746838,2.5229471115199287
RGS2,9.916845332500696,4.022651885005722,2.781342925702873,2.2425598265220503,1.9866876148977664,1.5415693545607083,2.486057868220464,2.6287106144153056,0.6759748672230245,2.4823371842851683,7.327552644081241,4.547153658812569,5.664713220822395,2.0454814141575137,4.1748857457530155,1.8686591120853528,4.820878436080772,3.0365420160856007,2.601955560372205,3.7407009412055263,2.7217226264371193,4.990242410543734,6.199623272741906,1.9100495222180496,1.142870845096642,2.656027218175846,3.296520546841238,4.786810659367934,4.650264813062899,4.682848551683586,2.1705852840523168,3.1767982729463604,2.923565666445855,2.510437898026596,2.445954423580902,3.9426552492094937,2.15951939733014,3.358452528216714,2.806309620055051,3.616569427306621,3.1622374330779612,2.617206783207932,1.3302371279900835,2.929056210006286,2.006664262150053,4.041917554323395,6.297569285665048,7.692455096470968,5.224017114329967,2.477058156809526,3.356066319641038,2.1398263591131643,5.061689806075488,2.106033344729957
CTSB,8.839641570163252,9.679129939559765,8.309167090553137,6.811137034686027,8.833313901744571,9.4755064723223,7.927499468399657,9.409942449400164,8.334796181456554,9.559380914762942,9.84622689173391,8.331575349471906,9.479242689263328,6.770908312813142,9.546668780044858,7.508999025504561,8.590542140421004,9.67963491700758,9.44284399620795,7.547010179447681,8.268991054764426,8.675071390851976,9.249201173492192,8.191241853839635,6.142331742749798,7.748474650864266,9.490981204665337,8.849536462320485,7.83728101396743,9.401632599636724,8.298287147718813,8.188341576010815,9.00241843088723,7.537047519404657,9.499819982105423,7.728192635498048,8.671767492799368,8.752380646552893,8.029270660040119,9.225091727438024,8.149259365499622,8.808288507340174,8.506926383886725,6.606642095064914,8.655777561201896,7.976672947919377,8.64958312738796,7.957827560833744,7.718587671754186,7.358079723348917,9.761552894534583,8.345653621715456,8.622198278523644,7.685330489400748
TGFBI,10.753801732839545,11.1902382862282,11.48688528880721,8.619104834928507,8.856593599810804,10.38404980679516,7.464586590379827,12.933473054167989,9.355388539932337,8.874136071033691,12.547434405106666,11.174925682500678,10.611891629767696,9.692019122610793,13.331280866268887,8.575962728173415,10.54750188405246,8.897204115678928,10.987690361395709,9.51559537707445,11.72106072772246,13.103579596763147,9.11373695775444,1.9233051390737137,3.933006023719124,4.141220229537471,12.605345243019292,9.423342856701542,8.16328738452155,7.320782500980903,9.444950678664885,12.23694697663064,10.316869805064334,0.7785509129688776,5.713550108481982,8.186292553058879,2.2703824229055027,11.096095782587138,8.753627933891286,10.917595851424794,10.66260607395466,11.262329792857203,11.79242835527739,12.57265996687156,11.28142006871013,8.454138870997252,11.572349693318287,6.975377976888473,10.356683047030426,4.1742785710361225,13.072261589945532,10.858657099978291,11.053674779169668,12.720607665621037
PLAUR,6.756289440954461,7.986541773112171,7.116967694511727,6.65010681134181,7.045115286602107,7.480248962745317,5.479844921181483,8.172897495632153,3.5448439134708885,7.275360971100595,7.578644409507039,7.8016889612056755,5.440872488919371,6.246254156091703,7.080423163711172,4.9161899878071305,4.489960321741404,5.709910927402231,4.7292645289318385,5.645237630019621,7.0404650807051485,7.117611935723052,7.642593279009875,3.142397099219038,3.88976555650658,5.228276135153709,6.62728435507975,6.201739707194651,4.921912326402977,6.856089327503671,6.035021194762881,5.909161052781871,6.423568086871246,2.608101912230002,8.099300465030637,6.5278866889165466,6.818134760810847,6.034796762087443,7.995631494427716,5.2457580439511595,6.661564349339729,6.245613550101236,6.042867552685322,6.614789337366137,5.587851008472679,6.031818625826357,7.189794914156799,9.288711532607108,6.792308773442942,6.50397198727003,5.929774431243419,7.201496641800607,7.665911459009895,7.2787282129389395
