requested_symbol,status,matched_matrix_symbol,match_how,subtype,rank
ARPC1B,present_exact,ARPC1B,exact,Mesenchymal,1
S100A11,present_exact,S100A11,exact,Mesenchymal,2
CTSC,present_exact,CTSC,exact,Mesenchymal,3
GLIPR1,present_exact,GLIPR1,exact,Mesenchymal,4
NNMT,present_exact,NNMT,exact,Mesenchymal,5
VDR,present_exact,VDR,exact,Mesenchymal,6
RGS2,present_exact,RGS2,exact,Mesenchymal,7
CTSB,present_exact,CTSB,exact,Mesenchymal,8
TGFBI,present_exact,TGFBI,exact,Mesenchymal,9
PLAUR,present_exact,PLAUR,exact,Mesenchymal,10
LY96,present_exact,LY96,exact,Mesenchymal,11
BCL3,present_exact,BCL3,exact,Mesenchymal,12
TNFAIP8,present_exact,TNFAIP8,exact,Mesenchymal,13
IER3,present_exact,IER3,exact,Mesenchymal,14
PRSS23,present_exact,PRSS23,exact,Mesenchymal,15
IL7R,present_exact,IL7R,exact,Mesenchymal,16
RAB27A,present_exact,RAB27A,exact,Mesenchymal,17
RUNX1,present_exact,RUNX1,exact,Mesenchymal,18
P4HA2,present_exact,P4HA2,exact,Mesenchymal,19
CYP1B1,present_exact,CYP1B1,exact,Mesenchymal,20
BACE2,present_exact,BACE2,exact,Mesenchymal,21
ACPP,present_alias,ACP3,alias:ACPP->ACP3,Mesenchymal,22
FTL,present_exact,FTL,exact,Mesenchymal,23
SLPI,present_exact,SLPI,exact,Mesenchymal,24
RAC2,present_exact,RAC2,exact,Mesenchymal,25
RARRES1,present_exact,RARRES1,exact,Mesenchymal,26
SYNGR2,present_exact,SYNGR2,exact,Mesenchymal,27
THBS1,present_exact,THBS1,exact,Mesenchymal,28
IL6,present_exact,IL6,exact,Mesenchymal,29
CAV1,present_exact,CAV1,exact,Mesenchymal,30
PI3,present_exact,PI3,exact,Mesenchymal,31
CDCP1,present_exact,CDCP1,exact,Mesenchymal,32
ITGB1,present_exact,ITGB1,exact,Mesenchymal,33
LOX,present_exact,LOX,exact,Mesenchymal,34
CD72,present_exact,CD72,exact,Mesenchymal,35
COL1A2,present_exact,COL1A2,exact,Mesenchymal,36
ANPEP,present_exact,ANPEP,exact,Mesenchymal,37
MMP7,present_exact,MMP7,exact,Mesenchymal,38
SPAG4,present_exact,SPAG4,exact,Mesenchymal,39
BNC2,present_exact,BNC2,exact,Mesenchymal,40
NDRG1,present_exact,NDRG1,exact,Mesenchymal,41
CNN2,present_exact,CNN2,exact,Mesenchymal,42
LUM,present_exact,LUM,exact,Mesenchymal,43
PTGS2,present_exact,PTGS2,exact,Mesenchymal,44
COL3A1,present_exact,COL3A1,exact,Mesenchymal,45
COL5A1,present_exact,COL5A1,exact,Mesenchymal,46
SDC1,present_exact,SDC1,exact,Mesenchymal,47
COL1A1,present_exact,COL1A1,exact,Mesenchymal,48
GPRC5A,present_exact,GPRC5A,exact,Mesenchymal,49
COL15A1,present_exact,COL15A1,exact,Mesenchymal,50
HN1,present_alias,JPT1,alias:HN1->JPT1,Proneural,1
RAB33A,present_exact,RAB33A,exact,Proneural,2
HDAC2,present_exact,HDAC2,exact,Proneural,3
MYT1,present_exact,MYT1,exact,Proneural,4
MTSS1,present_exact,MTSS1,exact,Proneural,5
HOXD3,present_exact,HOXD3,exact,Proneural,6
GPR17,present_exact,GPR17,exact,Proneural,7
PTTG1,present_exact,PTTG1,exact,Proneural,8
KLRC3,present_exact,KLRC3,exact,Proneural,9
HRASLS,present_alias,PLAAT1,alias:HRASLS->PLAAT1,Proneural,10
TCP1,present_exact,TCP1,exact,Proneural,11
NPPA,missing,,,Proneural,12
PFDN2,present_exact,PFDN2,exact,Proneural,13
CA10,present_exact,CA10,exact,Proneural,14
EPHB1,present_exact,EPHB1,exact,Proneural,15
UGT8,present_exact,UGT8,exact,Proneural,16
PAK7,missing,,,Proneural,17
SLC1A1,present_exact,SLC1A1,exact,Proneural,18
NARF,present_exact,NARF,exact,Proneural,19
DCTN3,present_exact,DCTN3,exact,Proneural,20
SMPD3,present_exact,SMPD3,exact,Proneural,21
ZNF804A,present_exact,ZNF804A,exact,Proneural,22
RASL11B,present_exact,RASL11B,exact,Proneural,23
MYB,present_exact,MYB,exact,Proneural,24
PDGFRA,present_exact,PDGFRA,exact,Proneural,25
ERBB3,present_exact,ERBB3,exact,Proneural,26
CLGN,present_exact,CLGN,exact,Proneural,27
SOX10,present_exact,SOX10,exact,Proneural,28
BCL11A,present_exact,BCL11A,exact,Proneural,29
NMU,present_exact,NMU,exact,Proneural,30
ZNF643,present_alias,ZSCAN31,alias:ZNF643->ZSCAN31,Proneural,31
CDKN1C,present_exact,CDKN1C,exact,Proneural,32
JPH3,present_exact,JPH3,exact,Proneural,33
PCDHA9,missing,,,Proneural,34
IL1RAPL1,present_exact,IL1RAPL1,exact,Proneural,35
MAST1,present_exact,MAST1,exact,Proneural,36
VIPR2,present_exact,VIPR2,exact,Proneural,37
SIM2,present_exact,SIM2,exact,Proneural,38
BAMBI,present_exact,BAMBI,exact,Proneural,39
PKMYT1,present_exact,PKMYT1,exact,Proneural,40
PLCB4,present_exact,PLCB4,exact,Proneural,41
SLC17A6,missing,,,Proneural,42
KLRK1,present_exact,KLRK1,exact,Proneural,43
CENPJ,present_exact,CENPJ,exact,Proneural,44
NHLH1,missing,,,Proneural,45
GABRB3,present_exact,GABRB3,exact,Proneural,46
KLRC4,present_exact,KLRC4,exact,Proneural,47
KCNK3,present_exact,KCNK3,exact,Proneural,48
GRID2,present_exact,GRID2,exact,Proneural,49
DACH1,present_exact,DACH1,exact,Proneural,50
PTPRA,present_exact,PTPRA,exact,Classical,1
ELOVL2,present_exact,ELOVL2,exact,Classical,2
MLC1,present_exact,MLC1,exact,Classical,3
SOX9,present_exact,SOX9,exact,Classical,4
ARNTL,missing,,,Classical,5
DENND2A,present_exact,DENND2A,exact,Classical,6
BBS1,present_exact,BBS1,exact,Classical,7
ABLIM1,present_exact,ABLIM1,exact,Classical,8
PAX6,present_exact,PAX6,exact,Classical,9
ZHX3,present_exact,ZHX3,exact,Classical,10
USP8,present_exact,USP8,exact,Classical,11
PLCG1,present_exact,PLCG1,exact,Classical,12
CDH4,present_exact,CDH4,exact,Classical,13
RASGRP1,present_exact,RASGRP1,exact,Classical,14
ACSBG1,present_exact,ACSBG1,exact,Classical,15
CST3,present_exact,CST3,exact,Classical,16
BCKDHB,present_exact,BCKDHB,exact,Classical,17
LHFP,present_alias,LHFPL6,alias:LHFP->LHFPL6,Classical,18
VAV3,present_exact,VAV3,exact,Classical,19
ACSL3,present_exact,ACSL3,exact,Classical,20
EYA2,present_exact,EYA2,exact,Classical,21
SEPT11,present_alias,SEPTIN11,alias:SEPT11->SEPTIN11,Classical,22
SLC4A4,present_exact,SLC4A4,exact,Classical,23
SLC20A2,present_exact,SLC20A2,exact,Classical,24
C14orf159,present_alias,DGLUCY,alias:C14orf159->DGLUCY,Classical,25
CTNND1,present_exact,CTNND1,exact,Classical,26
ZFHX4,present_exact,ZFHX4,exact,Classical,27
SPRY2,present_exact,SPRY2,exact,Classical,28
ZNF45,present_exact,ZNF45,exact,Classical,29
NCOA1,present_exact,NCOA1,exact,Classical,30
PLCE1,present_exact,PLCE1,exact,Classical,31
DTNA,present_exact,DTNA,exact,Classical,32
POLRMT,present_exact,POLRMT,exact,Classical,33
SALL1,present_exact,SALL1,exact,Classical,34
TYK2,present_exact,TYK2,exact,Classical,35
TJP1,present_exact,TJP1,exact,Classical,36
MEOX2,present_exact,MEOX2,exact,Classical,37
FGFR3,present_exact,FGFR3,exact,Classical,38
STXBP3,present_exact,STXBP3,exact,Classical,39
GRIK1,missing,,,Classical,40
GATM,present_exact,GATM,exact,Classical,41
UPF1,present_exact,UPF1,exact,Classical,42
NPEPL1,present_exact,NPEPL1,exact,Classical,43
KIAA0494,present_alias,EFCAB14,alias:KIAA0494->EFCAB14,Classical,44
RBCK1,present_exact,RBCK1,exact,Classical,45
PHKB,present_exact,PHKB,exact,Classical,46
SLC3A2,present_exact,SLC3A2,exact,Classical,47
PPARGC1A,present_exact,PPARGC1A,exact,Classical,48
PNPLA6,present_exact,PNPLA6,exact,Classical,49
MYO5C,present_exact,MYO5C,exact,Classical,50
