subtype,rank,gene_symbol_paper
Mesenchymal,1,ARPC1B
Mesenchymal,2,S100A11
Mesenchymal,3,CTSC
Mesenchymal,4,GLIPR1
Mesenchymal,5,NNMT
Mesenchymal,6,VDR
Mesenchymal,7,RGS2
Mesenchymal,8,CTSB
Mesenchymal,9,TGFBI
Mesenchymal,10,PLAUR
Mesenchymal,11,LY96
Mesenchymal,12,BCL3
Mesenchymal,13,TNFAIP8
Mesenchymal,14,IER3
Mesenchymal,15,PRSS23
Mesenchymal,16,IL7R
Mesenchymal,17,RAB27A
Mesenchymal,18,RUNX1
Mesenchymal,19,P4HA2
Mesenchymal,20,CYP1B1
Mesenchymal,21,BACE2
Mesenchymal,22,ACPP
Mesenchymal,23,FTL
Mesenchymal,24,SLPI
Mesenchymal,25,RAC2
Mesenchymal,26,RARRES1
Mesenchymal,27,SYNGR2
Mesenchymal,28,THBS1
Mesenchymal,29,IL6
Mesenchymal,30,CAV1
Mesenchymal,31,PI3
Mesenchymal,32,CDCP1
Mesenchymal,33,ITGB1
Mesenchymal,34,LOX
Mesenchymal,35,CD72
Mesenchymal,36,COL1A2
Mesenchymal,37,ANPEP
Mesenchymal,38,MMP7
Mesenchymal,39,SPAG4
Mesenchymal,40,BNC2
Mesenchymal,41,NDRG1
Mesenchymal,42,CNN2
Mesenchymal,43,LUM
Mesenchymal,44,PTGS2
Mesenchymal,45,COL3A1
Mesenchymal,46,COL5A1
Mesenchymal,47,SDC1
Mesenchymal,48,COL1A1
Mesenchymal,49,GPRC5A
Mesenchymal,50,COL15A1
Proneural,1,HN1
Proneural,2,RAB33A
Proneural,3,HDAC2
Proneural,4,MYT1
Proneural,5,MTSS1
Proneural,6,HOXD3
Proneural,7,GPR17
Proneural,8,PTTG1
Proneural,9,KLRC3
Proneural,10,HRASLS
Proneural,11,TCP1
Proneural,12,NPPA
Proneural,13,PFDN2
Proneural,14,CA10
Proneural,15,EPHB1
Proneural,16,UGT8
Proneural,17,PAK7
Proneural,18,SLC1A1
Proneural,19,NARF
Proneural,20,DCTN3
Proneural,21,SMPD3
Proneural,22,ZNF804A
Proneural,23,RASL11B
Proneural,24,MYB
Proneural,25,PDGFRA
Proneural,26,ERBB3
Proneural,27,CLGN
Proneural,28,SOX10
Proneural,29,BCL11A
Proneural,30,NMU
Proneural,31,ZNF643
Proneural,32,CDKN1C
Proneural,33,JPH3
Proneural,34,PCDHA9
Proneural,35,IL1RAPL1
Proneural,36,MAST1
Proneural,37,VIPR2
Proneural,38,SIM2
Proneural,39,BAMBI
Proneural,40,PKMYT1
Proneural,41,PLCB4
Proneural,42,SLC17A6
Proneural,43,KLRK1
Proneural,44,CENPJ
Proneural,45,NHLH1
Proneural,46,GABRB3
Proneural,47,KLRC4
Proneural,48,KCNK3
Proneural,49,GRID2
Proneural,50,DACH1
Classical,1,PTPRA
Classical,2,ELOVL2
Classical,3,MLC1
Classical,4,SOX9
Classical,5,ARNTL
Classical,6,DENND2A
Classical,7,BBS1
Classical,8,ABLIM1
Classical,9,PAX6
Classical,10,ZHX3
Classical,11,USP8
Classical,12,PLCG1
Classical,13,CDH4
Classical,14,RASGRP1
Classical,15,ACSBG1
Classical,16,CST3
Classical,17,BCKDHB
Classical,18,LHFP
Classical,19,VAV3
Classical,20,ACSL3
Classical,21,EYA2
Classical,22,SEPT11
Classical,23,SLC4A4
Classical,24,SLC20A2
Classical,25,C14orf159
Classical,26,CTNND1
Classical,27,ZFHX4
Classical,28,SPRY2
Classical,29,ZNF45
Classical,30,NCOA1
Classical,31,PLCE1
Classical,32,DTNA
Classical,33,POLRMT
Classical,34,SALL1
Classical,35,TYK2
Classical,36,TJP1
Classical,37,MEOX2
Classical,38,FGFR3
Classical,39,STXBP3
Classical,40,GRIK1
Classical,41,GATM
Classical,42,UPF1
Classical,43,NPEPL1
Classical,44,KIAA0494
Classical,45,RBCK1
Classical,46,PHKB
Classical,47,SLC3A2
Classical,48,PPARGC1A
Classical,49,PNPLA6
Classical,50,MYO5C
