pc,explained_variance_ratio,cumulative
1,0.07663500758864146,0.07663500758864146
2,0.07304616423426072,0.1496811718229022
3,0.05941607983358348,0.20909725165648568
4,0.04547265999806507,0.25456991165455073
5,0.04332830767476409,0.2978982193293148
6,0.03868976060124597,0.3365879799305608
7,0.036185906002257615,0.3727738859328184
8,0.03124677932010294,0.40402066525292135
9,0.0299893740111743,0.43401003926409565
10,0.028661711525355328,0.462671750789451
11,0.025864282218296147,0.4885360330077472
12,0.02527071771402571,0.5138067507217728
