pc,explained_variance_ratio,cumulative
1,0.07663500758864146,0.07663500758864146
2,0.07304616423426072,0.1496811718229022
3,0.05941607983358348,0.20909725165648568
4,0.04547265999806507,0.25456991165455073
5,0.04332830767476409,0.2978982193293148
6,0.03868976060124597,0.3365879799305608
7,0.036185906002257615,0.3727738859328184
8,0.03124677932010294,0.40402066525292135
9,0.0299893740111743,0.43401003926409565
10,0.028661711525355328,0.462671750789451
11,0.025864282218296147,0.4885360330077472
12,0.02527071771402571,0.5138067507217728
13,0.02342687744390341,0.5372336281656762
14,0.022371933266046525,0.5596055614317227
15,0.02078266678888884,0.5803882282206115
16,0.018941603063875462,0.599329831284487
17,0.018058882756935235,0.6173887140414223
18,0.017643972263183958,0.6350326863046062
19,0.016525062254449788,0.651557748559056
20,0.015845478994728174,0.6674032275537842
21,0.015579589644898832,0.682982817198683
22,0.015380525341205856,0.6983633425398889
23,0.014849589494665201,0.713212932034554
24,0.014620437148375014,0.7278333691829291
25,0.014381686513528719,0.7422150556964577
26,0.013713787275475868,0.7559288429719336
27,0.013019436708714388,0.768948279680648
28,0.01293837258315537,0.7818866522638034
29,0.012465902277291583,0.794352554541095
30,0.011864850277392442,0.8062174048184875
31,0.01145808053824217,0.8176754853567296
32,0.01120594951324638,0.828881434869976
33,0.01066311529663766,0.8395445501666137
34,0.010466669938507521,0.8500112201051212
35,0.010365688283218431,0.8603769083883396
36,0.01004649390138299,0.8704234022897226
37,0.009804658608817528,0.8802280608985401
38,0.009676586231276232,0.8899046471298163
39,0.00950870065703852,0.8994133477868549
40,0.008621670686028962,0.9080350184728838
