pc,explained_variance_ratio,cumulative
1,0.1957930171092793,0.1957930171092793
2,0.08115816537866066,0.27695118248793993
3,0.0686421942132635,0.34559337670120344
4,0.05699112694353245,0.40258450364473586
5,0.04947329235751705,0.45205779600225293
6,0.04509923551060345,0.4971570315128564
7,0.039209215360265566,0.536366246873122
8,0.03618535065545925,0.5725515975285812
9,0.03334533195057368,0.6058969294791549
10,0.03228393585423508,0.6381808653333899
11,0.026800519031710202,0.6649813843651001
12,0.02373156398676447,0.6887129483518646
13,0.022686534486203426,0.711399482838068
14,0.02104207911051487,0.7324415619485829
15,0.01874032356260728,0.7511818855111901
16,0.017326373218827473,0.7685082587300176
17,0.016554315537054238,0.7850625742670718
18,0.015633506212491568,0.8006960804795634
19,0.013814890820552138,0.8145109713001155
20,0.013203691987523962,0.8277146632876394
21,0.013041319429853666,0.8407559827174931
22,0.011831334714980763,0.8525873174324738
23,0.01103277788795195,0.8636200953204258
24,0.01008587354505691,0.8737059688654827
25,0.009683649774990274,0.8833896186404729
26,0.00932477729979707,0.89271439594027
27,0.0088121462856672,0.9015265422259372
28,0.008557248595183156,0.9100837908211203
29,0.0076775576662230175,0.9177613484873434
30,0.007097347944496554,0.9248586964318399
31,0.006800166446407088,0.9316588628782471
32,0.006363423121050798,0.9380222859992978
33,0.0060852132392728246,0.9441074992385706
34,0.005196077863676942,0.9493035771022476
35,0.004966186747830652,0.9542697638500782
36,0.004347115256551709,0.95861687910663
37,0.004218029514147828,0.9628349086207778
38,0.0040069032646518005,0.9668418118854296
39,0.003603089940646595,0.9704449018260762
40,0.003403130809568887,0.9738480326356451
