cell_line,arc1,arc2,arc3,arc4,arc5,arc6,arc7
ACH-000570,3,2,0,2,0,4,3
ACH-000075,0,1,3,2,1,2,3
ACH-000376,0,2,1,1,0,1,2
ACH-000269,0,4,4,4,4,0,4
ACH-001611,1,0,4,0,3,2,3
ACH-000098,0,3,2,1,2,0,4
ACH-000887,2,4,4,4,4,0,4
ACH-000368,1,1,2,0,1,3,0
ACH-000760,1,3,0,3,1,0,2
ACH-001610,2,0,3,1,0,2,1
ACH-002680,4,0,3,3,2,4,3
ACH-000231,2,2,1,0,3,2,2
ACH-003438,1,0,1,3,3,1,4
ACH-000738,0,4,0,2,3,0,3
ACH-002681,4,1,4,4,4,2,3
ACH-000819,1,4,2,3,0,0,4
ACH-000571,3,3,2,3,0,2,1
ACH-000102,2,3,2,0,3,2,4
ACH-000634,2,2,0,2,0,3,0
ACH-000137,3,4,2,0,2,1,4
ACH-000445,1,2,3,0,2,1,2
ACH-001609,2,0,4,4,2,2,3
ACH-001329,2,0,1,1,2,3,1
ACH-000027,4,3,0,3,3,4,0
ACH-000370,4,4,0,2,3,3,3
ACH-000289,4,4,4,4,4,4,0
ACH-000543,4,0,3,1,1,3,0
ACH-001623,1,1,1,2,1,3,4
ACH-001624,3,2,2,4,4,1,1
ACH-000244,3,1,3,2,2,4,1
ACH-000215,3,3,2,3,0,3,2
ACH-001608,1,1,4,4,2,0,3
ACH-000464,2,0,1,2,0,2,1
ACH-000622,4,4,0,4,4,4,4
ACH-000558,1,2,1,0,1,1,0
ACH-000631,0,3,2,3,3,1,0
ACH-000479,4,3,0,1,4,4,2
ACH-000863,2,1,0,2,4,1,1
ACH-000283,0,3,3,1,3,0,2
ACH-000623,4,1,0,1,2,4,0
ACH-000609,0,1,3,0,1,0,1
ACH-000504,3,2,1,0,2,4,0
ACH-001605,4,0,2,1,3,3,2
ACH-000152,0,3,4,0,3,0,2
ACH-000328,3,4,1,0,2,1,3
ACH-000595,0,4,1,3,1,2,0
ACH-000469,2,1,3,1,1,4,1
ACH-002409,3,0,3,4,4,3,4
ACH-001622,3,0,4,4,1,1,2
ACH-000455,2,2,1,3,1,0,1
ACH-000036,3,1,2,3,0,3,0
ACH-000673,0,2,3,2,0,3,2
ACH-000200,1,3,0,2,4,2,3
ACH-000323,1,2,4,1,0,1,1
