archetype,subtype,bin,fold_enrichment,p_value,q_value,sig_peak_at_bin0,k_in_bin,bin_size,K_subtype,significant,peak_bin
0,Classical,0,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,2
0,Classical,1,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,2
0,Classical,2,2.265734265734266,0.01539928836980833,0.5389750929432916,False,6,11,13,False,2
0,Classical,3,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,2
0,Classical,4,1.2461538461538462,0.45140252320361585,1.0,False,3,10,13,False,2
1,Classical,0,2.265734265734266,0.01539928836980833,0.5389750929432916,False,6,11,13,False,0
1,Classical,1,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,0
1,Classical,2,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,0
1,Classical,3,0.0,1.0,1.0,False,0,11,13,False,0
1,Classical,4,0.8307692307692308,0.762833405227764,1.0,False,2,10,13,False,0
2,Classical,0,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,3
2,Classical,1,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,3
2,Classical,2,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,3
2,Classical,3,1.8881118881118881,0.07585351840979004,0.9955774291284943,False,5,11,13,False,3
2,Classical,4,0.8307692307692308,0.762833405227764,1.0,False,2,10,13,False,3
3,Classical,0,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,2
3,Classical,1,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,2
3,Classical,2,1.5104895104895106,0.24378193518751703,1.0,False,4,11,13,False,2
3,Classical,3,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,2
3,Classical,4,1.2461538461538462,0.45140252320361585,1.0,False,3,10,13,False,2
4,Classical,0,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,0
4,Classical,1,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,0
4,Classical,2,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,0
4,Classical,3,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,0
4,Classical,4,0.8307692307692308,0.762833405227764,1.0,False,2,10,13,False,0
5,Classical,0,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,2
5,Classical,1,0.37762237762237766,0.9669936501102612,1.0,False,1,11,13,False,2
5,Classical,2,1.5104895104895106,0.24378193518751703,1.0,False,4,11,13,False,2
5,Classical,3,1.5104895104895106,0.24378193518751703,1.0,False,4,11,13,False,2
5,Classical,4,1.2461538461538462,0.45140252320361585,1.0,False,3,10,13,False,2
6,Classical,0,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,1
6,Classical,1,1.5104895104895106,0.24378193518751703,1.0,False,4,11,13,False,1
6,Classical,2,0.7552447552447553,0.8147385522317887,1.0,False,2,11,13,False,1
6,Classical,3,1.132867132867133,0.5292602437096527,1.0,False,3,11,13,False,1
6,Classical,4,0.8307692307692308,0.762833405227764,1.0,False,2,10,13,False,1
0,Mesenchymal,0,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,4
0,Mesenchymal,1,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,4
0,Mesenchymal,2,0.49090909090909096,0.9696137288164237,1.0,False,2,11,20,False,4
0,Mesenchymal,3,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,4
0,Mesenchymal,4,1.35,0.27797161675645965,1.0,False,5,10,20,False,4
1,Mesenchymal,0,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,3
1,Mesenchymal,1,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,3
1,Mesenchymal,2,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,3
1,Mesenchymal,3,1.4727272727272727,0.15915478234784253,1.0,False,6,11,20,False,3
1,Mesenchymal,4,1.08,0.5502601956095401,1.0,False,4,10,20,False,3
2,Mesenchymal,0,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,2
2,Mesenchymal,1,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,2
2,Mesenchymal,2,1.9636363636363638,0.008926600911660167,0.5389750929432916,False,8,11,20,False,2
2,Mesenchymal,3,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,2
2,Mesenchymal,4,0.27,0.9945205084750928,1.0,False,1,10,20,False,2
3,Mesenchymal,0,1.4727272727272727,0.15915478234784253,1.0,False,6,11,20,False,3
3,Mesenchymal,1,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,3
3,Mesenchymal,2,0.24545454545454548,0.9970111864409598,1.0,False,1,11,20,False,3
3,Mesenchymal,3,1.7181818181818183,0.046483646270705774,0.9457939648189766,False,7,11,20,False,3
3,Mesenchymal,4,0.27,0.9945205084750928,1.0,False,1,10,20,False,3
4,Mesenchymal,0,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,0
4,Mesenchymal,1,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,0
4,Mesenchymal,2,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,0
4,Mesenchymal,3,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,0
4,Mesenchymal,4,0.54,0.9506845762758352,1.0,False,2,10,20,False,0
5,Mesenchymal,0,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,1
5,Mesenchymal,1,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,1
5,Mesenchymal,2,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,1
5,Mesenchymal,3,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,1
5,Mesenchymal,4,1.08,0.5502601956095401,1.0,False,4,10,20,False,1
6,Mesenchymal,0,1.2272727272727273,0.3769856454303071,1.0,False,5,11,20,False,4
6,Mesenchymal,1,0.49090909090909096,0.9696137288164237,1.0,False,2,11,20,False,4
6,Mesenchymal,2,0.9818181818181819,0.6492742242833878,1.0,False,4,11,20,False,4
6,Mesenchymal,3,0.7363636363636363,0.865503389843187,1.0,False,3,11,20,False,4
6,Mesenchymal,4,1.62,0.09769779903304067,1.0,False,6,10,20,False,4
0,Proneural,0,1.6363636363636362,0.06305293098793177,0.9457939648189766,False,7,11,21,False,0
0,Proneural,1,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,0
0,Proneural,2,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,0
0,Proneural,3,0.935064935064935,0.7001516750033405,1.0,False,4,11,21,False,0
0,Proneural,4,0.5142857142857143,0.9622882053874035,1.0,False,2,10,21,False,0
1,Proneural,0,0.4675324675324675,0.9776718045883461,1.0,False,2,11,21,False,1
1,Proneural,1,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
1,Proneural,2,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
1,Proneural,3,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
1,Proneural,4,1.0285714285714287,0.6030219963561579,1.0,False,4,10,21,False,1
2,Proneural,0,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,4
2,Proneural,1,0.935064935064935,0.7001516750033405,1.0,False,4,11,21,False,4
2,Proneural,2,0.4675324675324675,0.9776718045883461,1.0,False,2,11,21,False,4
2,Proneural,3,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
2,Proneural,4,1.7999999999999998,0.03142066016413668,0.8247923293085878,False,7,10,21,False,4
3,Proneural,0,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
3,Proneural,1,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
3,Proneural,2,1.4025974025974024,0.1975955228918069,1.0,False,6,11,21,False,4
3,Proneural,3,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
3,Proneural,4,1.5428571428571427,0.1242086545806023,1.0,False,6,10,21,False,4
4,Proneural,0,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
4,Proneural,1,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,4
4,Proneural,2,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,4
4,Proneural,3,0.935064935064935,0.7001516750033405,1.0,False,4,11,21,False,4
4,Proneural,4,1.5428571428571427,0.1242086545806023,1.0,False,6,10,21,False,4
5,Proneural,0,1.6363636363636362,0.06305293098793177,0.9457939648189766,False,7,11,21,False,0
5,Proneural,1,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,0
5,Proneural,2,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,0
5,Proneural,3,0.7012987012987012,0.8930620089831615,1.0,False,3,11,21,False,0
5,Proneural,4,0.7714285714285714,0.8404500997159375,1.0,False,3,10,21,False,0
6,Proneural,0,0.935064935064935,0.7001516750033405,1.0,False,4,11,21,False,1
6,Proneural,1,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
6,Proneural,2,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
6,Proneural,3,1.1688311688311688,0.4330450587235884,1.0,False,5,11,21,False,1
6,Proneural,4,0.5142857142857143,0.9622882053874035,1.0,False,2,10,21,False,1
