cell_line,verhaak_subtype,confidence_score,score_Classical,score_Mesenchymal,score_Proneural,genes_Classical,genes_Mesenchymal,genes_Proneural
ACH-000570,Proneural,0.2012422048176902,0.1591092849448245,0.1919602181844529,0.2012422048176902,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000075,Mesenchymal,0.5233550592644822,0.0321958908692502,0.5233550592644822,-0.5721145401122288,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000376,Mesenchymal,0.5842153976976684,0.0280928304183151,0.5842153976976684,-0.2497545348100402,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000269,Classical,-0.2968483933434908,-0.2968483933434908,-0.6497538357352342,-0.595117726225041,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001611,Mesenchymal,0.3944187753609216,-0.2470435637616182,0.3944187753609216,0.3421686955761867,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000098,Mesenchymal,0.2977124383220798,-0.1200374206789811,0.2977124383220798,-0.2586493620142848,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000887,Proneural,-0.2519885912986108,-0.5357277983236499,-0.321695539653997,-0.2519885912986108,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000368,Mesenchymal,0.2682071720757969,0.1377288505059347,0.2682071720757969,-0.1685977676432699,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000760,Proneural,0.1267912927894469,-0.7001754070534627,-0.7912641156239106,0.1267912927894469,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001610,Classical,0.4488590822524564,0.4488590822524564,0.1322641694031471,0.0301391402983655,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
