cell_line,verhaak_subtype,confidence_score,score_Classical,score_Mesenchymal,score_Proneural,genes_Classical,genes_Mesenchymal,genes_Proneural
ACH-000570,Proneural,0.20124220481769028,0.15910928494482451,0.19196021818445294,0.20124220481769028,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000075,Mesenchymal,0.5233550592644822,0.03219589086925028,0.5233550592644822,-0.5721145401122288,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000376,Mesenchymal,0.5842153976976684,0.028092830418315135,0.5842153976976684,-0.24975453481004029,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000269,Classical,-0.2968483933434908,-0.2968483933434908,-0.6497538357352342,-0.595117726225041,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001611,Mesenchymal,0.3944187753609216,-0.24704356376161826,0.3944187753609216,0.34216869557618673,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000098,Mesenchymal,0.2977124383220798,-0.12003742067898113,0.2977124383220798,-0.25864936201428484,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000887,Proneural,-0.25198859129861084,-0.5357277983236499,-0.32169553965399705,-0.25198859129861084,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000368,Mesenchymal,0.2682071720757969,0.13772885050593478,0.2682071720757969,-0.16859776764326995,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000760,Proneural,0.12679129278944695,-0.7001754070534627,-0.7912641156239106,0.12679129278944695,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001610,Classical,0.44885908225245646,0.44885908225245646,0.13226416940314717,0.03013914029836558,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-002680,Classical,0.8973273358300287,0.8973273358300287,0.35874924542677883,-0.13294938847407314,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000231,Classical,0.11451588759491504,0.11451588759491504,0.07276330797038454,0.03435753446479478,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-003438,Mesenchymal,0.22775631581563155,-0.1849304046857008,0.22775631581563155,-0.14982715314314635,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000738,Proneural,0.6207439029495203,-0.4686640701346093,-0.48145910878947096,0.6207439029495203,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-002681,Proneural,-0.4955788092285746,-0.8641148417942255,-0.814144880290157,-0.4955788092285746,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000819,Mesenchymal,0.24727653874960528,-0.4685056872762976,0.24727653874960528,-0.06890662355187242,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000571,Mesenchymal,0.851124203266604,-0.27246505576861285,0.851124203266604,-0.03478958335988545,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000102,Mesenchymal,0.4453123550619349,0.2962363934676923,0.4453123550619349,-0.2402127261186305,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000634,Classical,0.16369654493794247,0.16369654493794247,-0.030088058779497294,-0.2269260762407195,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000137,Mesenchymal,0.28938841175261903,-0.4252543983126619,0.28938841175261903,-0.38947171817165754,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000445,Mesenchymal,0.09264298687245201,-0.2282648294896986,0.09264298687245201,-0.15337019580098485,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001609,Classical,0.1198862185705731,0.1198862185705731,0.0038016343244431294,-0.003997049987605343,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001329,Proneural,0.6292348655152887,0.43036139006686724,-0.3838845485674304,0.6292348655152887,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000027,Mesenchymal,0.794883084350259,0.5568888001278707,0.794883084350259,-0.07258186746090584,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000370,Classical,0.521048744869166,0.521048744869166,0.17658278743530836,0.0447824890067666,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000289,Proneural,0.8108541964407395,-0.10182077464247181,0.035076649804309856,0.8108541964407395,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000543,Mesenchymal,0.35574095712596376,-0.4553789672327668,0.35574095712596376,-0.47302023273871824,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001623,Proneural,0.5310678267650341,0.4688152165385399,-0.6596446019657538,0.5310678267650341,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001624,Proneural,0.0564941911943165,-0.4218970482002651,-1.2081615206032992,0.0564941911943165,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000244,Classical,1.0643241588168928,1.0643241588168928,0.07809174255414096,0.05804852304016126,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000215,Mesenchymal,0.3727718902165372,0.22355134707482968,0.3727718902165372,-0.00020249401856381466,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001608,Proneural,-0.46183485582364164,-0.6999770509271342,-0.5182720926155965,-0.46183485582364164,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000464,Classical,0.4147142249543064,0.4147142249543064,-0.34897786403306474,-0.5363114543189297,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000622,Mesenchymal,0.5244529149374606,0.29401065672432064,0.5244529149374606,0.14354644733127056,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000558,Classical,0.6727563458477509,0.6727563458477509,0.34565507672442275,0.16014349823815655,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000631,Proneural,0.7367576717070005,0.18367715384535968,-0.031785539832150475,0.7367576717070005,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000479,Mesenchymal,0.5037167913562913,0.4739796138074595,0.5037167913562913,0.04809559705205572,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000863,Proneural,-0.21978877519083673,-0.4004782501626906,-0.29971070908883085,-0.21978877519083673,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000283,Proneural,-0.1887575711372432,-0.3434829330144292,-0.6256806254220191,-0.1887575711372432,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000623,Mesenchymal,0.5026818264793684,-0.06131562459727485,0.5026818264793684,0.09519814934490184,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000609,Proneural,0.14036365438190665,0.005528233892841774,0.129587191684342,0.14036365438190665,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000504,Proneural,0.8054673945280849,0.4858262299837347,0.762710385809265,0.8054673945280849,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001605,Classical,0.11291071451922181,0.11291071451922181,-0.0641896795572058,-0.8060254554524143,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000152,Proneural,0.260226917465988,-0.4130250374930099,-0.5414898159806681,0.260226917465988,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000328,Mesenchymal,0.43913980166239025,-0.06436904393820067,0.43913980166239025,-0.5020258160223966,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000595,Proneural,1.1325612027503864,0.4452686113937255,-0.23668662406988283,1.1325612027503864,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000469,Classical,0.7595250292464458,0.7595250292464458,0.5677890097482055,0.08056144491847674,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-002409,Classical,0.1482162671352909,0.1482162671352909,-0.6381918593370585,-0.16531522389771977,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001622,Proneural,0.05710822950231718,-0.1355989886820373,-0.2509163991816184,0.05710822950231718,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000455,Mesenchymal,-0.2561350640883793,-0.6908070556994618,-0.2561350640883793,-0.3625084489280925,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000036,Mesenchymal,0.1273015324061934,-0.23693169442878878,0.1273015324061934,-0.377835395685554,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000673,Proneural,0.19226025520594925,-0.133897098598472,-0.1070770570894848,0.19226025520594925,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000200,Proneural,0.8235474825880044,-0.07841620160173671,-0.31740017555509653,0.8235474825880044,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000323,Proneural,-0.0033033710171685438,-0.6096234183948022,-1.1205201559836773,-0.0033033710171685438,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
