cell_line,arc1,arc2,arc3,arc4,arc5
ACH-000570,2,2,1,2,0
ACH-000075,2,1,0,4,3
ACH-000376,3,1,0,2,1
ACH-000269,4,1,0,3,1
ACH-001611,1,1,4,1,3
ACH-000098,4,2,0,3,1
ACH-000887,4,4,0,3,2
ACH-000368,0,1,3,3,4
ACH-000760,4,4,2,2,0
ACH-001610,0,3,4,0,4
ACH-002680,0,4,4,4,4
ACH-000231,1,1,2,1,3
ACH-003438,2,2,1,4,2
ACH-000738,4,2,0,1,0
ACH-002681,0,3,2,4,4
ACH-000819,3,2,0,0,1
ACH-000571,2,0,1,1,2
ACH-000102,1,0,2,3,2
ACH-000634,2,0,2,0,2
ACH-000137,2,3,0,3,1
ACH-000445,2,0,2,2,3
ACH-001609,0,3,3,3,4
ACH-001329,0,2,3,3,2
ACH-000027,3,3,3,0,0
ACH-000370,4,3,3,2,0
ACH-000289,4,4,4,0,3
ACH-000543,0,3,4,4,4
ACH-001623,2,0,2,2,1
ACH-001624,4,4,0,3,0
ACH-000244,0,4,4,2,4
ACH-000215,0,2,2,0,2
ACH-001608,3,2,0,4,1
ACH-000464,1,1,1,1,1
ACH-000622,4,4,3,4,0
ACH-000558,3,1,2,0,2
ACH-000631,3,3,1,0,1
ACH-000479,3,2,4,2,0
ACH-000863,3,0,1,2,0
ACH-000283,3,0,1,3,3
ACH-000623,1,2,4,1,3
ACH-000609,1,0,2,2,3
ACH-000504,1,3,3,0,3
ACH-001605,1,1,3,1,2
ACH-000152,1,2,3,0,3
ACH-000328,2,0,1,1,1
ACH-000595,4,4,1,0,2
ACH-000469,0,3,4,3,4
ACH-002409,2,4,3,4,2
ACH-001622,1,1,1,2,3
ACH-000455,3,4,0,1,0
ACH-000036,1,0,3,4,4
ACH-000673,2,0,2,1,1
ACH-000200,3,1,1,4,0
ACH-000323,0,3,4,1,4
