cell_line,arc1,arc2,arc3,arc4,arc5,arc6
ACH-000570,2,1,1,0,1,2
ACH-000075,4,1,0,2,2,2
ACH-000376,2,0,0,0,1,3
ACH-000269,3,0,0,1,3,4
ACH-001611,1,2,4,3,2,1
ACH-000098,3,1,0,0,3,4
ACH-000887,3,3,0,2,4,4
ACH-000368,3,2,3,4,2,0
ACH-000760,1,4,1,0,2,4
ACH-001610,0,4,4,4,4,0
ACH-002680,4,4,4,4,4,0
ACH-000231,1,1,2,3,0,1
ACH-003438,4,3,1,2,2,2
ACH-000738,1,1,0,0,2,4
ACH-002681,3,3,2,4,3,0
ACH-000819,0,1,0,1,3,3
ACH-000571,1,1,1,2,1,1
ACH-000102,3,2,2,3,0,2
ACH-000634,0,0,2,1,1,2
ACH-000137,3,3,0,2,2,2
ACH-000445,2,0,2,3,1,2
ACH-001609,3,2,3,4,3,0
ACH-001329,2,2,3,2,0,0
ACH-000027,0,3,3,0,0,3
ACH-000370,2,3,3,0,0,4
ACH-000289,0,4,4,3,4,4
ACH-000543,4,3,4,4,3,0
ACH-001623,2,0,2,1,0,2
ACH-001624,4,3,1,0,4,4
ACH-000244,2,4,4,4,3,0
ACH-000215,0,2,2,2,1,0
ACH-001608,4,2,0,1,3,3
ACH-000464,1,1,1,1,1,1
ACH-000622,4,4,4,0,4,4
ACH-000558,0,0,2,1,1,3
ACH-000631,0,3,1,1,3,3
ACH-000479,2,3,4,2,0,3
ACH-000863,2,0,0,1,0,3
ACH-000283,3,0,2,3,2,3
ACH-000623,1,2,3,2,0,1
ACH-000609,2,0,1,3,1,1
ACH-000504,0,4,3,4,1,1
ACH-001605,1,2,3,3,0,1
ACH-000152,0,2,3,3,2,1
ACH-000328,1,0,1,1,0,2
ACH-000595,0,4,1,2,4,4
ACH-000469,3,4,4,4,3,0
ACH-002409,4,4,3,2,4,2
ACH-001622,3,1,2,3,3,1
ACH-000455,1,3,0,0,4,3
ACH-000036,4,0,2,3,2,1
ACH-000673,2,1,3,1,2,2
ACH-000200,4,1,1,0,1,3
ACH-000323,1,2,4,4,4,0
