cell_line,arc1,arc2
ACH-000570,4,0
ACH-000075,0,3
ACH-000376,1,3
ACH-001611,2,2
ACH-000098,0,4
ACH-000887,0,4
ACH-000368,3,1
ACH-000760,1,3
ACH-003438,2,2
ACH-000738,1,3
ACH-002681,0,4
ACH-000819,0,4
ACH-000571,2,2
ACH-000102,3,1
ACH-000137,2,2
ACH-000445,2,2
ACH-001329,4,0
ACH-000027,4,0
ACH-000289,4,0
ACH-000543,3,0
ACH-001623,2,1
ACH-001624,1,3
ACH-000215,3,1
ACH-001608,0,4
ACH-000622,4,0
ACH-000631,2,2
ACH-000479,4,0
ACH-000863,3,1
ACH-000283,0,4
ACH-000623,4,0
ACH-000609,1,3
ACH-000504,4,0
ACH-000152,1,2
ACH-000328,3,1
ACH-000595,2,2
ACH-001622,0,4
ACH-000455,1,3
ACH-000036,3,1
ACH-000673,1,3
ACH-000200,3,1
ACH-000323,0,4
