archetype,subtype,bin,fold_enrichment,p_value,q_value,sig_peak_at_bin0,k_in_bin,bin_size,K_subtype,significant,peak_bin
0,Proneural,0,1.3015873015873014,0.2520893740405935,0.9124428636623758,False,6,9,21,False,1
0,Proneural,1,1.4642857142857142,0.13437452461842705,0.895830164122847,False,6,8,21,False,1
0,Proneural,2,0.7321428571428571,0.8964555549921404,0.981643932863445,False,3,8,21,False,1
0,Proneural,3,0.4880952380952381,0.9816439328634451,0.981643932863445,False,2,8,21,False,1
0,Proneural,4,0.9761904761904762,0.6806449977181683,0.981643932863445,False,4,8,21,False,1
1,Proneural,0,0.8677248677248677,0.798359847140335,0.981643932863445,False,4,9,21,False,4
1,Proneural,1,0.7321428571428571,0.8964555549921404,0.981643932863445,False,3,8,21,False,4
1,Proneural,2,0.7321428571428571,0.8964555549921404,0.981643932863445,False,3,8,21,False,4
1,Proneural,3,1.2202380952380951,0.3771614015516454,0.9429035038791135,False,5,8,21,False,4
1,Proneural,4,1.4642857142857142,0.13437452461842705,0.895830164122847,False,6,8,21,False,4
0,Mesenchymal,0,0.6833333333333333,0.9244829000926562,0.981643932863445,False,3,9,20,False,3
0,Mesenchymal,1,0.5125000000000001,0.9735307540185589,0.981643932863445,False,2,8,20,False,3
0,Mesenchymal,2,1.28125,0.31935500228183156,0.9124428636623758,False,5,8,20,False,3
0,Mesenchymal,3,1.5375,0.10354444500785966,0.895830164122847,False,6,8,20,False,3
0,Mesenchymal,4,1.0250000000000001,0.6228385984483545,0.981643932863445,False,4,8,20,False,3
1,Mesenchymal,0,1.138888888888889,0.46649856405953966,0.981643932863445,False,5,9,20,False,1
1,Mesenchymal,1,1.28125,0.31935500228183156,0.9124428636623758,False,5,8,20,False,1
1,Mesenchymal,2,1.28125,0.31935500228183156,0.9124428636623758,False,5,8,20,False,1
1,Mesenchymal,3,0.76875,0.865625475381573,0.981643932863445,False,3,8,20,False,1
1,Mesenchymal,4,0.5125000000000001,0.9735307540185589,0.981643932863445,False,2,8,20,False,1
