cell_line,verhaak_subtype,confidence_score,score_Classical,score_Mesenchymal,score_Proneural,genes_Classical,genes_Mesenchymal,genes_Proneural
ACH-000269,Classical,-0.2968483933434908,-0.2968483933434908,-0.6497538357352342,-0.595117726225041,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001610,Classical,0.4488590822524564,0.4488590822524564,0.1322641694031471,0.0301391402983655,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-002680,Classical,0.8973273358300287,0.8973273358300287,0.3587492454267788,-0.1329493884740731,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000231,Classical,0.114515887594915,0.114515887594915,0.0727633079703845,0.0343575344647947,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000634,Classical,0.1636965449379424,0.1636965449379424,-0.0300880587794972,-0.2269260762407195,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001609,Classical,0.1198862185705731,0.1198862185705731,0.0038016343244431,-0.0039970499876053,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000370,Classical,0.521048744869166,0.521048744869166,0.1765827874353083,0.0447824890067666,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000244,Classical,1.0643241588168928,1.0643241588168928,0.0780917425541409,0.0580485230401612,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000464,Classical,0.4147142249543064,0.4147142249543064,-0.3489778640330647,-0.5363114543189297,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000558,Classical,0.6727563458477509,0.6727563458477509,0.3456550767244227,0.1601434982381565,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-001605,Classical,0.1129107145192218,0.1129107145192218,-0.0641896795572058,-0.8060254554524143,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-000469,Classical,0.7595250292464458,0.7595250292464458,0.5677890097482055,0.0805614449184767,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
ACH-002409,Classical,0.1482162671352909,0.1482162671352909,-0.6381918593370585,-0.1653152238977197,"EGFR,NES,NOTCH3,SMO,GAS1,GLI2,NFKBIA","CD44,CHI3L1,RELB,TRADD,TNFRSF1A,NFKB1,STAT3","OLIG2,PDGFRA,DLL3,NKX2-2,SOX10,NKX2-1"
