,arc1,arc2,arc3,arc4,arc5
ARPC1B,7.667218658733552,7.671601984343699,7.872383022422107,8.84786803181649,7.756706428571508
S100A11,9.253727096444129,9.821566093521486,9.918381100636934,9.681650576923737,8.547878777451494
CTSC,6.901898466750351,7.625303009662069,6.924601383177331,7.127419522877289,6.290488561187458
GLIPR1,7.375968207747664,6.259342030949329,4.061705148137401,3.9548508689805866,5.183251488664082
NNMT,8.965680831817739,6.957346552766788,4.652387541352225,5.132327285678185,6.256872246024359
VDR,3.72944899232965,3.101644151698222,2.698103445795779,1.8901305150090362,1.1079588433173018
RGS2,5.16724764628241,2.4193346040701593,3.2296412115053914,1.1001236167592605,2.894534307783765
CTSB,9.253086533042262,8.60986007588774,7.8363602217812325,7.48367030080194,7.422752107824824
TGFBI,11.966091954628121,10.859755816011036,10.414839616423162,5.231447656527025,2.093319723799824
PLAUR,7.315168507010254,6.7725935899489205,6.443102964626272,5.145091129469294,3.6310299735590896
LY96,4.854618239976771,4.958539097914974,2.6897837535088804,1.8383685777606273,4.303300678007348
BCL3,5.240442929983277,3.846681563953049,4.208955653808585,4.849494722677133,5.022151767166156
TNFAIP8,4.138651531465973,3.6876756256361896,3.942348753874152,2.8479711732309316,2.281140978864064
IER3,4.74308932456992,4.056351299397619,5.704553610431706,2.4821877425477936,-0.5030111948029412
PRSS23,7.60653776222322,8.8322806433734,7.549276404850524,9.6244157242649,6.666440076686121
IL7R,4.101313629697595,6.115175592982136,3.6843161457815308,4.957914928165592,3.5597433255931596
RAB27A,5.132852961585167,4.854197249516294,4.310795180295684,3.6642532251906275,4.457927906051797
RUNX1,4.162241686928253,4.894322202274945,4.166634635628089,4.31994241029397,4.371466410492897
P4HA2,8.082713004237757,6.808502900204636,6.076387731079538,6.641572362078732,3.29920322647997
CYP1B1,5.78367434296089,1.730899548706722,3.741749835838493,0.4284872073619641,2.2032393066823515
BACE2,6.232969612326083,6.972509943160341,4.942394364164961,6.777096819480863,3.2509167041852156
FTL,12.341295165481935,11.004601955525722,11.888142441316862,11.101215231062522,9.592757028363229
SLPI,3.573553212599141,1.8613589210615045,2.1243838847343546,-0.630768309515688,3.753192967534468
RAC2,3.6034091150055003,5.225807069726583,5.616053489087873,0.45925982333469273,-0.6497258537919008
RARRES1,1.6627520808462206,0.7528716562285444,0.6470136936613318,0.7696889064015258,0.8993998361076315
SYNGR2,4.433667101903282,5.9361737946411575,5.798505808495093,5.708826641759587,6.481502118771044
THBS1,8.645576432270673,9.159221248802154,6.63270392512333,11.104388569732786,7.216102794909474
IL6,4.697907965927956,2.701733439240687,4.013700949100912,0.44687888891164906,1.7076126543696497
CAV1,8.690912331591196,9.745018480007213,8.449888785851668,8.826289083744848,8.573391686968106
PI3,0.8852410792267985,0.3219356450055025,1.3027089519003976,-0.5386260705115078,1.8287306481455419
CDCP1,2.4411791070493227,2.7820073535688934,2.739719548597592,-1.6279700918458433,-0.3981041913829917
ITGB1,9.459402017171044,9.339904494882497,8.409338115746065,9.84741082342252,7.897457814270117
LOX,7.747672819092143,8.150796214370848,3.3726079724181037,3.7925501081808837,2.3868066090059825
CD72,0.7692486599085664,0.5651974769785013,0.16973848919801632,0.37442787167942726,0.6643162640518184
COL1A2,13.15099772748801,9.784617987971908,0.5881167841479646,7.733880773393503,0.8985131958177126
ANPEP,3.1616757198353787,4.115746751989315,4.131715631570527,1.1765469383192442,-1.2979516152373352
MMP7,1.2529297708105227,1.348316326924752,0.40072175115790165,-0.012651749541689572,1.2963660139329822
SPAG4,2.8226710697788358,3.3640007184067477,3.008810860332303,-0.04096985175238377,0.24652615747332352
BNC2,3.216375237958241,3.0377257981428283,2.1040038429164847,2.4197512601836455,2.6776178260539667
NDRG1,7.691770768047012,5.57669192005471,5.395411796673124,4.64766201693249,1.3427271087628707
CNN2,7.752875920879621,7.791857108204347,6.376085089969336,7.6403206020709185,6.830396101080361
LUM,10.134019241490503,1.5862160715329607,2.2326039122584915,5.123881126791172,1.0741962313079982
PTGS2,2.8634708405541573,0.40899700431413444,1.4552031677731356,-0.4247652646094848,1.210461936871207
COL3A1,9.112312318252101,2.112501570796416,-0.24852817316826226,10.16751834416668,-0.6870929918937998
COL5A1,8.596584530383236,6.91427299831413,4.065998349866657,8.42734617842105,3.3214753656966636
SDC1,4.634996389173094,6.796981018893561,5.793767498955307,5.308994188026411,5.328115315189841
COL1A1,12.671260361179698,8.27501626618769,3.6992457442420017,6.69489510133095,1.0616731614537418
GPRC5A,2.030956142070605,6.115512167870692,5.992252465099552,2.4289116880129655,1.9327586950331885
COL15A1,2.6591643843688892,-0.8152656051702625,0.10466257483541119,2.3107672910480463,1.4622337764304718
RAB33A,1.2860004978361015,0.9938497499064318,0.3920910851996281,0.29544915194719346,1.083786115155565
HDAC2,7.304432158846147,7.646974371980598,7.430505698522039,7.5005648756660905,7.558505339385705
MYT1,0.06687763551518537,-0.044724751376347655,0.16286056309538832,0.4391357613500666,0.3952076644896445
MTSS1,1.4097272127510627,1.1233153994220613,0.8414103706214169,1.241061508097444,1.2352736334277812
HOXD3,0.7809143001879562,0.8276345443529857,0.444890405325895,1.5423411168508485,1.0026833872287735
GPR17,0.2488366764079587,0.2525361497321842,0.3532358471527269,1.9278550986487397,0.36725715398870495
PTTG1,7.503423452373153,8.066240661430443,8.080671908634336,7.3519333630419075,7.954353792771768
KLRC3,1.1382346436791022,0.08375758665503219,0.7292362144726919,-0.9046869886805036,0.45110409503622567
TCP1,8.157268295995674,8.608911185530436,8.75817157970743,7.713569370622366,8.318440198707185
PFDN2,7.053047925946882,7.445743147616187,8.039600930396086,7.108069405128966,7.3000733237150435
CA10,-0.032683364316153235,0.19248193823336618,0.09157819931120859,-0.20702001950198023,0.17305634365211342
EPHB1,1.036197767840617,2.0246370892258985,0.4903333496091842,0.5978796637682615,0.8634704374336772
UGT8,1.0807001848512225,0.7697955229429346,2.9320137527405183,3.9023439039825742,2.588249940914894
SLC1A1,1.8061704134084369,2.3674770173830564,1.345679433989793,1.5525470694935146,1.8450761107517204
NARF,5.511262155527217,5.732764457717785,5.4905321611942135,5.358101538557722,5.16927758924446
DCTN3,6.885896919864598,6.8838224858217165,6.512787023183029,6.803915696507396,7.0919901991313345
SMPD3,0.5493841586968657,0.4616984561831602,0.26735522617169444,0.77392691648139,0.8279153972806907
ZNF804A,1.1001212170085322,1.1962835287583773,1.461664360756446,1.3355359118714254,1.5586690082620147
RASL11B,0.6387208536268996,0.36675416016570445,0.3455180773643478,0.3729397803085548,0.1546060739420551
MYB,0.4290430397528174,0.8353265971357763,1.1580215633789745,0.5869665405965174,1.4335456967366498
PDGFRA,4.575520096081356,2.5983443817044503,0.5753462955813751,1.8041523349984971,4.669546135721463
ERBB3,0.2897906942751223,0.6437103614208685,2.7922129048571627,5.93147352540129,0.6065785546338718
CLGN,2.5476091437332364,3.327093764736642,1.5164644977047477,-0.92620953260721,4.383477043680457
SOX10,0.20593028840005556,-0.4881248127455413,1.5563634474654164,6.692569296461341,0.30734122449149665
BCL11A,0.3101214428587234,0.5277451554737317,0.8127992230644294,0.38447402020290083,1.4764332156994726
NMU,1.1388128281924814,2.853413492538375,2.2304525375440636,1.5157763906407846,3.6181989185335954
CDKN1C,2.1605480102256744,1.6929788450284686,0.4116368294286643,1.782860754871085,1.0022563959982858
JPH3,0.3814247034813652,0.29638879175821625,0.5879758003599794,0.8168702719886128,-0.18106381814250938
IL1RAPL1,-0.1814916111141318,1.2460191574710269,1.2791111202912133,0.4819711864914604,0.29720827214936835
MAST1,0.7628826390169429,1.5097949391027476,1.4619277240179487,1.124955447106349,2.0885042726442533
VIPR2,0.2582832236082705,-0.2594316343669073,0.15977183949338705,0.20486290154448283,0.8638366478435127
SIM2,2.136405225818259,1.610660829628367,1.5440354118012647,3.053338872346991,1.9038816791852107
BAMBI,3.4634078933356056,3.850479945573875,2.8124880608815293,7.540476611585628,3.7594053255194098
PKMYT1,4.240777321900865,5.558258235362701,6.053188858954786,6.543264565591504,5.864431764721758
PLCB4,1.97234643711783,4.202920613344862,2.4284282319045722,3.2476438839007535,1.048446683726789
KLRK1,0.6804412212061255,0.19553515473032043,0.34217180884249426,-0.613367878201036,0.2840270902034795
CENPJ,2.664776176872196,3.3061252658030873,3.2283435489328753,3.740143619708338,4.101864014959319
GABRB3,0.38184033520759963,0.9655428799479129,0.3371238042545984,0.35440805835872424,-0.07378937320596929
KLRC4,0.6332806143893379,0.1542402124398191,0.31196272377108114,-0.6047434330406809,0.25614851595488874
KCNK3,0.6012322026563537,0.12504931539505698,0.19888988915226594,-0.03312745185389471,0.3301601685939111
GRID2,0.06963439028046381,-0.07295084300565359,0.06356062997903854,0.2525732287305635,0.53584283174475
DACH1,0.10347159843714221,0.8355990375296222,-0.11119952759320206,0.3678060046627688,1.9888055969317087
PTPRA,5.356568629124499,5.39250179098474,4.73243778036437,5.471269996660134,5.544331042935793
ELOVL2,0.8843877718904779,1.2572703647601224,1.4486997439897569,2.8442780362530393,1.3277232542253943
MLC1,-0.29003659215229427,1.1721066039696513,-0.41445100933050294,0.2783576531435158,4.772026053106967
SOX9,4.445473895019707,5.360279215703888,3.3810926991727612,1.0241365076710727,4.813638215435052
DENND2A,3.024593232154828,3.0501801202928585,1.4921373799376665,2.5129312490411424,4.567629796977647
BBS1,3.8021470844568057,3.806527133614558,3.0008226281434696,3.550843183813498,4.3255748925829405
ABLIM1,2.1834189962518202,3.2136700990924103,2.3719295520380808,1.7027365380529644,5.397649922757524
PAX6,3.5984705124247287,4.636562205735932,1.3792023874730956,0.9723600017232013,3.4625205493133366
ZHX3,4.03334944790457,4.054452806884811,3.181510902607209,3.6984264357022347,2.860860872384995
USP8,5.774565689610728,5.691146355925982,5.087103779163118,5.526626233869559,6.04064396418405
PLCG1,6.581948808858904,6.209597321198072,5.739737025042778,6.33292194532583,6.119617221304883
CDH4,1.0506643393040822,4.291473455164121,1.393459401366987,0.49416102052441624,2.8222796101721968
RASGRP1,0.36907263557376335,0.4194345989603927,0.20013505239660273,0.429209734900733,-0.010635365912291972
ACSBG1,0.6134349706729516,1.1847680829645526,1.057962044780215,0.9308724746485729,1.737161816424098
CST3,8.215380859125853,7.393808922515129,7.29462980813475,7.475413328251539,8.032528094469077
BCKDHB,3.858341264310441,3.7422737646042754,3.2322082514377874,3.9978596261790744,3.9478876546000814
