,source
ACH-000570,cell_line
ACH-000075,cell_line
ACH-000376,cell_line
ACH-000269,cell_line
ACH-001611,cell_line
ACH-000098,cell_line
ACH-000887,cell_line
ACH-000368,cell_line
ACH-000760,cell_line
ACH-001610,cell_line
ACH-002680,cell_line
ACH-000231,cell_line
ACH-003438,cell_line
ACH-000738,cell_line
ACH-002681,cell_line
ACH-000819,cell_line
ACH-000571,cell_line
ACH-000102,cell_line
ACH-000634,cell_line
ACH-000137,cell_line
ACH-000445,cell_line
ACH-001609,cell_line
ACH-001329,cell_line
ACH-000027,cell_line
ACH-000370,cell_line
ACH-000289,cell_line
ACH-000543,cell_line
ACH-001623,cell_line
ACH-001624,cell_line
ACH-000244,cell_line
ACH-000215,cell_line
ACH-001608,cell_line
ACH-000464,cell_line
ACH-000622,cell_line
ACH-000558,cell_line
ACH-000631,cell_line
ACH-000479,cell_line
ACH-000863,cell_line
ACH-000283,cell_line
ACH-000623,cell_line
ACH-000609,cell_line
ACH-000504,cell_line
ACH-001605,cell_line
ACH-000152,cell_line
ACH-000328,cell_line
ACH-000595,cell_line
ACH-000469,cell_line
ACH-002409,cell_line
ACH-001622,cell_line
ACH-000455,cell_line
ACH-000036,cell_line
ACH-000673,cell_line
ACH-000200,cell_line
ACH-000323,cell_line
TCGA-27-1832-01,tumor
TCGA-27-1831-01,tumor
TCGA-28-5216-01,tumor
TCGA-16-0846-01,tumor
TCGA-28-5218-01,tumor
TCGA-06-0178-01,tumor
TCGA-06-0238-01,tumor
TCGA-06-0125-01,tumor
TCGA-06-0219-01,tumor
TCGA-06-0174-01,tumor
TCGA-28-1747-01,tumor
TCGA-12-0616-01,tumor
TCGA-06-5415-01,tumor
TCGA-28-2499-01,tumor
TCGA-06-5411-01,tumor
TCGA-06-0211-01,tumor
TCGA-19-1787-01,tumor
TCGA-27-1835-01,tumor
TCGA-28-5213-01,tumor
TCGA-06-2561-01,tumor
TCGA-14-2554-01,tumor
TCGA-06-2563-01,tumor
TCGA-41-3915-01,tumor
TCGA-76-4932-01,tumor
TCGA-06-5412-01,tumor
TCGA-26-5135-01,tumor
TCGA-16-1045-01,tumor
TCGA-06-0141-01,tumor
TCGA-06-2557-01,tumor
TCGA-06-0157-01,tumor
TCGA-28-1753-01,tumor
TCGA-26-5139-01,tumor
TCGA-26-5136-01,tumor
TCGA-28-2509-01,tumor
TCGA-06-0168-01,tumor
TCGA-76-4928-01,tumor
TCGA-32-5222-01,tumor
TCGA-12-1597-01,tumor
TCGA-06-2567-01,tumor
TCGA-27-2526-01,tumor
TCGA-28-2513-01,tumor
TCGA-32-2615-01,tumor
TCGA-27-1834-01,tumor
TCGA-14-0787-01,tumor
TCGA-06-5418-01,tumor
TCGA-12-5295-01,tumor
TCGA-12-3650-01,tumor
TCGA-28-5220-01,tumor
TCGA-06-0190-01,tumor
TCGA-02-2483-01,tumor
TCGA-06-5417-01,tumor
TCGA-14-1825-01,tumor
TCGA-12-0618-01,tumor
TCGA-06-5413-01,tumor
TCGA-32-2616-01,tumor
TCGA-12-0821-01,tumor
TCGA-06-0158-01,tumor
TCGA-12-3653-01,tumor
TCGA-27-2523-01,tumor
TCGA-27-2524-01,tumor
TCGA-76-4929-01,tumor
TCGA-14-0817-01,tumor
TCGA-26-5134-01,tumor
TCGA-19-5960-01,tumor
TCGA-28-5215-01,tumor
