n_components,ev_tumor_only,ev_combined_on_tumors,cum_tumor_only,cum_combined_on_tumors,ratio_combined_over_tumor
1,35.757950133025766,35.50079148448341,35.757950133025766,35.50079148448341,0.9928083503784282
2,13.27606205412396,13.193474106890754,49.03401218714973,48.69426559137416,0.9930712054628766
3,8.875089687484783,8.670712816229626,57.90910187463451,57.364978407603786,0.9906038351586133
4,4.7493081782938456,4.436708293130282,62.65841005292835,61.80168670073407,0.98632708120952
5,3.2318030228017713,2.6809409661354997,65.89021307573013,64.48262766686956,0.9786374130063478
6,2.768074397281187,2.0154446382957247,68.65828747301131,66.49807230516528,0.9685367164350671
7,2.4178300147881826,2.41239375374225,71.0761174877995,68.91046605890753,0.9695305328225939
8,2.020134777934549,1.8558207140238379,73.09625226573404,70.76628677293137,0.9681246928456425
9,1.753616007081136,1.5273207168516008,74.84986827281517,72.29360748978297,0.9658481592283494
10,1.5902667762057046,1.280149068537656,76.44013504902088,73.57375655832062,0.9625016558531451
11,1.2427605265232358,1.1420832934707308,77.68289557554412,74.71583985179136,0.9618055467452626
12,1.1730860781737458,1.292234720866627,78.85598165371786,76.00807457265799,0.963884704478527
13,1.1261150099790018,1.0271037876698934,79.98209666369686,77.03517836032788,0.9631552756642529
14,1.0299542316131356,1.064114337068713,81.01205089531,78.09929269739659,0.9640453714512487
15,0.9775861055689006,0.7985280319976339,81.9896370008789,78.89782072939423,0.9622901578226095
16,0.9088439120557515,0.8743170850715417,82.89848091293466,79.77213781446576,0.9622870882066901
17,0.8652708658607504,0.7601138616443205,83.76375177879541,80.53225167611008,0.9614212587896119
18,0.8296111963465312,0.8165485080298053,84.59336297514194,81.34880018413989,0.9616451849543388
19,0.7930975505227752,0.6596197333825294,85.38646052566472,82.00841991752242,0.9604382171676157
20,0.7250917684248035,0.5801672160784312,86.11155229408952,82.58858713360085,0.9590883561306969
