,arc1,arc2
TSPAN6,3.8855868521755865,4.303479056033535
TNMD,-0.10107531493012772,0.11455015270615772
DPM1,7.036229249547072,6.627305111144801
SCYL3,1.7601162078622163,2.6803992308896043
FGR,-0.05436810757997862,0.27615340526063487
CFH,1.4918583640937602,4.799001106427423
FUCA2,6.153952157788364,6.512287455974314
GCLC,4.2458333271106845,4.2725368420020775
NFYA,3.7170981572163413,4.162395955304531
NIPAL3,4.0058338250491765,3.9043612334466835
LAS1L,5.258581771743447,5.29890797236338
ENPP4,0.41901268353617516,3.3362839002818525
SEMA3F,-0.16397803104672315,3.9197750883184117
CFTR,0.7259687072785463,0.3578253453158835
ANKIB1,4.394628496663048,5.65176699744163
CYP51A1,5.735471929214028,6.164494162884534
KRIT1,4.689674900032733,5.766002008231359
RAD52,3.0822359158469244,3.204163564676661
BAD,5.885490337577208,6.362938750773064
LAP3,5.232697521404768,6.2496730023367375
CD99,7.272742439253076,9.08383323400737
HS3ST1,0.11706591627809282,0.9280754709867575
WNT16,0.05018047470336223,0.43594359952588324
HECW1,1.4504275699919886,2.0254811993823973
MAD1L1,4.4753905079226435,3.9999337508977826
LASP1,6.986235230595219,7.074716404206812
SNX11,4.067003544650365,4.644699263318261
TMEM176A,0.35813802789012,0.34742368160209347
M6PR,7.396309319272113,6.969781521726522
KLHL13,0.310241166246489,3.761598595807577
CYP26B1,2.572333995423172,1.23635818073467
ICA1,0.11585215517079384,1.847546577091604
DBNDD1,1.9079810432400417,4.112764134377422
ALS2,4.187772631514889,5.019140692350972
CASP10,1.299327805319626,0.7286115722332847
CFLAR,3.875575766918231,5.235237483523196
TFPI,6.5447690942391485,4.498802825975717
RBM5,5.630023289409222,6.9798376458735945
MTMR7,0.5991483364100347,0.8926839348745756
SLC7A2,1.8390593744071584,0.30561441275844425
ARF5,6.796923412366689,7.95694757421952
SARM1,2.065674579312665,4.2413690833379825
POLDIP2,5.64107876826502,6.044744939717154
PLXND1,4.260648947846356,7.289781209938901
AK2,8.400097918159156,7.236943669287103
CD38,0.5553630523719448,0.2221328576451617
FKBP4,6.095274300799309,5.718878533450578
KDM1A,6.371018642799392,5.497935916190969
RBM6,4.835123112267693,5.876840201706667
CAMKK1,1.6704112363225392,2.7660568514149877
RECQL,5.779562596613119,5.802108783049613
HSPB6,-0.17941093867699642,3.9635403105063425
ARHGAP33,2.5290440258150104,3.8585073912672105
NDUFAB1,7.325046644065446,6.9917417732144145
PDK4,0.45454595807517184,1.6271835089629847
ZMYND10,0.4530136616420024,1.282357035209735
ABCB5,-0.09893139355860303,0.6375301190080425
ARX,-0.39832329600708843,0.5966606911816545
SLC25A13,4.334047094681479,5.352823021277422
ST7,3.68936320074615,4.335491807137684
CDC27,6.1391858765908145,6.157799551308935
CALCR,0.23276314093337158,0.030302844351822567
HCCS,4.942912962241854,5.408350476906932
DVL2,4.911258141479232,5.412979973261323
PRSS22,1.138712995436236,-0.2659276298625915
UPF1,4.479671253374931,5.081427361105263
SKAP2,4.835626524088225,4.574719389006605
SLC25A5,9.216808140700172,8.891524942125375
HOXA11,0.9344323234207147,1.0478428617194968
POLR2J,6.555568351901125,6.999787106908147
DHX33,3.3848424415118896,3.906754841609329
MEOX1,0.5912279996343137,0.2974998188152798
THSD7A,-0.009818802871299881,1.2257877072505141
LIG3,3.838968808175113,4.572235556192013
RPAP3,5.326290367478535,4.704517341591373
ACSM3,1.5614063308384027,1.131765287541059
CIAPIN1,5.628561190621156,5.909080801288803
SPPL2B,3.802975645141891,5.509562986082073
COPZ2,3.908146270457115,5.824190700795524
PRKAR2B,1.7472301461261746,3.822723345079572
MSL3,4.12993926002955,5.039347060421062
CREBBP,3.264446850156126,4.76134512011506
MPO,-0.022522935388928522,0.5308809278634445
WDR54,5.984484311132275,5.197846760096639
CROT,3.36436942321176,5.164659040720731
ABCB4,0.43591296642811883,0.5961992570832729
RHBDD2,5.1079863227214455,6.888228437680896
SOX8,-0.3166028959470404,0.7421876932777619
IBTK,4.449327336970049,4.880923780513275
ZNF195,4.16640688718831,3.6831147393034183
MYCBP2,3.4003181767482475,4.547184970932981
FBXL3,4.067398242425001,5.276406260429159
PDK2,4.171198158234361,4.945493212568387
ITGA3,8.02391305510345,8.972570101888445
ZFX,2.8450755177117584,4.081258504922246
LAMP2,6.623764704586156,7.828989063134112
ITGA2B,0.336447089053037,0.6815248363751941
ASB4,-0.024423726639199575,0.12484269008928306
GDE1,5.74657311788343,5.993840075797726
CRLF1,2.8801059508836424,3.1867235712521853
OSBPL7,2.0466195071344586,3.3090968705444115
TMEM98,2.6699704878839587,2.6666759961926365
YBX2,-0.01777906882770658,0.7839258719315808
MAP3K14,3.35744908062551,4.178794667070572
TMEM132A,5.127622580882394,5.529120544778887
AP2B1,6.02939965577883,6.7876836108850895
TAC1,0.026049444040789155,0.03373070468583073
ZNF263,4.176195536569607,4.953706711953748
CX3CL1,-0.8451160362916597,3.924538398540294
SPATA20,5.380181748994442,5.65408615322868
CACNA1G,0.7046141477987251,0.7196455760657312
TNFRSF12A,8.339368385885104,8.316098437668682
DLX6,-0.14467589479521548,1.3616335744835304
MAP3K9,1.4599582798460313,1.5202514396254145
RALA,5.513853624808837,5.904279375196386
BAIAP2L1,3.090185952861665,2.363699775347828
ETV1,3.5996608233028944,4.2848606075164986
AGK,4.534543810607638,5.736130826846724
ALDH3B1,3.64537902497127,4.307413896943116
TTC22,0.41404465314864336,-0.16783121402918047
PHTF2,4.279416120847524,5.572960776773295
CCL26,2.7312552206224936,2.799033394814073
FARP2,3.3679342455099457,4.263467796250597
GGCT,6.378516688124707,6.532392009332988
DBF4,5.253031605875724,5.111803308833975
TBXA2R,1.516130011459127,1.1429587589689199
IFRD1,5.036847539353557,6.670392926040697
COX10,3.973640036838388,3.7274996353509033
GTF2IRD1,3.46821929626871,4.5250617058662055
PAF1,5.56733519859991,5.839570069113669
VPS41,4.469214361186688,6.02914726586144
ELAC2,5.755062075415452,5.9300442154260935
SCIN,0.16303139944953227,0.5303796113969146
ARSD,1.3403907588742836,4.870188042294627
PNPLA4,1.696501587952524,1.388996479954576
ADIPOR2,5.600440890035209,5.453845632326835
CDKL3,0.8665288653275421,2.4193386383502733
PRSS21,0.08910420598238701,0.22630632487568647
MARK4,3.6506765568622606,4.867669205645069
PROM1,-0.3329701331235091,0.9249283259830134
CCDC124,6.832322337045323,6.705489799971597
PAFAH1B1,5.9667070393693455,6.9065260926638805
DNAH9,-0.8058498023855329,1.2558271853478111
GAS7,-0.3794380063954781,2.3315603120498247
TRAPPC6A,2.821947728232814,4.347486088237917
MATK,0.19259576860723887,0.24145909997754364
CEACAM7,0.05983738881657258,0.018163623169512783
CD79B,0.24810870727205903,0.2136055523456985
ST7L,4.373094218839644,4.706391987614389
TKTL1,0.2157800041452123,0.16042562454764944
PAX6,2.088980862062763,4.280553492261934
RPUSD1,4.606319626209252,4.340263595566565
RHBDF1,4.352784782508438,4.9982431420326074
LUC7L,4.706355568145678,5.119848792278799
CACNA2D2,0.04982106607363679,0.5025446510244445
BAIAP3,0.052619852110616594,0.8399736086552024
PIGQ,4.128895121822101,5.548788387344681
TEAD3,2.8663591120766343,3.645896768978064
DNAJC11,5.301928642197913,5.134613544068703
FMO3,1.2718946136073535,-0.04287151811833517
MYLIP,1.510423295004248,3.6947448175274324
E2F2,2.1779082856821894,1.815409140307252
PSMB1,8.626660494674109,8.242056274813049
SYN1,0.34471791827304243,0.8314312341199878
JARID2,2.7745684389734686,2.6930825398568166
CDKL5,0.7628690600453032,1.6015357754707193
CAMK1G,0.9803844619500722,-0.053245370122386226
CDK11A,4.7532660623167375,4.671296742934742
NADK,5.315015871828492,5.231828790336455
TFAP2B,-0.041872503563346014,0.1444849260752781
DLEC1,0.09883823360574079,0.1914884516897625
CYTH3,3.6732257902017054,5.516850062487287
ADAM22,0.9612610414457254,1.8388095624811212
SYPL1,6.7505348032011865,7.977107661848413
CYB561,3.9165578651659354,5.659594940838618
SPAG9,5.549699323992186,6.5209339399774615
CELSR3,3.333177615611162,2.402065894075543
AASS,2.36053091708904,4.5562703505838344
PLEKHG6,0.5697486738955413,0.3065300297480121
SS18L2,5.0004282863783835,4.670604604797458
MPND,2.863350814551367,3.160237009716848
MGST1,8.300402100644426,6.53752619081002
CRY1,3.6072688423651056,4.364060828610856
NFIX,3.1880791828784916,7.134552165610062
ST3GAL1,3.313427062952681,3.7072458490246873
MMP25,0.6111629858028458,0.7798790563163863
IL32,3.6314280259042544,4.479104272411734
PKD1,4.52883458522779,6.241766721999945
MAPK8IP2,0.35848238235884977,1.436220195247399
MED24,5.320529735676062,6.034975407336827
RHOBTB2,2.590500231875067,3.2432369240914762
HEATR5B,2.767151644369008,3.605660280871333
SEC62,6.571579552743812,6.964171382801758
RPS20,11.47964053477817,10.335945118503185
CSDE1,8.692545642217807,8.581473874457616
UBE3C,5.0188856591008575,6.324046537830243
REV3L,3.116062796222936,3.5274841443180387
PAX7,-0.14634514639449553,0.30629815832927276
MASP2,0.4459662742788204,0.8826935763041376
FAM76A,2.653860331058243,2.550429497716365
TRAF3IP3,0.4101553885325041,0.6105882619504164
POMT2,4.146348860297604,4.299408709420408
VTA1,5.665211903433749,5.766623879720075
MLXIPL,0.31032320936522567,0.5221023892366596
BAZ1B,4.887473728867622,6.236628599316705
RANBP9,4.787964036878106,5.776000659439355
ETV7,-0.09401982208572524,1.24514986410108
METTL13,4.589810002043271,4.961499876978048
DYRK4,5.169602170259615,4.893893313786501
ZNF207,7.394616311317253,7.708255109532486
UQCRC1,7.784053112643327,7.688283591958715
STARD3NL,6.147934123617073,6.3683288590696305
CD9,5.644555295141894,7.74680481048613
NCAPD2,6.6647309731632145,6.2273923365816755
IFFO1,2.9856055514689146,4.622914852209423
GIPR,0.6337876802431113,1.7041835468669313
PHF7,2.6193889729764193,2.9192954035564114
NISCH,4.070620678393913,5.464573054515038
STAB1,0.3354472970619098,0.21274344385021876
FUZ,2.328982166334137,4.223177982333429
SLC6A13,0.1460070351543694,0.25303034947944775
IDS,5.3067566950125,6.441367513868039
PRSS3,1.5012222552220726,0.4471304995428505
ZNF200,2.784827222509363,3.1951502456364707
CD4,0.28769675049617316,0.7550437359389304
LRRC23,2.946419126063282,3.086000273304594
HFE,3.344870338947247,4.606525580328052
SCMH1,4.167445715316066,4.809414302254267
FYN,4.050534719385166,7.265928400508606
HIVEP2,2.1433758338254627,3.281822709551273
FMO1,-0.09237660636108552,0.18629619757910892
LYPLA2,6.115153442395177,5.511384072888627
CLCN6,3.133954078649599,3.431577013932725
MRC2,3.297526798545976,7.938472808662963
TSPAN9,2.599495735227662,4.958617962809449
BTBD7,3.3545249166443796,3.4631657129463482
APBA3,3.370621702523511,4.099276267958838
MKS1,3.0602572413883142,3.8383711719539066
ABHD5,4.891002602889175,4.370221877096591
AKAP8L,4.740147679842363,5.275799486089044
MBTD1,2.645258352994571,2.9855589476061875
UTP18,5.750729823620412,5.200987893176887
RNF216,3.756827394317837,5.013649115789876
TTC19,4.633043675248,5.240949587680961
PTBP1,7.693904793956079,7.820511555170917
DPF1,2.169293282828567,2.3928710875568746
SYT7,0.8085509788083475,0.6531363421375305
LARS2,3.4818262647218283,3.959437149472214
PIK3C2A,3.6236991202361333,4.56800713470901
PLAUR,7.331477242058147,5.669991001261126
ANLN,7.108404584133427,7.0675592400579585
WIZ,3.6268607549864376,4.404698637096254
RABGAP1,3.698904903843987,5.255919246255062
DCN,1.2848812939305774,3.7726747749988823
QPCTL,3.3156861569391207,3.795643670557889
PPP5C,5.450693771383164,6.321168038402327
CEP68,1.9439004880389232,2.774515469506894
MAP4K3,3.701070846541381,4.281260714003958
GABRA3,2.3663955574710287,1.2172928719692737
BRCA1,4.26425647245984,4.2561115614843255
ERCC1,5.50177227750777,5.658982268182833
CD22,2.0477855943033094,0.3750725223494116
SEMA3B,1.7974626260194038,5.299766747211992
MBTPS2,3.8281446315438497,4.80071460190483
PRICKLE3,2.553242169197843,2.328946146096582
LTF,0.6432811065568074,0.21619151514323107
EXTL3,3.438707035669343,5.125181322439915
NR1H4,0.164975594306745,0.10595611199087651
ELOVL5,6.475099351103261,7.662289872132954
ALOX5,0.2469206524057403,0.043517773717409614
KDM5D,1.0669222218431171,2.4639434804357694
CALCOCO1,4.007252880907707,5.918219791857073
UBR7,5.139028418907783,4.985857387154241
MAP4K5,4.423326389255652,4.733523029785963
EHD3,2.3765490082227956,3.077882948073216
PSMC4,7.188369243967854,6.72739300846491
MAN2B2,3.0733819330967362,4.340174155421484
SLC7A14,0.015916756519426423,0.3398736337062733
CLDN11,2.7636647453734673,2.3909702335344845
SLC25A39,6.96065251324187,6.659154838750296
MVP,6.148230263341545,6.477569041711682
NUB1,5.095938835720534,6.528468031191208
PGM3,5.08324700496003,5.919783948906363
RWDD2A,1.5849735544361345,2.588118384395645
CLK1,5.401363132727215,5.781716887972775
POLR3B,2.8191281218971507,2.600704727073687
ANGEL1,2.982623771344064,2.8877331948925566
RNF14,5.163958579318145,6.288746987145352
DNASE1L1,4.736014512439593,4.4710976642697915
DDX11,4.924041978521952,4.757268922573728
HEBP1,5.463780677851553,4.594172067244541
GPRC5A,5.37853936867614,2.7565572321956586
MAMLD1,2.3472587167383474,2.978213741657532
CD6,0.04173563060097117,0.11203863712230105
TACC3,6.125284191414264,5.780556407624418
POLA2,5.399291077963843,4.855442863500938
ZC3H3,2.798476728498398,2.749158892136881
CAPN1,6.544131048985135,6.444716998371818
MDH1,7.7853331020846746,7.7665511010764865
SLC30A9,5.271318615196165,5.685576451751996
MTMR11,3.2645280411111504,3.579454612805047
COX15,4.300640567238355,3.935830538269094
CCDC88C,0.7191429691825179,0.9246055179535934
YAF2,3.926727683852515,4.248819930439646
ZMYND11,4.448768886600782,5.027564168177278
WAS,0.6743140671423763,0.5539280934829429
BID,5.828533381596179,4.631266973608151
MATR3,7.512027488917576,7.862238196806769
XYLT2,4.1245477787898865,4.4663814157465
RGPD5,3.062825099668292,3.663836835040514
STMN4,0.012202038476391383,0.13082894915807086
NUDCD3,5.6704472183340116,6.963316498317307
ISL1,0.27583897260701107,0.0691334863594143
CHDH,-0.26074392545544783,1.0176587094259477
IL20RA,0.1307008025788391,0.18809126663822562
CLCA1,0.04587054497311839,0.05846190405678326
GLT8D1,6.053901244427906,6.757899313696718
ATP2C1,6.22799206587249,6.596245904407601
IGF1,-0.14687682892612502,0.797040477062471
SLC38A5,2.786668691706913,1.2358898446387419
RALBP1,4.255682368280025,5.168790049986903
RUFY3,3.0027089231208857,4.841226374826921
CNTN1,0.7000015601254863,0.945207466021018
SLC11A1,0.3739692393429501,0.12528735867826224
WWTR1,4.821969675928813,6.7356070775043
AGPS,5.955924080467053,5.69666260817436
ATP1A2,0.5407354147562471,0.3322967880543885
TTC27,3.503615854571518,3.32979608716335
ZNF582,0.5942866409544879,2.105212328178972
PHLDB1,3.8763581841825303,6.514932388016305
MARCO,0.3229512987598653,0.11145138116734445
CYP24A1,1.0737026843949973,1.0237070368538987
PRDM11,1.855206137377208,1.7837081421914915
SYT13,0.07793655707532987,0.7115074908317669
SNAI2,5.67778624566962,4.336891151849857
CD74,1.5628566810830726,4.002784774847635
HGF,1.1393963816446053,2.467645001698976
ZRANB1,3.1505278739969684,3.2693751649432645
NCDN,4.098285884509286,4.817692781507748
ZFP64,3.8603938953827193,3.936425420047664
MNAT1,6.120418753348104,4.756041203242339
SAMD4A,3.4815023721093685,3.281884120142533
RUNX3,1.4107923167006748,0.3758788136564286
PLEKHB1,-0.8808428024683708,3.468640635102277
SERPINB1,4.21772954895021,2.076731172776771
SLC7A9,0.11532022397463049,0.19999736981719318
SPAST,2.8846697274353406,3.320316692793917
NRXN3,0.7084900336185957,2.6321028625613643
OSBPL5,2.6623597013411526,4.06430591832306
AQR,4.299276541162653,4.425888171621845
CPS1,2.87626403627002,2.933509719725417
FHL1,5.424764400842135,6.961203911281945
GABRA1,0.00163324657832601,0.0747197217152564
NLRP2,0.19230401151769327,0.199684086903751
SLC45A4,1.373264340364842,2.134594164099534
RNF10,6.688464727332801,7.047554507981319
ZNF839,3.3168691935252257,2.8041427687455758
ZDHHC6,5.324457298299236,4.644048933819004
GRAMD1B,2.607355441508953,1.2044109722165668
RNH1,6.917857096492013,6.7987447283133005
NDUFS1,5.837726864725496,6.285282485594022
RB1CC1,3.94551016920736,4.467444030516898
ERP44,3.9263896797767712,5.03511079711696
ALAS1,5.211509260879841,5.113805504524122
BIRC3,2.7315241526417084,2.512847601329439
AKAP11,3.101209704123772,4.023380049177838
GLRX2,5.105246463933809,4.515076680818871
SNAPC1,5.444440370853266,3.9121567371665726
DERA,5.800390237670909,5.1691815151175
STRAP,7.328984523989859,7.0642523910772
ABCC2,2.12272618722003,0.5852456578281506
DEF6,0.8442884273215658,0.11696304920993689
PLEKHO1,4.193009992459087,5.039664670474782
GCLM,4.7587788448595,4.86738961586016
UBR2,2.9809151024236376,3.3933148150603194
EHD2,5.471508576177371,6.18204977978607
DEPDC1,5.33359768858609,4.7524813338785235
CCDC28A,3.6917300495421266,4.309729823812386
RRAGD,1.2772291289673958,3.553500141126958
HSF2,3.618582042222248,3.931129901231495
PHF20,4.946937510673929,4.877354325737586
HSD17B6,1.1549448384732934,1.599863419568694
NR1H3,3.114846102669093,3.0394824458274394
TYMP,2.2580753468186074,1.4490298107451958
NCAPH2,5.530379501339919,4.556259320318748
TOMM34,5.956921512253966,5.707004974201067
SEC63,6.014261098144825,6.613112936200283
KPNA6,4.558949658644226,4.5504280121283305
VIM,10.014677189768543,11.916691875107247
FAS,3.530347956547455,5.10832269774917
