,arc1,arc2,arc3,arc4,arc5,arc6,arc7
TSPAN6,3.6263540827495047,4.917117613133902,4.1836038821495825,4.6422740690727915,3.832243296798715,3.8849886355669785,2.639597377037896
TNMD,-0.10581633044018807,0.020671664202315948,0.1715750503327565,0.0669101204342614,0.01885341331719381,0.008342142058727433,0.016039457545003452
DPM1,7.024337232883391,6.803916260211157,6.752771347661751,6.945944252748456,6.882369266908125,6.922257279963066,5.951095363939177
SCYL3,2.068259016071196,2.1789971779073145,2.8526020041855684,2.3924024273728075,2.5417439117228215,1.6202974726702768,2.0430265652904374
FGR,-0.1287348048968944,0.26278059199008663,0.1268513713526889,0.25487709822649823,0.17715019917540853,-0.07323336939338743,0.06779214907393008
CFH,2.2501361570886087,4.545780155547467,4.158113731688961,3.7804147735207048,4.198007446006873,-0.5246981445969885,1.6480856595537827
FUCA2,5.438406821398981,6.805471313686329,6.115993598373635,7.1371853416426125,6.384973230612469,6.622465827875479,5.241805043511852
GCLC,4.261629675025925,3.4264713286399053,5.017402192852785,4.5326766313365825,5.488850806026421,4.198662332516277,2.560984039873179
NFYA,4.001460132565426,3.474045339723732,4.273154984300326,4.17491215846983,4.461685149886671,3.591900367737714,3.69372560526556
NIPAL3,4.868941112599365,2.9439564279466284,3.879170583557751,4.497282426949029,3.6499844238497254,4.276348196741969,4.285215403926548
LAS1L,5.627688557377563,4.791873502397646,5.822074708801653,5.5856147276110235,5.235636152014505,5.622575509367253,4.651694723020956
ENPP4,0.8379017947818934,2.202825878355735,4.121870010242264,3.9690258338986992,1.130007987683941,2.302283948841149,-0.09705374774467002
SEMA3F,0.47132765449205904,2.1168174385370695,3.2126483784231157,3.7724562572507523,2.4535519773441843,0.06777481547979791,1.6674951293282585
CFTR,0.47446558064508315,0.7038074832667115,0.8445035120270985,0.048827767371264874,1.2624295787560034,0.13374971175250505,-0.5681375379935113
ANKIB1,4.66224654049659,4.869230294459859,5.676286659796887,5.0845906342246705,5.650977094179612,4.17488558464002,5.469064669062593
CYP51A1,5.94154114428641,5.991088775774195,6.160159778257077,5.923719191988928,5.857597353397373,5.721392570562391,6.37475426025003
KRIT1,4.980579398571777,4.920657140741242,6.010146979463149,5.081956468621602,6.072845081721386,4.358222523318814,5.578358802123333
RAD52,3.5657764428492715,2.3962413792873334,3.683586166941594,3.1017546549850983,3.5898289780057495,3.036531432155213,3.0899679422801527
BAD,6.144156514387303,6.1327215384007046,6.5968513332008065,6.084482009560006,6.173506245957225,5.823337304894619,6.140852156772689
LAP3,5.6350044013732585,5.469787072279679,6.359465762517442,6.599228190534396,5.968746248001632,5.421126251528487,4.791727875022718
CD99,6.936989172509206,8.888354347816227,8.374496585439337,8.19171003616146,8.258873627704293,7.398378610680592,9.999714839783726
HS3ST1,0.41487979546836296,0.4770068669793868,1.5520102770806001,0.14345781918594747,0.8633249440942647,0.03353485638038067,0.7902567206589493
WNT16,0.013968873678576355,0.3253620091801642,0.27089451280644217,0.38993447773850726,0.3527434752930799,0.027449286665226946,0.31234248953912647
HECW1,0.9414415783843373,1.2370449385518838,2.0664771162898816,1.895974884527835,3.52508970413193,1.0786407448398871,0.8732135125416144
MAD1L1,4.579438524283454,3.5065964497871045,3.9534887984839213,4.302258153576614,4.596291011949987,4.482239136639843,4.381584367454957
LASP1,7.250128514802998,6.366914606734571,6.467307568008368,7.476715144526114,7.135493523707694,7.05066136943387,7.830166087587982
SNX11,4.386969355302814,4.0622356009007765,4.659864011483753,4.694627225543681,4.621312578352996,4.019401251235917,4.176356383289314
TMEM176A,-0.19104908414239935,0.3740064286724592,0.5360818004157757,0.3647263360223205,1.0203248447604296,0.4186902941186999,-0.4228378535841752
M6PR,7.557353994294567,6.8703057104610075,7.156697364969303,7.426138315976966,7.2764439453594525,7.3468654371846185,6.250433535791063
KLHL13,2.0121403756495,2.2274385000615795,4.690150973840896,2.540547561565038,1.5202452258790597,0.5921608897371224,2.6095287817690562
CYP26B1,2.1044143196058456,1.2027544677167097,0.8578113504850268,1.63276475372928,2.8143552244874557,2.1173710721362173,1.8648759551383554
ICA1,0.5216552259255576,0.689237780514499,1.6275136735672382,1.9816027450891815,0.5876510537099163,1.1232366950817054,1.8961981890029396
DBNDD1,2.622163925084516,2.161527965050377,5.560235543908864,2.9807846288519073,2.768019419488618,3.6960364683257083,5.048465971772465
ALS2,4.770562727976749,4.218161799175025,4.778149322760638,4.808555873185981,4.777058783330861,3.9808170330338446,5.393193632555483
CASP10,1.2872746511849034,0.43675855857208834,0.5480596458420723,1.6259873628821988,0.8908563011213974,1.761101462718118,0.566444051673513
CFLAR,5.126871920985262,4.120042224745272,5.759076626858434,5.134350530588994,4.119199787213996,4.141895671754863,4.547308999301138
TFPI,6.904029921281934,5.366561124505112,3.143704441190481,5.115790136752317,6.392954593902212,3.8545684465408234,4.496064342411395
RBM5,6.378095833780519,5.324074325533743,6.940729350575924,6.93136761371999,7.202737904973242,5.468559193921842,6.486705449374269
MTMR7,0.7858195981061918,0.7613678593473333,0.815956495836982,0.7960162104267953,0.8130640871322343,0.3978063622439942,0.7861923390695263
SLC7A2,1.42851712332734,0.8978884595252701,0.9931760931336914,0.9032704902167145,1.321033101223377,1.8556296976113122,-0.8780903176109575
ARF5,6.510971673629698,7.963001186585004,7.882163374692881,6.975262588696807,7.6323590082584545,6.734132275472849,8.448874714868431
SARM1,2.4092129716865354,3.2692271875021772,4.1189508958090935,3.0983024823736316,4.03991101112232,1.5601267045900267,4.151286030353278
POLDIP2,5.813449911309835,5.815813234057857,6.291465124539937,5.8201693071935985,6.116485182392313,5.47204713826081,5.5482174760569904
PLXND1,4.438003191699,5.749895872188636,7.223298172531543,6.000161794864063,6.371153535733087,4.818489760940505,7.917205085197441
AK2,8.252596718081874,7.723242309030013,7.44296538895889,7.753611661581758,7.8087144685788195,8.248679383922097,6.676261298179602
CD38,0.8692715842452541,0.32752796399774814,0.2578574688986055,0.5128835100115933,0.13848143714424183,0.3746429693313329,-0.11226828494333818
FKBP4,6.490399445373182,5.4291374742000915,6.526562732271803,5.646785391930427,5.974383724046878,6.159745376663317,5.432815685263143
