,archetype_1,archetype_2,archetype_3,archetype_4
TCGA-DK-AA6S-01,0.26510340675355487,0.14054199145472196,0.5372347451427378,0.057119856648985126
TCGA-DK-A6B2-01,0.0,0.09710164378878904,0.6160582767803675,0.28684007943084344
TCGA-GU-A763-01,0.09074656390764788,0.0,0.0,0.9092534360923521
TCGA-XF-A9T4-01,0.6568378809377616,0.0,0.13239179024096934,0.21077032882126903
TCGA-FD-A5C1-01,0.5850563430041568,0.0,0.4149436569958431,0.0
TCGA-GU-A42Q-01,0.6863653909553601,0.24907577332173014,0.0,0.0645588357229099
TCGA-DK-A3IL-01,0.0,0.13688141618008667,0.35377216106190884,0.5093464227580046
TCGA-XF-AAMH-01,0.19855323706943573,0.24924150559161665,0.25701538545162494,0.29518987188732265
TCGA-FT-A61P-01,0.3970378819162746,0.0,0.5789298091149437,0.02403230896878159
TCGA-G2-A2EF-01,0.6956373295988965,0.22245936590966564,0.08190330449143794,0.0
TCGA-XF-A9T2-01,0.20258057337300822,0.38084499473066785,0.32815637528241204,0.08841805661391182
TCGA-C4-A0F7-01,0.4382008316017429,0.36397089630999585,0.02858899401708754,0.16923927807117364
TCGA-G2-A2EK-01,0.0,0.02024202856116373,0.43201380486910573,0.5477441665697306
TCGA-FD-A6TB-01,0.09144148497744695,0.12590481744737897,0.7484195188876842,0.034234178687489875
TCGA-UY-A9PD-01,0.0,0.21360632177698322,0.34008516781032294,0.44630851041269387
TCGA-DK-AA6P-01,0.0,0.35885422352985613,0.0,0.6411457764701439
TCGA-GV-A3QK-01,0.0,0.0,0.25495590694137166,0.7450440930586285
TCGA-GC-A3I6-01,0.6292565601657664,0.0,0.14350485029728582,0.2272385895369478
TCGA-UY-A8OC-01,0.5981604991336915,0.0,0.34492003274020544,0.05691946812610316
TCGA-FD-A3B7-01,0.48157574821756766,0.06146373016371001,0.4569605216187223,0.0
TCGA-ZF-A9R1-01,0.10278565132506563,0.07492119449424456,0.287001545152729,0.5352916090279609
TCGA-ZF-A9RF-01,0.4654129672073755,0.2669371295465802,0.24676478538913188,0.020885117856912425
TCGA-4Z-AA7Q-01,0.34860507074114916,0.0672285381129964,0.36199222469901693,0.2221741664468376
TCGA-E7-A519-01,0.0,0.0,0.364815896486949,0.635184103513051
TCGA-G2-A3VY-01,0.0,0.3923146130673283,0.0,0.6076853869326718
TCGA-C4-A0EZ-01,0.09053433522176431,0.7503994909401113,0.03638337631238161,0.12268279752574283
TCGA-XF-A9SY-01,0.6738480204690932,0.06083826320577912,0.26531371632512757,0.0
TCGA-FD-A43U-01,0.0,0.0,0.7616464790184837,0.23835352098151627
TCGA-4Z-AA7S-01,0.03224841554683431,0.0863425258336734,0.09703975128593843,0.7843693073335539
TCGA-DK-AA75-01,0.0,0.38219914831983737,0.0,0.6178008516801626
TCGA-XF-AAML-01,0.07594283407005233,0.3044232621683788,0.0,0.6196339037615689
TCGA-DK-A6B5-01,0.42916721177163,0.06062332794339689,0.1971025130722332,0.3131069472127398
TCGA-KQ-A41R-01,0.0,0.1460341580091908,0.14228061845093887,0.7116852235398703
TCGA-4Z-AA87-01,0.0,0.3433195693497525,0.1561318268847194,0.5005486037655281
TCGA-FD-A6TE-01,0.21042125531750383,0.21966615368100967,0.0,0.5699125910014865
TCGA-YC-A9TC-01,0.2900393329459314,0.4819536407115232,0.0711763172503931,0.1568307090921521
TCGA-BT-A2LA-01,0.0,0.9795424579622855,0.02045754203771459,0.0
TCGA-FD-A3NA-01,0.26202600918190344,0.0309337679643523,0.30429365380834683,0.40274656904539746
TCGA-BT-A42F-01,0.7594896617440959,0.0,0.1844890014164104,0.05602133683949371
TCGA-ZF-AA5P-01,0.0,0.13013688569533197,0.804948432700909,0.06491468160375896
TCGA-2F-A9KW-01,0.08619854156298268,0.3471675286387337,0.33431810664069556,0.23231582315758795
TCGA-4Z-AA80-01,0.0,0.36841249894117933,0.0,0.6315875010588207
TCGA-XF-A8HD-01,0.35413586251012896,0.028045864327056302,0.3990859136343934,0.21873235952842124
TCGA-2F-A9KT-01,0.3923119594015823,0.14644882894343403,0.040652524121346255,0.42058668753363737
TCGA-E7-A677-01,0.10737990623088925,0.029845472478672225,0.32352522408404655,0.539249397206392
TCGA-SY-A9G0-01,0.0,0.0995097516574905,0.8290849892036213,0.0714052591388884
TCGA-YF-AA3M-01,0.4379211334938994,0.09228148433187515,0.03040835659754603,0.4393890255766794
TCGA-CU-A0YR-01,0.22458148623090973,0.11012190747997923,0.3572215180903082,0.30807508819880286
TCGA-K4-A83P-01,0.0,0.08635270877959954,0.879174693115246,0.03447259810515445
TCGA-ZF-A9RL-01,0.0,0.10237513705237525,0.0,0.8976248629476248
TCGA-FD-A43S-01,0.0,0.0,0.8292912112194263,0.1707087887805737
TCGA-GV-A3QH-01,0.0,0.41495290905239696,0.0,0.585047090947603
TCGA-4Z-AA84-01,0.3508702813689063,0.3013931827256026,0.060656414947784225,0.2870801209577069
TCGA-K4-A4AC-01,0.8740811632257177,0.01774615327668631,0.025665155106139974,0.08250752839145599
TCGA-K4-A6MB-01,0.05060074442761064,0.21774347718748696,0.2959225855469466,0.43573319283795575
TCGA-S5-A6DX-01,0.0,0.0,0.6646628179591406,0.33533718204085927
TCGA-GU-A766-01,0.5970305938195457,0.0,0.40296940618045424,0.0
TCGA-HQ-A5ND-01,0.6154418266916288,0.0769745609744653,0.0,0.3075836123339058
TCGA-E7-A7XN-01,0.8393079422781625,0.0,0.0,0.16069205772183762
TCGA-XF-AAMW-01,0.7113824954421881,0.0,0.18882986158774534,0.09978764297006643
TCGA-GC-A4ZW-01,0.21869589775331524,0.32908169769120593,0.0,0.45222240455547885
TCGA-G2-AA3B-01,0.006424448429115745,0.12894668141160515,0.04951550496642042,0.8151133651928587
TCGA-DK-A2HX-01,0.05752764796509309,0.09650740339077357,0.7032777254803542,0.1426872231637792
TCGA-GC-A3RB-01,0.2795197880927988,0.2626685352380664,0.0,0.45781167666913486
TCGA-GV-A40E-01,0.603291302008358,0.12074844762338711,0.17435591764142302,0.10160433272683198
TCGA-FJ-A3ZF-01,0.0,0.46145467834468423,0.0,0.5385453216553157
TCGA-XF-A9SU-01,0.02096056397827153,0.0,0.6554116693140554,0.3236277667076732
TCGA-ZF-A9R9-01,0.0,0.0025892797816715126,0.6925799875903522,0.30483073262797633
TCGA-DK-A2I2-01,0.6950656024448663,0.07665195927774687,0.22828243827738684,0.0
TCGA-FD-A3SQ-01,0.0,0.0,0.7395682644926463,0.2604317355073536
TCGA-XF-A9SH-01,0.027239919823734488,0.0,0.3130083634741514,0.6597517167021142
TCGA-XF-A8HC-01,0.0,0.22703106618631852,0.0,0.7729689338136815
TCGA-K4-A5RI-01,0.5147827955744617,0.07631247458080033,0.1810670077987562,0.22783772204598177
TCGA-BT-A20W-01,0.0,0.22707403198098236,0.3543141262479324,0.41861184177108524
TCGA-CU-A3YL-01,0.0,0.019135580380872277,0.31457109623089846,0.6662933233882293
TCGA-DK-A1AD-01,0.0,0.21586844512183595,0.2946561517072537,0.4894754031709104
TCGA-XF-A9T8-01,0.7053975206588289,0.0,0.294602479341171,0.0
TCGA-C4-A0F6-01,0.20579673551339223,0.14197517526234657,0.18351787195639435,0.46871021726786677
TCGA-DK-AA6U-01,0.04520950372552986,0.37737113940333494,0.0,0.5774193568711351
TCGA-CF-A9FM-01,0.06862337690243943,0.0,0.14997524837418527,0.7814013747233753
TCGA-E7-A7DU-01,0.02871868210722712,0.0,0.07873713190880396,0.892544185983969
TCGA-UY-A9PA-01,0.3676510088791845,0.0,0.06260412751058139,0.5697448636102341
TCGA-FD-A3SJ-01,0.0,0.34166099942791317,0.3877245581962494,0.27061444237583737
TCGA-CF-A47X-01,0.0,0.12290126520681707,0.0035653705699052484,0.8735333642232779
TCGA-GV-A40G-01,0.0,0.28303438894584787,0.006714425975220226,0.7102511850789319
TCGA-2F-A9KO-01,0.17930437195077562,0.08509681246355284,0.43285757895670346,0.302741236628968
TCGA-HQ-A2OF-01,0.11517907320307988,0.4198700189679909,0.0,0.46495090782892917
TCGA-DK-AA71-01,0.15567005534473682,0.13183276746782596,0.11106657149570433,0.6014306056917328
TCGA-UY-A9PH-01,0.11044798904990051,0.0,0.45759178498136555,0.43196022596873396
TCGA-XF-A8HF-01,0.0,0.1202472369616424,0.41650656901316285,0.46324619402519474
TCGA-CF-A5UA-01,0.10514321582786776,0.0,0.13356216199784093,0.7612946221742913
TCGA-XF-A9T3-01,0.313798096904192,0.06308182944032091,0.623120073655487,0.0
TCGA-XF-A9SL-01,0.0,0.0,0.9687069269981431,0.03129307300185686
TCGA-CF-A47W-01,0.0,0.0,0.11455194396468482,0.8854480560353152
TCGA-GC-A3RD-01,0.20436994598400265,0.17578387283886998,0.0785935772738074,0.54125260390332
TCGA-HQ-A5NE-01,0.48022447090332515,0.0,0.291726564302069,0.2280489647946058
TCGA-FD-A3N5-01,0.8924155477582298,0.0423646749806338,0.0,0.0652197772611364
TCGA-E7-A3Y1-01,0.008039868763792224,0.0,0.21786326662454564,0.774096864611662
TCGA-4Z-AA81-01,0.6207432915146558,0.0,0.0,0.3792567084853442
TCGA-G2-A2EC-01,0.0,0.0,0.6041406198924235,0.39585938010757654
TCGA-K4-A5RJ-01,0.3830113004844646,0.24068055539773212,0.3763081441178033,0.0
TCGA-CF-A5U8-01,0.0,0.0,0.03383507869185681,0.9661649213081431
TCGA-K4-A3WS-01,0.0,0.10227481394706515,0.7605669764866293,0.13715820956630553
TCGA-XF-A9SW-01,0.0,0.06742910589228392,0.9325708941077161,0.0
TCGA-DK-AA6W-01,0.11031213705029759,0.701173978538892,0.11129781737752767,0.0772160670332828
TCGA-DK-A3IS-01,0.2242910001084564,0.0729251428842588,0.0,0.7027838570072847
TCGA-GV-A3QG-01,0.08316352735532496,0.11798573638345448,0.7988507362612205,0.0
TCGA-G2-A2EO-01,0.2225203289120735,0.011891116268278022,0.45971628471338494,0.30587227010626356
TCGA-XF-A9T0-01,0.08551024863260216,0.1778496991668869,0.30785950483603447,0.42878054736447646
TCGA-FD-A5BU-01,0.692010427532907,0.0,0.307989572467093,0.0
TCGA-GV-A3JX-01,0.15025385796588614,0.2769077225553372,0.23281394567410593,0.3400244738046707
TCGA-FD-A62S-01,0.4590951320202707,0.02795273298861509,0.5129521349911141,0.0
TCGA-BT-A2LB-01,0.14512926631002254,0.0,0.5076322535919527,0.3472384800980247
TCGA-FD-A6TI-01,0.0217495401536879,0.0,0.4514994432949921,0.5267510165513201
TCGA-XF-AAMJ-01,0.03724560418056252,0.03048269588550408,0.7171086981677436,0.2151630017661898
TCGA-XF-A9SZ-01,0.0912248132756929,0.05056164584016644,0.5698821137985242,0.2883314270856166
TCGA-CF-A9FL-01,0.054632338156066974,0.0729709608108958,0.33686347048472426,0.5355332305483131
TCGA-ZF-A9RD-01,0.786197803612569,0.0,0.213802196387431,0.0
TCGA-GD-A3OS-01,0.1978508241119981,0.48114606852361047,0.3210031073643913,0.0
TCGA-K4-A54R-01,0.32465682440987426,0.0011862504872455488,0.377197174340401,0.29695975076247927
TCGA-FT-A3EE-01,0.3686465537002883,0.016246716090071313,0.1576508048822174,0.457455925327423
TCGA-FD-A43P-01,0.0022402247998050545,0.3317360622406702,0.4461849023791238,0.21983881058040086
TCGA-XF-A9SJ-01,0.2365696857907049,0.0,0.5633872404245475,0.2000430737847476
TCGA-K4-A5RH-01,0.2916179364191524,0.2231187448960324,0.48526331868481515,0.0
TCGA-R3-A69X-01,0.04373382269717307,0.041656690148326354,0.672859805272576,0.24174968188192453
TCGA-UY-A78K-01,0.0,0.24423958557664405,0.46172606348685685,0.29403435093649916
TCGA-CU-A3QU-01,0.0,0.30466910750364723,0.0,0.6953308924963528
TCGA-FD-A3B8-01,0.2957514769858043,0.01963149449727109,0.6846170285169246,0.0
TCGA-DK-A3IV-01,0.0970217705511522,0.13603856440763457,0.2719996221336351,0.49494004290757826
TCGA-GU-A762-01,0.6065325526730653,0.0,0.39346744732693484,0.0
TCGA-XF-AAMX-01,0.03023622158828914,0.1998875877981426,0.18841884661386948,0.5814573439996987
TCGA-CF-A1HS-01,0.7270820773609732,0.15920009858670967,0.04441674783389317,0.06930107621842391
TCGA-GU-A42R-01,0.16096858867446787,0.21515929601212713,0.00199711713597997,0.621874998177425
TCGA-YC-A8S6-01,0.09075273633523866,0.0,0.58722849070107,0.32201877296369136
TCGA-ZF-AA4W-01,0.7915354184711382,0.07436578146745768,0.0,0.13409880006140418
TCGA-BT-A42E-01,0.7758445496795111,0.0,0.1763502754292269,0.04780517489126204
TCGA-E7-A7PW-01,0.0,0.31481030616821676,0.0895799864657132,0.5956097073660701
TCGA-BT-A20U-01,0.6196916222911332,0.030385419810468602,0.11674738884166812,0.23317556905673015
TCGA-GU-A764-01,0.3918878611055042,0.041436885586375344,0.5666752533081205,0.0
TCGA-ZF-AA4R-01,0.18434811183008093,0.2611012896166231,0.3427164494872762,0.21183414906601972
TCGA-CF-A8HX-01,0.0,0.0,0.12395398752331795,0.876046012476682
TCGA-E5-A4U1-01,0.0,0.25156762931755583,0.0,0.7484323706824442
TCGA-FD-A3SN-01,0.44758687961318605,0.0,0.2837332908260339,0.2686798295607802
TCGA-4Z-AA86-01,0.6387496502899261,0.0,0.3612503497100738,0.0
TCGA-CF-A47V-01,0.0,0.0,0.2608497169689612,0.7391502830310388
TCGA-FD-A5BR-01,0.04834803181523924,0.006105635495762558,0.611216673094673,0.3343296595943252
TCGA-GV-A3QF-01,0.0,0.1804139492577956,0.0,0.8195860507422044
TCGA-XF-AAN4-01,0.12215859562477745,0.05899944196628767,0.8188419624089348,0.0
TCGA-XF-A9ST-01,0.24702171157060743,0.4487147400710229,0.0,0.3042635483583698
TCGA-GV-A6ZA-01,0.10918906288921382,0.1118888916880383,0.06267718000630808,0.7162448654164397
TCGA-PQ-A6FN-01,0.6461012407962202,0.0,0.22611543944964355,0.1277833197541362
TCGA-XF-A9T6-01,0.6321861200967327,0.014736709269065344,0.06919407702679098,0.283883093607411
TCGA-CF-A3MG-01,0.06623658742897993,0.0,0.0,0.93376341257102
TCGA-ZF-A9RE-01,0.46873513569822356,0.10729300392087278,0.0,0.4239718603809036
TCGA-DK-A1A5-01,0.3315724541178122,0.02112178500567325,0.36934213339007516,0.2779636274864394
TCGA-ZF-AA56-01,0.44060271795323824,0.0,0.318489353906259,0.2409079281405028
TCGA-GU-A767-01,0.0,0.10691725500144664,0.45052481034862135,0.442557934649932
TCGA-GC-A3WC-01,0.47213227347043213,0.1262422018744246,0.40162552465514334,0.0
TCGA-4Z-AA7N-01,0.0,0.0,0.8397674530909082,0.1602325469090918
TCGA-H4-A2HO-01,0.0,0.12297274025399797,0.3545228396253187,0.5225044201206833
TCGA-XF-AAMZ-01,0.0,0.1558231504104899,0.28263995040016837,0.5615368991893418
TCGA-2F-A9KQ-01,0.0,0.06125265574930708,0.123218092336004,0.8155292519146891
TCGA-4Z-AA7M-01,0.052655442770421654,0.3635801486758122,0.07980626253804914,0.5039581460157171
TCGA-FD-A62O-01,0.02179521342195763,0.0450487895605395,0.24420005131792036,0.6889559456995825
TCGA-FD-A3B5-01,0.6958003242133443,0.18695487451272533,0.0,0.11724480127393047
TCGA-ZF-A9RM-01,0.0,0.247401276411471,0.0,0.7525987235885291
TCGA-FJ-A871-01,0.26202674567457884,0.3611800561607842,0.2552870188359813,0.12150617932865548
TCGA-XF-AAMT-01,0.4555505902547783,0.08936575331575136,0.45508365642947046,0.0
TCGA-FD-A6TD-01,0.5199420792299558,0.0,0.429925397327271,0.05013252344277321
TCGA-UY-A78L-01,0.564497225486902,0.13586070227435532,0.18541995786839852,0.11422211437034413
TCGA-ZF-AA4V-01,0.5199408365035599,0.06330845738301413,0.25536563250140515,0.16138507361202084
TCGA-ZF-A9R7-01,0.13549626762924613,0.0,0.3475837010782874,0.5169200312924663
TCGA-GV-A3QI-01,0.0,0.5860471788621258,0.0,0.41395282113787435
TCGA-XF-A8HH-01,0.0,0.08621034243805671,0.5087792695759362,0.4050103879860071
TCGA-GC-A3YS-01,0.5766712249696473,0.10328257294793684,0.29657874781522464,0.023467454267191115
TCGA-CU-A5W6-01,0.10613124774056892,0.09168853310247407,0.2733427577663977,0.5288374613905594
TCGA-BL-A3JM-01,0.25281597704415015,0.5687315542773891,0.11729386316139602,0.061158605517064674
TCGA-E5-A2PC-01,0.5433299586096494,0.0,0.0,0.4566700413903506
TCGA-FD-A5C0-01,0.17245516385378387,0.04110848274847084,0.3807784694571167,0.4056578839406286
TCGA-CF-A9FF-01,0.0,0.0,0.37199034797166297,0.6280096520283371
TCGA-FD-A62P-01,0.34302918078964784,0.0,0.4750956767905845,0.18187514241976763
TCGA-G2-A3IB-01,0.8179111637861116,0.0,0.0,0.1820888362138884
TCGA-XF-AAME-01,0.17426818495845722,0.0,0.8257318150415427,0.0
TCGA-FD-A43N-01,0.05072895679866681,0.0740073504877467,0.41042287091970603,0.4648408217938805
TCGA-GC-A3BM-01,0.27006169908206806,0.13581713098532017,0.024096449817047134,0.5700247201155647
TCGA-E7-A4IJ-01,0.04141018372813245,0.22942114760236035,0.12500083572547302,0.6041678329440342
TCGA-FD-A43Y-01,0.7208090432260629,0.019874995879620362,0.20275931911586528,0.05655664177845154
TCGA-GV-A3JV-01,0.0,0.05467435937863243,0.4485215842391602,0.4968040563822073
TCGA-FD-A3SL-01,0.0,0.13892349461979048,0.7226161221684905,0.1384603832117191
TCGA-XF-AAMG-01,0.0,0.605105863732762,0.20615500244750914,0.18873913381972884
TCGA-E7-A6ME-01,0.0,0.46892346177931554,0.2401721329891956,0.290904405231489
TCGA-BT-A20R-01,0.028603767383911318,0.29770885055932134,0.5911744339355042,0.08251294812126314
TCGA-UY-A8OD-01,0.0,0.06502961558968452,0.7595197373117837,0.1754506470985318
TCGA-FD-A6TH-01,0.2895091187006268,0.18966832342235088,0.3959332525710274,0.12488930530599482
TCGA-2F-A9KR-01,0.23628588417988985,0.16789490505748328,0.1206250257170201,0.47519418504560673
TCGA-BT-A20O-01,0.35452259440055667,0.2077846419118972,0.43769276368754617,0.0
TCGA-LT-A5Z6-01,0.0,0.2970248515397824,0.10686826246544125,0.5961068859947763
TCGA-ZF-A9RC-01,0.0,0.20586560879800456,0.4481795277953573,0.3459548634066382
TCGA-BT-A20N-01,0.35735206753384713,0.2335012413545613,0.0,0.40914669111159147
TCGA-DK-A3WX-01,0.7742902476859369,0.060863470750996296,0.1648462815630668,0.0
