,archetype_1,archetype_2,archetype_3
MB-0362,0.2728890961959896,0.6695155270219701,0.05759537678204029
MB-0346,0.3008496089325498,0.26248310162869487,0.4366672894387551
MB-0386,0.16678907053405576,0.5637654949014111,0.2694454345645331
MB-0574,0.3129360113721929,0.6540829693768317,0.03298101925097545
MB-0185,0.16811004307033622,0.4164739335823495,0.41541602334731426
MB-0503,0.21485606360440604,0.6494636622917926,0.13568027410380143
MB-0641,0.014026096416704879,0.5667643079226677,0.4192095956606274
MB-0201,0.057891683101130104,0.39965429887840825,0.5424540180204616
MB-0218,0.24693888909633088,0.6521815503290608,0.10087956057460826
MB-0316,0.04232900483814732,0.0019326852092487446,0.9557383099526039
MB-0189,0.037920391867157906,0.5770645355208001,0.38501507261204204
MB-0891,0.14950048914005812,0.7059225985746848,0.14457691228525732
MB-0658,0.0,0.13415583903405118,0.865844160965949
MB-0899,0.19174230664188222,0.5717211916229173,0.23653650173520063
MB-0605,0.15441595913168724,0.6956700214540844,0.14991401941422833
MB-0258,0.2707386815294735,0.6370887423362039,0.09217257613432255
MB-0506,0.17754485232645079,0.2723360531069524,0.5501190945665969
MB-0420,0.03857254160942354,0.1768281470888518,0.7845993113017246
MB-0223,0.24531761115080367,0.5377772183540792,0.2169051704951171
MB-0445,0.2585587498200303,0.6475241812356964,0.09391706894427317
MB-0199,0.20285701763587444,0.719118892130121,0.07802409023400457
MB-0517,0.2824723113116577,0.7175276886883424,0.0
MB-0155,0.05233382576201198,0.5430378916161777,0.40462828262181044
MB-0428,0.14883053733221438,0.4948045592653965,0.3563649034023891
MB-0117,0.2290484242688673,0.5454699417499902,0.2254816339811426
MB-0906,0.13407454121932766,0.1421104121827987,0.7238150465978738
MB-0249,0.07621187611364348,0.331959917499462,0.5918282063868946
MB-0660,0.1586526006264399,0.3437711978738509,0.49757620149970916
MB-0497,0.2733959689527317,0.6125469048925121,0.1140571261547564
MB-0434,0.2870195761265878,0.4624254976289602,0.25055492624445197
MB-0143,0.25100606471738873,0.6198341380831017,0.1291597971995095
MB-0513,0.2769248042347956,0.7190087611043071,0.004066434660897366
MB-0541,0.2147353190500062,0.5996313059334462,0.18563337501654775
MB-0653,0.21713291792122932,0.4215808097251313,0.36128627235363936
MB-0455,0.021239223107198318,0.45043160741102795,0.5283291694817736
MB-0540,0.0023792513754870657,0.23744871316268004,0.7601720354618329
MB-0384,0.18572275099549942,0.6370573560346627,0.1772198929698378
MB-0637,0.13113978944342924,0.43163364803859317,0.4372265625179777
MB-0157,0.052611643904811496,0.12784116338084803,0.8195471927143405
MB-0443,0.11349823664640812,0.607022659702367,0.27947910365122486
MB-0584,0.20086638118057326,0.6070382258034079,0.19209539301601875
MB-0292,0.1934070190789313,0.28577468137144946,0.5208182995496193
MB-0322,0.28791379437602427,0.6643905252036861,0.047695680420289516
MB-0501,0.28187783420973966,0.7129080237067805,0.0052141420834797055
MB-0401,0.0,0.2257717602082724,0.7742282397917276
MB-0140,0.25130218761534623,0.7486978123846536,0.0
MB-0606,0.27094721917319603,0.70465608063029,0.02439670019651407
MB-0666,0.24411020026913732,0.40172497998336604,0.3541648197474966
MB-0598,0.13183543228856498,0.4962662548959561,0.37189831281547897
MB-0453,0.19330067752321492,0.3755332598559748,0.4311660626208103
MB-0138,0.271720277372242,0.6591174777488467,0.06916224487891119
MB-0579,0.2956674415438514,0.6364460448778975,0.06788651357825122
MB-0405,0.35394335305769464,0.6460566469423054,0.0
MB-0471,0.42761451254256216,0.5723854874574379,0.0
MB-0347,0.0280297369598321,0.3522325368572563,0.6197377261829115
MB-0619,0.1494111784804819,0.542833540604648,0.30775528091487014
MB-0171,0.10659231367846023,0.6822364114774631,0.2111712748440767
MB-0310,0.11119743297912026,0.5659281975541592,0.3228743694667205
MB-0621,0.11046360725461032,0.6970740928270855,0.1924622999183042
MB-0614,0.11121826468693322,0.4947170934334568,0.39406464187961
MB-0372,0.07657054853462351,0.13935118789030154,0.7840782635750748
MB-0374,0.1787520047575032,0.5065011126439993,0.31474688259849753
MB-0382,0.16382792229511378,0.6222488608720692,0.21392321683281687
MB-0327,0.182474895896926,0.7391231058409492,0.07840199826212473
MB-0066,0.21146964911980493,0.6264971713161881,0.162033179564007
MB-0144,0.16684131659556964,0.6641150265347263,0.16904365686970418
MB-0596,0.08168613245154836,0.6404172073272538,0.27789666022119774
MB-0164,0.0,0.12651723254643807,0.8734827674535618
MB-0215,0.08531029038230135,0.7026048327657035,0.21208487685199517
MB-0146,0.3644372051698084,0.6123066594860913,0.023256135344100322
MB-0229,0.2109462109478546,0.7203888986623166,0.06866489038982876
MB-0505,0.08492995582566604,0.7157115793583654,0.19935846481596847
MB-0102,0.18196961090590363,0.5104703388109493,0.30756005028314715
MB-0569,0.0909697694722972,0.49235534774594253,0.41667488278176035
MB-0516,0.008527090235608728,0.14493399696740955,0.8465389127969816
