,archetype_1,archetype_2,archetype_3,archetype_4
MB-0362,0.3818777188826858,0.14701968661665152,0.0,0.47110259450066266
MB-0346,0.0,0.1227521461980162,0.4714531334566181,0.40579472034536584
MB-0386,0.5403716025474292,0.11291732411765705,0.08370971652084942,0.26300135681406434
MB-0574,0.22391322325191185,0.14505498946537088,0.01337778745774674,0.6176539998249705
MB-0185,0.11984229875565434,0.03986176342730556,0.43014385620779383,0.4101520816092462
MB-0503,0.4916383144124882,0.12232446752716317,0.0,0.3860372180603486
MB-0641,0.9183456579274883,0.05760559349428714,0.02404874857822459,0.0
MB-0201,0.4078759642472709,0.012944750349746929,0.4137885811655596,0.16539070423742258
MB-0218,0.18627347231885683,0.0642660589514615,0.10875885522140114,0.6407016135082807
MB-0316,0.06482995919129692,0.024701055093711333,0.9104689857149917,0.0
MB-0189,0.6825776867135223,0.01302591367466308,0.1406537961168087,0.16374260349500586
MB-0891,0.6720872660689926,0.09280150675241552,0.0,0.23511122717859184
MB-0658,0.22668659968414118,0.0,0.7733134003158588,0.0
MB-0899,0.46822062340660875,0.11557221179705382,0.08763067964561726,0.32857648515072013
MB-0605,0.616602740821002,0.08239463211448443,0.0,0.3010026270645137
MB-0258,0.31654484711659064,0.13309568211974698,0.025386134018171122,0.5249733367454912
MB-0506,0.08385661913584017,0.08773232199204543,0.5598221526180738,0.26858890625404047
MB-0420,0.30045392978909646,0.033980883892548365,0.6655651863183552,0.0
MB-0223,0.31471599444386666,0.13882803938973676,0.13814369456607392,0.40831227160032263
MB-0445,0.3095748892795436,0.11455538662938983,0.03394450275265061,0.5419252213384158
MB-0199,0.46342226878169895,0.08033407239433979,0.0,0.45624365882396123
MB-0517,0.30416300919933215,0.12379091445375597,0.0,0.5720460763469118
MB-0155,0.9003603640354487,0.09963963596455129,0.0,0.0
MB-0428,0.3464401270445891,0.05978714415580216,0.2650801057549139,0.3286926230446948
MB-0117,0.4962265606676154,0.17240297679937133,0.05307125074357512,0.2782992117894381
MB-0906,0.3687204428693056,0.15877524717825117,0.4725043099524432,0.0
MB-0249,0.22220809390075597,0.00048735018120018723,0.5491685490928152,0.22813600682522867
MB-0660,0.270710264928605,0.09867280885960662,0.42130789650379435,0.20930902970799395
MB-0497,0.4034499501055976,0.17006350695603256,0.0,0.4264865429383699
MB-0434,0.0,0.10887137699423592,0.3223110201940036,0.5688176028117605
MB-0143,0.24681198743699342,0.09731019995884466,0.0990970535305721,0.5567807590735897
MB-0513,0.17059025030923403,0.06914993295893974,0.027516455973817508,0.7327433607580086
MB-0541,0.22706273742722333,0.05962220695071396,0.16710334223219747,0.5462117133898652
MB-0653,0.013744884673293267,0.059119823178363076,0.42767353920749773,0.4994617529408459
MB-0455,0.25767997434197504,0.0,0.45731107301780655,0.28500895264021847
MB-0540,0.507361400286543,0.027236036024985647,0.4654025636884714,0.0
MB-0384,0.31317335546591674,0.04151003190850174,0.1221673452605622,0.5231492673650192
MB-0637,0.1750670439518209,0.011645978698993356,0.4292611977300354,0.3840257796191504
MB-0157,0.2979903060893512,0.05918875450100357,0.6428209394096452,0.0
MB-0443,0.524280750525967,0.03685025750939874,0.11549034319916843,0.3233786487654658
MB-0584,0.26234907227555726,0.05275374943458617,0.1575593940516556,0.5273377842382011
