,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
MB-0362,0.2370043032901593,0.0,0.7551604062350483,0.007835290474792445,0.0
MB-0346,0.0,0.0,0.4703373344434618,0.5296626655565382,0.0
MB-0386,0.40712961603154296,0.0,0.5041157540027378,0.08875462996571912,0.0
MB-0574,0.07781459960178172,0.03441548209211904,0.7892897520168753,0.09848016628922382,0.0
MB-0185,0.04875322229400724,0.045052830111313134,0.4373287536495792,0.4688651939451005,0.0
MB-0503,0.3611260485608821,0.0,0.6310531632040546,0.00782078823506334,0.0
MB-0641,0.7939342141498975,0.0,0.20606578585010257,0.0,0.0
MB-0201,0.3047425449017352,0.0,0.29190801587012405,0.40334943922814076,0.0
MB-0218,0.062039340669456204,0.18427014758457544,0.60118065084543,0.15250986090053842,0.0
MB-0316,0.14053096729537437,0.011208512366435488,0.0,0.8258273876929393,0.02243313264525084
MB-0189,0.6151786027493913,0.08123505614016897,0.22964256685920562,0.0739437742512341,0.0
MB-0891,0.5487168230200145,0.07543687626890834,0.3534249851610033,0.0,0.022421315550073918
MB-0658,0.2739432173280212,0.04743754524183476,0.0,0.6786192374301441,0.0
MB-0899,0.38955800847037275,0.12327249367320446,0.37474921654172516,0.05800080317577567,0.05441947813892195
MB-0605,0.497074392072352,0.1052204789402465,0.38586121345777014,0.0,0.011843915529631467
MB-0258,0.20864288394083025,0.16762862516561258,0.5431818284538602,0.03846546640638381,0.04208119603331322
MB-0506,0.04643459507918095,0.0,0.3627380378115324,0.5908273671092866,0.0
MB-0420,0.3071711975127388,0.0,0.06312341088422993,0.6297053916030312,0.0
MB-0223,0.22870682508669524,0.08340534421222691,0.49843296660264685,0.1523760317950962,0.03707883230333474
MB-0445,0.18706586734928546,0.10091130030104355,0.636491743668342,0.07553108868132885,0.0
MB-0199,0.34055409059456954,0.1053626754623714,0.554083233943059,0.0,0.0
MB-0517,0.18646922200729973,0.12634947986854558,0.6871812981241546,0.0,0.0
MB-0155,0.8238575035902626,0.0,0.10945296621453861,0.0,0.06668953019519884
MB-0428,0.29224524024442966,0.15689724266896998,0.2948707065293301,0.23615328989811435,0.01983352065915579
MB-0117,0.41905440354888757,0.07739261742790571,0.38162048297192186,0.020874401722216624,0.10105809432906819
MB-0906,0.4220270729619217,0.0,0.0,0.43166258688733855,0.14631034015073974
MB-0249,0.17939635799815026,0.0,0.26760918990511084,0.5529944520967388,0.0
MB-0660,0.22241123807885124,0.0,0.3498038936681307,0.42778486825301804,0.0
MB-0497,0.29720216729331334,0.06397590356305274,0.57595990445635,0.012853757087535082,0.050008267599748774
MB-0434,0.0,0.054096797905948374,0.5931364494900426,0.35276675260400897,0.0
MB-0143,0.1308335209890122,0.11952026752591645,0.6078198493675525,0.14182636211751876,0.0
MB-0513,0.014846360242090956,0.1659438203589409,0.7218775155370432,0.0973323038619249,0.0
MB-0541,0.12356531988615006,0.1659635704510314,0.5174729018607405,0.19299820780207805,0.0
MB-0653,0.0,0.1354649466015416,0.424746432252893,0.43978862114556533,0.0
MB-0455,0.26534837376966763,0.37712160580086473,0.0,0.3575300204294677,0.0
