,PC1,PC2,PC3,PC4,PC5,PC6
TCGA-CR-7383-01,34.84178658981138,55.96512718342531,-36.17395949973879,1.8892333353894097,6.827827313860712,9.549943970008247
TCGA-CR-7398-01,65.053394610929,-27.11948244515054,22.006970692455482,-49.1546329210714,-21.34619572327887,-9.948073017621763
TCGA-CV-A6JT-01,-47.81937615693271,51.714021201983684,-69.71361708059918,-1.1576329083248749,84.69910628691581,-19.61525362774437
TCGA-HD-8635-01,15.94622507107601,80.12127170908931,-6.515299108673068,-15.81167886227444,25.294553682767308,40.254792245923035
TCGA-CR-6481-01,63.88945296593539,-11.966463885395394,16.11769562186424,89.24155014438738,-34.19424368149108,-0.5325956760226253
TCGA-CR-7395-01,-41.57931900549676,38.6834102320571,27.782225378965247,58.78590926146607,-7.0277158790149405,-22.664291934175942
TCGA-BB-7863-01,-111.73013325324895,0.3949520849296137,41.541549809349235,3.5405311808310613,-8.731017344570132,1.3683804853339
TCGA-CV-7427-01,-68.19280405067583,17.906659380992604,41.70863563371761,69.86618957186364,-13.422219424895625,5.182071909513014
TCGA-CV-6436-01,-104.54932792393122,-32.37150459881871,-26.574155692636566,48.574193557879475,53.663389031946416,-35.255984593544454
TCGA-CN-A63V-01,3.8160678437400435,17.77006954743312,-22.305556534674604,-29.23158834759175,0.40302777623175284,-46.604188580158656
TCGA-BA-A6DE-01,-38.04815883564308,-23.823447087768887,19.7889382755831,-34.21900574197917,19.432882541031454,19.16236071499443
TCGA-CV-7177-01,22.432512631318772,8.748716948129058,49.93670978908481,-44.86370980788207,-11.016397619002527,-35.7614794730592
TCGA-P3-A6T4-01,-21.422586941786754,-19.060360510007342,36.7249065567391,-29.448064293275095,21.408238958009562,-42.841458752999294
TCGA-DQ-5631-01,-14.83652383485468,37.49721721313309,-25.722274730400308,-38.47453102760615,-63.79073043761087,29.325565987457757
TCGA-CQ-A4CA-01,24.451907599780256,71.17498780687507,-68.22310439417969,3.003610915866013,47.125047719110434,22.418049135063942
TCGA-CR-7365-01,-44.98648051959754,67.49757087756866,22.764845023509046,-23.65494348109022,-1.3537496789120835,24.294608625265738
TCGA-F7-A61W-01,-75.11395654117841,11.582191297647643,-29.439719986040867,-45.99435430233341,-16.020695398011686,40.75439136064112
TCGA-CV-6937-01,27.909751128445944,-14.068730979174072,-29.179996195252688,-49.325967716115876,8.978135339631201,-48.256575976446804
TCGA-CQ-7069-01,-67.18171779958193,37.50291934901601,14.063471997101153,-24.77284766061404,-38.87105632540694,-35.575396392420245
TCGA-D6-A74Q-01,8.26496698150513,-60.02690047444977,-10.107943671198232,-18.92464489620204,34.98067232683025,-4.35147438604963
TCGA-KU-A66T-01,-56.19021836399749,-41.92533157147963,16.43725662892227,-49.57122671973074,-18.98790005695282,1.2078629779141394
TCGA-CN-4728-01,82.28916785145567,71.849194990554,6.847123954558216,-4.953711374772005,9.579329852376915,-20.085204002483533
TCGA-CR-7401-01,-12.234829249222415,73.7253333567848,15.439901617096314,-6.059579754030721,28.949895814265304,7.231283912102599
TCGA-CN-A63T-01,11.831788232371311,-18.15756647456954,9.773970928193492,-5.603176424063621,47.42089922520708,-8.712159795384212
TCGA-CV-5976-01,-44.25918054063251,50.3454183256696,-21.932543408955354,-20.042690167786866,3.7175803380162638,47.851075504881614
TCGA-CV-7254-01,109.23237316804016,3.85561580977915,3.519803216671737,3.9789339018978676,-2.8060418323706324,-41.045442823839736
TCGA-BB-A6UO-01,-73.83859144105585,1.2461311831172543,-31.563016548357215,-5.074576684837024,-14.981957626674138,-30.879481737791608
TCGA-CR-6470-01,106.81402896626682,-8.886814010782889,-1.455690740400089,62.53826012961142,-38.829384142263564,25.31503843376262
TCGA-CV-7437-01,16.780583550415685,-51.60884685159594,9.436356902479135,-45.98405597311912,-45.45220815468074,11.24799971487524
TCGA-CV-7411-01,-73.8411808376944,11.534058877510528,63.559007604091484,9.8941927572236,14.827387777847084,-40.348938326125
TCGA-D6-A6EP-01,93.16887178382323,-43.111145764303956,-154.3378351691281,-79.50576452574225,24.92428563686425,-73.5511417931462
TCGA-BB-A5HZ-01,-67.37941456303811,-23.303274725516694,17.22555589470793,-28.2728523974878,25.82581154177236,-10.268687108546667
TCGA-CR-6480-01,38.889819348853045,-72.3703758577872,53.04308921266271,49.56597893887468,-12.820336154047935,46.043013396410906
TCGA-IQ-A61E-01,-63.92546914668511,23.169598466266564,-30.68674855770064,8.407216525957866,-34.51116567765571,9.923857591149023
TCGA-CV-7415-01,-4.105622651629969,18.968016870397257,-33.10510392716129,-19.218369416370066,-11.280451568878807,-32.74840577275227
TCGA-CN-6988-01,-17.96422259860093,-73.32364172456255,55.41249427977709,-37.23580863244882,23.20772063493701,55.9814740421623
TCGA-CV-5444-01,44.621828290606274,99.50781545261839,-23.099257722992455,-3.036792475670984,10.393393377487426,4.5484233061481465
TCGA-CQ-A4C7-01,-17.577116520713673,60.58853110862636,-37.691681002601925,-11.509122833160127,-21.314231994995367,24.193702003024875
TCGA-CN-5365-01,-69.32541485133439,-15.481247807362035,-11.966504186493895,16.250749210186267,-17.813849058900107,-17.425135507295234
TCGA-DQ-5624-01,-18.90672030163914,70.36905642651647,3.7432075885162814,-19.48856315737472,8.997468667162307,-1.3810395212601765
TCGA-CR-7370-01,76.42353310616971,-26.88140422045684,47.54479865462815,-44.27087999383972,-29.641853583026126,-12.771640926713085
TCGA-BA-5559-01,130.65825585469605,29.612865444534005,-26.884772059432013,52.82259615875302,-0.08828513840629897,66.74710081536233
TCGA-CV-7247-01,-2.720915362089523,49.22486573149218,-11.319001517641286,-41.91012325295603,1.0357139130397466,58.45465463571545
TCGA-CR-7391-01,31.521211875308925,68.5795297214495,55.7951451282684,36.81240356950817,51.561007086332516,-10.200876680180462
TCGA-CV-A6JU-01,11.935402267818356,-13.30952741923059,-102.79604223032723,-52.086817091740514,96.8702602182592,35.52060492939806
TCGA-DQ-7591-01,101.63462200663663,-54.75330058329466,-22.38890916774926,45.78592065775326,-31.708221454028024,36.84569013308396
TCGA-T3-A92M-01,52.75704357658467,-10.361576666699916,-38.75574388362832,-14.505557863175799,-30.257760244478195,-51.79918449338865
TCGA-CN-5374-01,58.89302502933882,-38.695954363915554,-6.747203923959755,47.14384698958244,29.30246576660015,36.86131668239432
TCGA-CR-7369-01,7.440281853655267,-4.431083308636264,50.48536021151689,9.308594834277537,-11.813258595733068,10.675176804597028
TCGA-RS-A6TO-01,-1.2805558994098816,-2.620990133004217,-34.69518705867442,-25.099553745703407,5.618721539994801,-58.35883764527144
TCGA-BA-6868-01,-13.141041003466835,0.6174647920142418,-13.635370903273031,-55.0889179610735,-33.3400933715671,-37.47002912179599
TCGA-F7-7848-01,43.40954056057482,-26.21610570851599,62.60807939472044,6.195110481697829,9.37197657292958,0.8210820502696803
TCGA-CR-7376-01,70.82970715921984,100.89699047170966,19.373528086058943,45.6442671754734,-7.502945862401553,-19.636642232423704
TCGA-CV-7421-01,46.71632646983358,-16.070015305842684,-1.8702696070902374,-38.05127135424954,-8.096439835037847,-22.157077253596484
TCGA-CQ-5325-01,6.9891467204161675,96.63967591983155,-13.128967049012148,53.17150675620337,23.87150354701412,25.72267088183993
TCGA-CV-7433-01,13.667789690918868,52.30695126839845,-5.27427505834657,15.676261848112476,-7.8132625790797015,-55.11727206229423
TCGA-CN-6012-01,74.78267902615917,-36.98440296892148,46.46479823810956,-6.96205028090713,13.910299291035933,-21.686496077359845
TCGA-CV-A45Z-01,53.825343416725936,-50.51929523604998,20.783330594711046,-21.274815586830247,19.90318965185836,-25.937282390543103
TCGA-BA-A6DG-01,12.314336036567758,89.20442668985035,-37.700715698245496,-20.848209096399867,21.628463548309135,-18.768804137813042
