,archetype_1,archetype_2,archetype_3,archetype_4
TCGA-CR-7383-01,0.2319933217103565,0.13626681369407972,0.015540086530021008,0.6161997780655427
TCGA-CR-7398-01,0.0,0.7430582179980542,0.11953319506786682,0.137408586934079
TCGA-CV-A6JT-01,0.4732112209487705,0.0,0.1330456820317688,0.3937430970194608
TCGA-HD-8635-01,0.06889171209534016,0.01228532737237817,0.21244210070026961,0.7063808598320122
TCGA-CR-6481-01,0.0,0.6652128388311647,0.10821471735225846,0.22657244381657687
TCGA-CR-7395-01,0.028328937491642458,0.015216229088156757,0.5668339564141066,0.38962087700609416
TCGA-BB-7863-01,0.08833967876849524,0.0,0.8655821941856594,0.04607812704584544
TCGA-CV-7427-01,0.02238896594814403,0.019358977316700082,0.7225150023489066,0.23573705438624934
TCGA-CV-6436-01,0.4738950130345107,0.0,0.5261049869654892,0.0
TCGA-CN-A63V-01,0.25575476413776865,0.1970020090963221,0.18582977792201633,0.3614134488438929
TCGA-BA-A6DE-01,0.1450829995258652,0.28647358404490786,0.5144112956619491,0.05403212076727799
TCGA-CV-7177-01,0.0,0.4088500498333547,0.33771907478601126,0.253430875380634
TCGA-P3-A6T4-01,0.01623829911380308,0.37568414477934714,0.5237174029103586,0.08436015319649123
TCGA-DQ-5631-01,0.2820794316882266,0.021330634592132944,0.24294978409251605,0.4536401496271245
TCGA-CQ-A4CA-01,0.3379512182208595,0.0,0.0,0.6620487817791404
TCGA-CR-7365-01,0.0,0.0,0.5249007459564704,0.4750992540435296
TCGA-F7-A61W-01,0.39300321111259195,0.0,0.4252502653502155,0.18174652353719256
TCGA-CV-6937-01,0.2926075765391687,0.42708832984878087,0.0642042023198173,0.21609989129223323
TCGA-CQ-7069-01,0.10995629358186937,0.0,0.5830984642350986,0.306945242183032
TCGA-D6-A74Q-01,0.26776262715795685,0.5345171040674841,0.19772026877455903,0.0
TCGA-KU-A66T-01,0.2092361653376211,0.2373724740850314,0.5533913605773475,0.0
TCGA-CN-4728-01,0.0,0.30566947060589816,0.0,0.6943305293941018
TCGA-CR-7401-01,0.0,0.0,0.39690764065449724,0.6030923593455028
TCGA-CN-A63T-01,0.10824844177700774,0.45919404031275934,0.28689284844046775,0.14566466946976506
TCGA-CV-5976-01,0.24400108407619908,0.0,0.34204742959964474,0.4139514863241561
TCGA-CV-7254-01,0.0,0.678972626576108,0.0,0.321027373423892
TCGA-BB-A6UO-01,0.4307825904178058,0.0,0.41885649396219665,0.15036091561999745
TCGA-CR-6470-01,0.0,0.7384879853979562,0.0,0.2615120146020438
TCGA-CV-7437-01,0.13902903885874146,0.6041034207242323,0.25686754041702625,0.0
TCGA-CV-7411-01,0.0,0.037347233816804715,0.7953158355359012,0.16733693064729405
TCGA-D6-A6EP-01,0.5319590390629041,0.39564592429764533,0.0,0.07239503663945052
TCGA-BB-A5HZ-01,0.2090175686115478,0.14964562491174513,0.6131715472817109,0.028165259194996187
TCGA-CR-6480-01,0.0,0.7393132806280548,0.26068671937194526,0.0
TCGA-IQ-A61E-01,0.3648835681573388,0.0,0.37861402532814253,0.25650240651451867
TCGA-CV-7415-01,0.32801569137490644,0.13339029371092087,0.17028789317415988,0.3683061217400128
TCGA-CN-6988-01,0.0,0.49198072370371465,0.5080192762962854,0.0
TCGA-CV-5444-01,0.08783258143699418,0.017482631323632956,0.03779899388696729,0.8568857933524056
TCGA-CQ-A4C7-01,0.28580045519719477,0.0,0.18425889409775553,0.5299406507050496
TCGA-CN-5365-01,0.36521926054185144,0.043259963122353105,0.49894783897009226,0.09257293736570325
TCGA-DQ-5624-01,0.05870253277811435,0.0,0.3710148979392766,0.570282569282609
TCGA-CR-7370-01,0.0,0.7828784206580245,0.10634385708563392,0.1107777222563416
TCGA-BA-5559-01,0.0,0.5369165092360424,0.0,0.4630834907639578
TCGA-CV-7247-01,0.1663604881878697,0.054753956100004886,0.25912552861531335,0.5197600270968121
TCGA-CR-7391-01,0.0,0.15088052493154178,0.2748390271535298,0.5742804479149284
TCGA-CV-A6JU-01,0.6293870932169532,0.14801614980533595,0.0,0.22259675697771084
TCGA-DQ-7591-01,0.07838156777560676,0.898365655914857,0.0,0.02325277630953633
TCGA-T3-A92M-01,0.2617295818344016,0.4825906170740922,0.0,0.2556798010915062
TCGA-CN-5374-01,0.1453137089080992,0.71984994464921,0.04022966195401118,0.09460668448867963
TCGA-CR-7369-01,0.0,0.41738067958829866,0.41350623749712123,0.16911308291458008
TCGA-RS-A6TO-01,0.3590644926006308,0.23669023789888854,0.15109235467033325,0.25315291483014735
TCGA-BA-6868-01,0.25800394814178135,0.21630491894181686,0.2838109753378902,0.24188015757851167
TCGA-F7-7848-01,0.0,0.6564000585797849,0.2791586000282306,0.06444134139198451
TCGA-CR-7376-01,0.0,0.14108597660975478,0.02424934080115063,0.8346646825890948
TCGA-CV-7421-01,0.11068994029865496,0.5780668178586599,0.10817473752946662,0.2030685043132186
TCGA-CQ-5325-01,0.06298645123312203,0.0,0.19947525420318157,0.7375382945636965
TCGA-CV-7433-01,0.10071328771187256,0.12652331554492766,0.22356518544408333,0.5491982112991166
TCGA-CN-6012-01,0.0,0.8260494420951504,0.11730750967405058,0.05664304823079914
TCGA-CV-A45Z-01,0.01540895575727158,0.8092606236416074,0.17329741009834876,0.0020330105027720874
TCGA-BA-A6DG-01,0.2008470878298532,0.0,0.0764663056063093,0.7226866065638375
TCGA-CN-4729-01,0.0,0.28083125811954934,0.5105349426537825,0.20863379922666805
TCGA-CV-5979-01,0.3628131708930482,0.0,0.42055726973532687,0.21662955937162495
TCGA-CV-A45U-01,0.1149909346633961,0.6770197566997141,0.13938038546371984,0.06860892317316988
TCGA-DQ-7590-01,0.08308431391015039,0.6199222304890952,0.0,0.29699345560075424
TCGA-CR-7388-01,0.0,0.6036865167853276,0.13362029069183076,0.2626931925228416
TCGA-BA-A4IG-01,0.0,0.6394184826402446,0.36058151735975535,0.0
TCGA-P3-A5Q6-01,0.4886265535905148,0.12591897678484834,0.16039947931476845,0.22505499030986845
TCGA-CV-7180-01,0.1923414712862762,0.06286329159130587,0.744795237122418,0.0
TCGA-CR-6492-01,0.0,0.37714638592300104,0.46908245337162935,0.1537711607053696
TCGA-CN-6992-01,0.0,0.8021896263843559,0.13780672832180024,0.06000364529384389
TCGA-CR-7373-01,0.2672416167295505,0.0,0.4737846537588352,0.2589737295116143
TCGA-CR-7371-01,0.0,0.634730177894652,0.10243839226845174,0.2628314298368963
TCGA-BA-4074-01,0.4311443884557318,0.23453950147317565,0.08562252562148936,0.2486935844496032
TCGA-CV-7435-01,0.0,0.24591800923837667,0.19807462755901253,0.5560073632026107
TCGA-DQ-7595-01,0.0,0.7399714278193051,0.2600285721806948,0.0
TCGA-BA-A6DB-01,0.11530145491432965,0.08788018990862118,0.1655604666864858,0.6312578884905634
TCGA-CN-6021-01,0.0,0.6036759021249835,0.39632409787501666,0.0
TCGA-D6-6825-01,0.0,0.0,0.4191200214505736,0.5808799785494264
TCGA-CN-6998-01,0.09501031637695291,0.0,0.7446978014223036,0.1602918822007436
TCGA-CV-6948-01,0.08973893504294851,0.8864885007253395,0.007221970894289931,0.016550593337422037
TCGA-UF-A7JC-01,0.13420700189135948,0.0,0.8039025988415051,0.06189039926713557
TCGA-MT-A7BN-01,0.5911055639654779,0.37038782996336506,0.0,0.03850660607115717
TCGA-BA-A6DA-01,0.4954889432019468,0.0,0.5045110567980532,0.0
TCGA-CV-A468-01,0.13473692667865553,0.19171926467325506,0.1358408027908511,0.5377030058572384
TCGA-UF-A71E-01,0.13470384635073668,0.5223352106713235,0.3429609429779398,0.0
TCGA-HD-7754-01,0.0,0.7858671568218237,0.1867105684020593,0.027422274776116994
TCGA-D6-A6ES-01,0.765577890330501,0.0,0.23442210966949903,0.0
TCGA-CV-7434-01,0.3720546679910703,0.0,0.5050721060913849,0.1228732259175449
TCGA-IQ-A61I-01,0.3964397644471877,0.6035602355528124,0.0,0.0
TCGA-CN-4736-01,0.05167699522192385,0.0,0.13432652062155817,0.8139964841565179
TCGA-BA-7269-01,0.6302267264725523,0.19127277369660253,0.0,0.1785004998308452
TCGA-CV-6433-01,0.3765994935781031,0.6234005064218968,0.0,0.0
TCGA-CR-7385-01,0.0,0.7910189148961615,0.20898108510383845,0.0
TCGA-CV-6441-01,0.44145051061110585,0.38579562412586105,0.08380519010726205,0.08894867515577098
TCGA-CV-5978-01,0.0,0.5185452360517242,0.13466313713152542,0.3467916268167504
TCGA-CN-6017-01,0.0,0.0,0.0,1.0
TCGA-CN-5367-01,0.2009104984511548,0.09657829823125182,0.2768733608255679,0.4256378424920254
TCGA-CV-7252-01,0.1709445757294686,0.0,0.5383674193035923,0.29068800496693903
TCGA-QK-A6IG-01,0.7417828919678936,0.0,0.00019954288186552094,0.2580175651502408
TCGA-CV-A45R-01,0.10445930574229977,0.08189597752831676,0.3332244518751046,0.48042026485427886
TCGA-UF-A7JV-01,0.3824405744494239,0.10565810631032906,0.20283115654596678,0.3090701626942803
TCGA-CX-7219-01,0.0,0.2637143784659619,0.3852525017091493,0.35103311982488866
TCGA-BA-A6D8-01,0.6993135172189326,0.3006864827810674,0.0,0.0
TCGA-CR-7382-01,0.03406111940683633,0.08793680353471742,0.05216209829523033,0.8258399787632159
TCGA-CV-6953-01,0.08062228220771099,0.08975245151818678,0.8296252662741024,0.0
