,archetype_1,archetype_2,archetype_3
TCGA-FV-A495-01,0.3145609545258646,0.3140662078626351,0.37137283761150025
TCGA-CC-A3MB-01,0.5156233601257935,0.22687135613229759,0.2575052837419091
TCGA-BC-A3KF-01,0.6757083366606691,0.113090169150881,0.2112014941884498
TCGA-DD-A4NV-01,0.632662692572512,0.0,0.36733730742748794
TCGA-CC-A1HT-01,0.0,0.21926872937484906,0.7807312706251509
TCGA-BD-A3EP-01,0.31770822060161846,0.008044001355868014,0.6742477780425136
TCGA-CC-A3MA-01,0.002981669244141495,0.17966279622238784,0.8173555345334708
TCGA-ZP-A9CV-01,0.649405533923612,0.0,0.35059446607638806
TCGA-DD-AACY-01,0.6258524553011597,0.13339448897423295,0.24075305572460726
TCGA-XR-A8TG-01,0.538752164796107,0.0,0.46124783520389306
TCGA-CC-A9FW-01,0.3147528265079716,0.4691774386062799,0.2160697348857485
TCGA-BC-A10Y-01,0.639027337505278,0.11850905223802788,0.24246361025669416
TCGA-KR-A7K7-01,0.2538193925423828,0.6696712138221056,0.07650939363551167
TCGA-ED-A459-01,0.38397614109772993,0.1967038192948382,0.41932003960743186
TCGA-PD-A5DF-01,0.43578391748983825,0.04917270436944853,0.5150433781407132
TCGA-ED-A5KG-01,0.0,0.0710679542298544,0.9289320457701455
TCGA-DD-AAVX-01,0.7540029402860063,0.09492096676519358,0.1510760929488
TCGA-ED-A7PY-01,0.4188210664513378,0.4402386781463222,0.14094025540233987
TCGA-RC-A7SF-01,0.6206630608888649,0.2134981820108121,0.16583875710032298
TCGA-DD-AAW0-01,0.4481447194742677,0.0,0.5518552805257324
TCGA-ED-A66X-01,0.10121734185698102,0.1790185203616089,0.71976413778141
TCGA-DD-AAC8-01,0.48556595050559653,0.40838529093509945,0.10604875855930403
TCGA-FV-A3I1-01,0.4121296491519679,0.08791256320912838,0.49995778763890375
TCGA-RC-A7S9-01,0.315178161249662,0.43857584354535256,0.2462459952049853
TCGA-ZP-A9D2-01,0.10059773403349195,0.06940792367063445,0.8299943422958737
TCGA-G3-A5SL-01,0.8873896313150347,0.03750281119244169,0.07510755749252367
