,archetype_1,archetype_2,archetype_3,archetype_4
TCGA-DJ-A4V5-01,0.004962904392421513,0.1981083470537816,0.5698700758192915,0.22705867273450522
TCGA-L6-A4EQ-01,0.09603346789526575,0.4060654765387441,0.0,0.4979010555659901
TCGA-FE-A3PB-01,0.0,0.3494422934973252,0.4853007961183011,0.1652569103843736
TCGA-E8-A2EA-01,0.007551221455101337,0.3383707329825129,0.5277547675728006,0.12632327798958515
TCGA-ET-A3DS-01,0.8028290446717037,0.0,0.19717095532829626,0.0
TCGA-E8-A432-01,0.27677248677668725,0.22197071712715108,0.3794759258398246,0.12178087025633705
TCGA-ET-A39M-01,0.04561195567835218,0.6667358525484242,0.2777185672900243,0.009933624483199349
TCGA-EL-A3T8-01,0.12827748578852752,0.16007591148744876,0.2388307163637171,0.4728158863603067
TCGA-ET-A25K-01,0.1104419793348011,0.12913297978860783,0.19603267893828102,0.56439236193831
TCGA-DJ-A13O-01,0.23931881412230444,0.3302030144814624,0.43047817139623307,0.0
TCGA-DJ-A2PO-01,0.09471151508468977,0.08888712671089695,0.33989922742217094,0.47650213078224235
TCGA-DJ-A13V-01,0.04524074593118953,0.23642144201288767,0.1441436793096294,0.5741941327462934
TCGA-EM-A2CT-01,0.6769665793242824,0.0,0.011286118602466505,0.311747302073251
TCGA-DJ-A3VJ-01,0.01258748543336798,0.2406939368414782,0.37573179831166664,0.37098677941348723
TCGA-EL-A4K4-01,0.0,0.07376085101009147,0.35299059527133186,0.5732485537185767
TCGA-EL-A3ZP-01,0.03466619501150804,0.3347696265569331,0.522215869631277,0.10834830880028183
TCGA-DO-A1K0-01,0.07671739589378053,0.0,0.10146336011575563,0.8218192439904639
TCGA-EM-A22N-01,0.7912204677681738,0.0,0.20877953223182624,0.0
TCGA-IM-A3U3-01,0.0,0.19618431538661205,0.1997349155563785,0.6040807690570095
TCGA-IM-A3U2-01,0.0,0.32856511492236606,0.1253027221143496,0.5461321629632844
TCGA-EL-A3ZM-01,0.0,0.5125144991808241,0.09944006949431715,0.3880454313248586
TCGA-ET-A3DW-01,0.0,0.14405192833897498,0.022234352361149935,0.8337137192998751
TCGA-EM-A22M-01,0.025862164555900662,0.40038066701227876,0.4635083826702269,0.11024878576159378
TCGA-EM-A22I-01,0.0,0.06677244019071968,0.27888996494463675,0.6543375948646436
TCGA-EL-A3CS-01,0.22544744377166975,0.0036862054679872697,0.056658636869613435,0.7142077138907295
TCGA-H2-A3RI-01,0.09565743305697379,0.1674693295510517,0.057906117559419504,0.6789671198325549
TCGA-BJ-A45J-01,0.0,0.3516029002607485,0.14837451570298438,0.5000225840362671
TCGA-EM-A2P0-01,0.18830371779250912,0.0,0.2578339846153939,0.5538622975920969
TCGA-E3-A3E3-01,0.07098091172263062,0.1030887662472069,0.07804319457189429,0.7478871274582682
TCGA-DJ-A2Q5-01,0.006376047408970788,0.18411961728188875,0.5426710042292845,0.26683333107985596
TCGA-ET-A39S-01,0.2630549426113143,0.17713341136954333,0.2539691655654053,0.30584248045373713
TCGA-FY-A3R9-01,0.814401912802444,0.0,0.012957816597433829,0.17264027060012227
TCGA-DJ-A1QN-01,0.07474265787300087,0.19739445775792996,0.1957334750408356,0.5321294093282335
TCGA-EM-A22J-01,0.7493847683767453,0.0,0.0109086300863756,0.23970660153687892
TCGA-EL-A3GO-01,0.7517863144262773,0.0,0.24821368557372278,0.0
TCGA-FK-A3SG-01,0.14140970659139324,0.3441898385659906,0.07481960549070743,0.4395808493519088
TCGA-EL-A4K9-01,0.14320689280012702,0.2811029309231813,0.21778006769884095,0.35791010857785077
TCGA-EM-A3FJ-01,0.1251204986590457,0.3157507673321841,0.12083320781873522,0.438295526190035
TCGA-KS-A4I1-01,0.033362808236998234,0.7135939152200783,0.0,0.2530432765429236
TCGA-IM-A41Y-01,0.06401022379052329,0.25509367196279387,0.0,0.680896104246683
TCGA-EM-A3ST-01,0.4987221840068685,0.5012778159931316,0.0,0.0
TCGA-ET-A39K-01,0.0,0.6524871126792178,0.0,0.3475128873207823
TCGA-FY-A3ON-01,0.06043262303633239,0.132820653703216,0.38423741946751483,0.4225093037929368
TCGA-BJ-A28W-01,0.13837999038100318,0.3988464586231995,0.46277355099579726,0.0
TCGA-DJ-A13X-01,0.24241685377727953,0.017943398982780415,0.19385509751987595,0.545784649720064
TCGA-EM-A3O8-01,0.7927209254738665,0.014076145018067277,0.0,0.1932029295080662
TCGA-ET-A40T-01,0.08972206135471689,0.23294490161833112,0.4502328200344244,0.22710021699252755
TCGA-DJ-A3VF-01,0.0,0.023417227039041963,0.5977406539020912,0.3788421190588668
TCGA-ET-A39N-01,0.6093783912629195,0.3478017699195212,0.042819838817559325,0.0
TCGA-CE-A481-01,0.29524162334526416,0.1734039636086507,0.47979758709105114,0.05155682595503389
TCGA-KS-A41I-01,0.34337176650385254,0.5623152851825849,0.09431294831356252,0.0
TCGA-DJ-A13U-01,0.20521520495758055,0.0,0.04458401737397774,0.7502007776684417
TCGA-BJ-A0ZC-01,0.9040155744935263,0.0,0.0959844255064737,0.0
TCGA-ET-A3DT-01,0.0,0.01851088650350456,0.6881596937141831,0.2933294197823123
TCGA-ET-A3BW-01,0.2680890602953518,0.06385923415142271,0.0,0.6680517055532256
TCGA-ET-A25I-01,0.6679998371994914,0.11283004265855456,0.1481676326326716,0.07100248750928247
TCGA-L6-A4ET-01,0.15338876885103472,0.3830388060188459,0.0,0.46357242513011937
TCGA-EL-A3GZ-01,0.03715924546131287,0.20077175952307252,0.2384640335046546,0.52360496151096
TCGA-EM-A3AI-01,0.8978925698056925,0.10210743019430758,0.0,0.0
TCGA-FY-A76V-01,0.4133665361137426,0.093467529688698,0.2602693203672742,0.23289661383028532
TCGA-FE-A239-01,0.8389873291115673,0.09145753929083497,0.06955513159759774,0.0
TCGA-EM-A3FM-01,0.0,0.39989852814850735,0.10896962162271723,0.4911318502287754
TCGA-EM-A4FV-01,0.23598737382984075,0.17533795586834863,0.3793531017123453,0.20932156858946527
TCGA-DJ-A2PX-01,0.21904825701419364,0.1622854199274847,0.48751477601071525,0.13115154704760643
TCGA-EL-A3CW-01,0.3457265585013206,0.0,0.6542734414986794,0.0
TCGA-FY-A4B4-01,0.0,0.16218880886122217,0.39249455296693375,0.445316638171844
TCGA-J8-A3YH-01,0.14971667848855089,0.33747421890527607,0.06014012502483238,0.4526689775813408
TCGA-DJ-A3V2-01,0.05818972982385174,0.30232302034737285,0.39825865480459094,0.24122859502418448
TCGA-E8-A44M-01,0.15316532643544054,0.17617149350434025,0.6706631800602192,0.0
TCGA-FK-A3SE-01,0.15385739364150652,0.04645498280649976,0.27403254930933507,0.5256550742426587
TCGA-ET-A39L-01,0.4924095918957899,0.03811018896521505,0.11478767969480633,0.35469253944418866
TCGA-DE-A3KN-01,0.31220947886920325,0.1987492948133889,0.21376513443784018,0.2752760918795676
TCGA-BJ-A45D-01,0.43597009149129484,0.5629034744033259,0.0011264341053791745,0.0
TCGA-ET-A2N5-01,0.7310905417799228,0.12865431126868668,0.0,0.14025514695139057
TCGA-BJ-A45K-01,0.8843014983356303,0.10596560506142252,0.009732896602947197,0.0
TCGA-EM-A1YB-01,0.6930419874839826,0.02802161308802885,0.030313854096076332,0.24862254533191208
TCGA-EM-A4FF-01,0.010667634053686604,0.2253845174383267,0.24130373330919314,0.5226441151987937
TCGA-DJ-A3V0-01,0.04261489610520742,0.3345088541863989,0.3274912332939669,0.2953850164144268
TCGA-DJ-A2Q7-01,0.18818203412000764,0.2444035429024278,0.2181038187730395,0.34931060420452514
TCGA-EM-A22Q-01,0.46914778639444504,0.530852213605555,0.0,0.0
TCGA-DJ-A2PW-01,0.0,0.2457505650047654,0.2505207850893727,0.503728649905862
TCGA-EM-A3FK-01,0.02970246026954708,0.0,0.07595514028758266,0.8943423994428701
TCGA-FY-A3NM-01,0.9348916210821451,0.0,0.013257818396385741,0.051850560521469156
TCGA-EM-A3AQ-01,0.1995536180707209,0.4390594467909432,0.024033415794033775,0.33735351934430224
TCGA-EM-A3SU-01,0.0,0.5048071962910844,0.1675466785857347,0.32764612512318086
TCGA-ET-A25J-01,0.12269701992404562,0.10527880548241579,0.0927604070732917,0.6792637675202468
TCGA-FE-A3PC-01,0.08972613150651365,0.5527723000387096,0.09429916519664942,0.2632024032581273
TCGA-EL-A4KI-01,0.4446986929553077,0.5553013070446924,0.0,0.0
TCGA-EL-A3D6-01,0.0,0.13825783277845008,0.39223914123314296,0.469503025988407
TCGA-CE-A3ME-01,0.11364343322508991,0.1041664500361287,0.07073081477726822,0.7114593019615132
TCGA-H2-A422-01,0.11967854719216903,0.005445742395141378,0.01145349715645299,0.8634222132562367
TCGA-EL-A3CY-01,0.0,0.0172839690615787,0.9827160309384213,0.0
TCGA-FY-A4B0-01,0.6411954384559659,0.0753231882760742,0.28348137326795986,0.0
TCGA-EM-A3FR-01,0.8091928066903321,0.07481717475138612,0.05679617702982023,0.059193841528461556
TCGA-EM-A4FR-01,0.42509528547188025,0.5749047145281198,0.0,0.0
TCGA-EL-A4JX-01,0.0,0.13988806691399203,0.5937564874784761,0.26635544560753177
TCGA-EL-A3H1-01,0.8272809712460977,0.0024293858564975374,0.09004062135030985,0.08024902154709494
TCGA-DJ-A4UP-01,0.2804583637198236,0.16909014701798106,0.5504514892621954,0.0
TCGA-DJ-A3UM-01,0.00635184548773767,0.12477081409444096,0.24817729914305514,0.6207000412747662
TCGA-E3-A3E5-01,0.1954644631181209,0.3111855218008899,0.009669534782811655,0.4836804802981776
TCGA-KS-A4IC-01,0.10227500156542435,0.3297548817913724,0.07164800100698868,0.4963221156362146
TCGA-E8-A2JQ-01,0.0,0.22663063520850024,0.6133731706013202,0.15999619419017932
TCGA-DJ-A2Q9-01,0.0,0.0,0.9543597349493117,0.0456402650506883
TCGA-DJ-A4UR-01,0.5009779979904874,0.4033581410487514,0.09566386096076128,0.0
TCGA-EM-A2CP-01,0.4640207264206062,0.0,0.5359792735793938,0.0
TCGA-E8-A44K-01,0.0,0.2657959613617152,0.25065904797680094,0.4835449906614839
TCGA-DJ-A2PQ-01,0.15246320513211092,0.18592032720831467,0.0,0.6616164676595744
TCGA-BJ-A0Z5-01,0.14926739918034068,0.226576730314974,0.0,0.6241558705046855
TCGA-BJ-A192-01,0.6224337259621145,0.06114157772176127,0.12219808587360734,0.19422661044251685
TCGA-ET-A2MY-01,0.05617369764736533,0.1691961787041324,0.0,0.7746301236485024
TCGA-FY-A3I4-01,0.18007808988237772,0.1390899108540543,0.5810268982336234,0.09980510102994448
TCGA-EM-A2P2-01,0.5338823223990452,0.12924789800337552,0.07028809443159342,0.2665816851659859
TCGA-DJ-A2PU-01,0.12699169051984463,0.12616262324498995,0.16751610678215212,0.5793295794530133
TCGA-BJ-A0ZF-01,0.7222108057547283,0.18465803895828076,0.09313115528699092,0.0
TCGA-DJ-A3UZ-01,0.4583950592055527,0.05604165382217737,0.4512768394641033,0.034286447508166604
TCGA-FY-A2QD-01,0.8582533699837797,0.0,0.0,0.1417466300162203
TCGA-EM-A22P-01,0.04694141502824361,0.16798454204837854,0.687480335776756,0.09759370714662179
TCGA-EM-A1CT-01,0.10206464361133274,0.05101165918934406,0.13513499519361327,0.7117887020057099
TCGA-ET-A39J-01,0.1164996880223192,0.1098302660398861,0.19945993583047794,0.5742101101073168
TCGA-EL-A3GW-01,0.5420327594934776,0.0,0.10737536122906154,0.3505918792774609
TCGA-EL-A3ZK-01,0.016486677047267893,0.07401820712462855,0.34226649406239784,0.5672286217657058
TCGA-ET-A3BN-01,0.0828667356263629,0.0,0.0928317551076598,0.8243015092659772
TCGA-FY-A3R7-01,0.3196435169935507,0.025775024032119703,0.4612597374689661,0.19332172150536348
TCGA-DJ-A1QD-01,0.03189600930967196,0.0,0.22326338536193893,0.7448406053283891
TCGA-EM-A2OW-01,0.7919001646175549,0.0,0.149966976393996,0.05813285898844904
TCGA-KS-A4I3-01,0.16832171585523922,0.15134880488924105,0.04517602126784744,0.6351534579876723
TCGA-DJ-A3V3-01,0.24004426743316828,0.34804818912915825,0.28535789903968933,0.12654964439798408
TCGA-DJ-A3VK-01,0.5359276936388068,0.2721997157686697,0.08025404548128917,0.11161854511123442
TCGA-ET-A25N-01,0.06215276899187003,0.0,0.23781617934426108,0.7000310516638689
TCGA-ET-A2N3-01,0.7614376827070128,0.2385623172929872,0.0,0.0
TCGA-EL-A3CU-01,0.0,0.0,0.5182415629912781,0.48175843700872195
TCGA-EM-A2P3-01,0.0016855914804994642,0.09107402686179068,0.356295088399936,0.5509452932577737
TCGA-BJ-A28X-01,0.0034706150623753824,0.009826792215515271,0.7538398349808462,0.2328627577412632
TCGA-EM-A2CR-01,0.3547913884303858,0.6452086115696141,0.0,0.0
TCGA-DE-A0XZ-01,0.07392095668901011,0.2210161394762686,0.4150823840674648,0.2899805197672565
TCGA-ET-A3DP-01,0.08241033927276953,0.07482869359937623,0.3514437168672718,0.4913172502605823
TCGA-EM-A2CL-01,0.9344601531746715,0.0,0.0,0.06553984682532844
TCGA-EL-A3ZQ-01,0.0353390219266574,0.887786480693355,0.0,0.07687449737998751
TCGA-EM-A22K-01,0.6616782239826795,0.10240977927037888,0.06261918666941581,0.17329281007752578
TCGA-DE-A4M9-01,0.6980557363426125,0.03204180617188136,0.09030141658335678,0.17960104090214923
TCGA-EL-A4KD-01,0.38302771267410285,0.2077526020542,0.3477505565707745,0.06146912870092268
TCGA-EL-A3T1-01,0.0,0.054853133287038,0.4134456339882832,0.5317012327246788
TCGA-MK-A84Z-01,0.7010513491044387,0.23462798429066128,0.06432066660489999,0.0
TCGA-FE-A238-01,0.044490213479021976,0.17763568088329967,0.17655060962204266,0.6013234960156356
TCGA-EM-A4FH-01,0.9388954728019695,0.061104527198030445,0.0,0.0
TCGA-MK-A4N7-01,0.045199416676439605,0.14901152061853526,0.0341555068148299,0.7716335558901952
TCGA-EM-A4G1-01,0.4768338540007343,0.054510170191508237,0.07740908855349521,0.3912468872542624
TCGA-BJ-A0YZ-01,0.6914510270821145,0.046056105985190186,0.17826374875903434,0.08422911817366097
TCGA-DJ-A3UR-01,0.2792220674009474,0.25524484784314505,0.0,0.4655330847559076
TCGA-J8-A42S-01,0.16212078655467171,0.26722384843764124,0.18684602692038135,0.38380933808730566
TCGA-ET-A2N0-01,0.08362191680524675,0.6836640630764281,0.027040503118667392,0.2056735169996576
TCGA-FY-A3NN-01,0.19372699085786327,0.007732165477603658,0.036995612843028526,0.7615452308215045
TCGA-GE-A2C6-01,0.024930371769418872,0.13238046303477755,0.5820325936239759,0.26065657157182764
TCGA-DJ-A1QI-01,0.012607361838252952,0.05746313436076718,0.25763684267824394,0.6722926611227359
