,archetype_1,archetype_2,archetype_3,archetype_4,archetype_5
TCGA-DJ-A4V5-01,0.3262036405228971,0.0,0.03537593458331742,0.533571163336392,0.10484926155739352
TCGA-L6-A4EQ-01,0.6931937386775282,0.0,0.10196878932577509,0.0,0.20483747199669664
TCGA-FE-A3PB-01,0.20233283873497745,0.0,0.2451386213405038,0.44537851777272713,0.1071500221517916
TCGA-E8-A2EA-01,0.0,0.06262874445679513,0.3347592156819251,0.47880483062833473,0.12380720923294507
TCGA-ET-A3DS-01,0.0,0.8165584734661464,0.0,0.18344152653385365,0.0
TCGA-E8-A432-01,0.5106594106630032,0.15333210443927733,0.0,0.33600848489771945,0.0
TCGA-ET-A39M-01,0.45071801924721594,0.0,0.35627010929225217,0.19301187146053186,0.0
TCGA-EL-A3T8-01,0.5725090557778466,0.0,0.0,0.141816959422827,0.2856739847993264
TCGA-ET-A25K-01,0.5490112780271473,0.0,0.0,0.08259669888212488,0.36839202309072777
TCGA-DJ-A13O-01,0.11952436342440434,0.24103792676423663,0.2415607254157495,0.3978769843956095,0.0
TCGA-DJ-A2PO-01,0.26540522892016793,0.04321808457149519,0.017750662393191622,0.26665688449894615,0.4069691396161991
TCGA-DJ-A13V-01,0.5999311007764014,0.0,0.0,0.06228090654567366,0.33778799267792486
TCGA-EM-A2CT-01,0.0,0.683767672184183,0.02558211764306258,0.0,0.2906502101727544
TCGA-DJ-A3VJ-01,0.4152333236712469,0.0,0.05697491322469874,0.3191343221228308,0.20865744098122352
TCGA-EL-A4K4-01,0.0,0.0,0.16717143116150507,0.2437004414131693,0.5891281274253256
TCGA-EL-A3ZP-01,0.41338563219235475,0.0,0.10199420621558962,0.4846201615920556,0.0
TCGA-DO-A1K0-01,0.1828133582885705,0.03643101678991852,0.0,0.0,0.780755624921511
TCGA-EM-A22N-01,0.0,0.8095067997522774,0.0,0.19049320024772273,0.0
TCGA-IM-A3U3-01,0.20529759703937642,0.0,0.1633012464298491,0.10186241280827875,0.5295387437224958
TCGA-IM-A3U2-01,0.15549113777574533,0.0,0.30846989096861466,0.033620340548286026,0.5024186307073539
TCGA-EL-A3ZM-01,0.0,0.0,0.5691171428528132,0.004199415028253481,0.4266834421189333
TCGA-ET-A3DW-01,0.0,0.0050787708135395125,0.24240181777638448,0.0,0.752519411410076
TCGA-EM-A22M-01,0.2793759095208144,0.013492746709028978,0.2542014424610036,0.4277088207465559,0.02522108056259692
TCGA-EM-A22I-01,0.08289663098348043,0.0,0.10021299966368062,0.18179862873351285,0.6350917406193262
TCGA-EL-A3CS-01,0.0,0.23564897986188205,0.10856749633802162,0.0,0.6557835238000963
TCGA-H2-A3RI-01,0.1969475010956665,0.07735534718972782,0.14210040499055088,0.0,0.5835967467240549
TCGA-BJ-A45J-01,0.5682837342488865,0.0,0.1029954108592992,0.07468361567227999,0.25403723921953436
TCGA-EM-A2P0-01,0.27604795189550374,0.10572297167850142,0.0,0.14811000366087446,0.4701190727651204
TCGA-E3-A3E3-01,0.09949616427785263,0.07097547467328957,0.1389964964841177,0.0,0.6905318645647401
TCGA-DJ-A2Q5-01,0.31801909876973816,0.0,0.03279498921662506,0.500846991860591,0.14833892015304598
TCGA-ET-A39S-01,0.49472596559784277,0.15440157914327846,0.0,0.1949528718565105,0.15591958340236828
TCGA-FY-A3R9-01,0.0,0.8201773014914929,0.02134640990225613,0.0,0.15847628860625107
TCGA-DJ-A1QN-01,0.5855234741578832,0.0,0.0,0.10424642807974105,0.31023009776237576
TCGA-EM-A22J-01,0.0,0.7553316920022763,0.019784762725337107,0.0,0.22488354527238658
TCGA-EL-A3GO-01,0.0,0.7437118870053152,0.0,0.23670305115695148,0.01958506183773322
TCGA-FK-A3SG-01,0.6628298231653826,0.022212121995403844,0.07644116606713974,0.005180193060552443,0.2333366957115214
TCGA-EL-A4K9-01,0.6980935397086913,0.0,0.0,0.15664498820837247,0.14526147208293622
