cancer_type,label,k,n_samples,n_genes,varexpl,t_ratio,p_value,n_perm,hausser_reported_p
BLCA,Bladder,3,407,20530,0.980455691946692,0.5068613768830176,0.01,100,p = 0.001
BLCA,Bladder,4,407,20530,0.9500889794251628,0.2331931605443106,0.12,100,p = 0.001
BLCA,Bladder,5,407,20530,0.9198617706770766,0.0970915759034051,0.05,100,p = 0.001
BRCA_METABRIC,Breast,3,1980,20374,0.9782924524892792,0.4607349479656488,0.68,100,p = 0.001
BRCA_METABRIC,Breast,4,1980,20374,0.955082574764676,0.1747511676055989,0.56,100,p = 0.001
BRCA_METABRIC,Breast,5,1980,20374,0.9332825725380268,0.0702345676682395,0.21,100,p = 0.001
COAD,Colon,3,286,20530,0.9783112232594848,0.4842051870909175,0.14,100,p = 0.009
COAD,Colon,4,286,20530,0.9497043083023792,0.2220666086501095,0.07,100,p = 0.009
COAD,Colon,5,286,20530,0.9097322036051292,0.0843633859436121,0.02,100,p = 0.009
HNSC,Head & Neck,3,520,20530,0.987100754903248,0.5638462397017623,0.0,100,"borderline, p = 0.022"
HNSC,Head & Neck,4,520,20530,0.9165621437120328,0.1525995080514972,0.97,100,"borderline, p = 0.022"
HNSC,Head & Neck,5,520,20530,0.8728612354535338,0.0561585224442841,0.82,100,"borderline, p = 0.022"
LGG,Glioma,3,516,20530,0.9938991490791752,0.6563473661091531,0.0,100,p < 0.001
LGG,Glioma,4,516,20530,0.9687741804067378,0.290845035687963,0.0,100,p < 0.001
LGG,Glioma,5,516,20530,0.9372965192599856,0.1081559546835942,0.0,100,p < 0.001
LIHC,Liver,3,371,20530,0.9517339665585802,0.451896362980989,0.9,100,p = 0.002
LIHC,Liver,4,371,20530,0.9502923039760864,0.2580987144141001,0.0,100,p = 0.002
LIHC,Liver,5,371,20530,0.9201272786536384,0.0923508900581435,0.0,100,p = 0.002
LUAD_OR_LUSC,Lung,3,514,20530,0.9801469168841814,0.5144922413119835,0.03,100,"borderline, p = 0.013"
LUAD_OR_LUSC,Lung,4,514,20530,0.9369313127350788,0.1872277920272319,0.48,100,"borderline, p = 0.013"
LUAD_OR_LUSC,Lung,5,514,20530,0.8889553812702825,0.080333791502256,0.05,100,"borderline, p = 0.013"
THCA,Thyroid,3,505,20530,0.9740533384647522,0.4580103457538826,0.8,100,p < 0.001
THCA,Thyroid,4,505,20530,0.9555186887797694,0.210627872828251,0.07,100,p < 0.001
THCA,Thyroid,5,505,20530,0.9005772470493948,0.0721424756018952,0.25,100,p < 0.001
