tumor,nPCs,sc,mb,rnd
PT089,1,0.08942246895634298,0.011207677060618426,0.0005331975924407484
PT089,2,0.1420632518673709,0.024492497354636433,0.0015962428481407498
PT089,3,0.16953424107365112,0.030155847379420564,0.0023406143373780885
PT089,4,0.18720224959607434,0.041860469114388454,0.0027708071418448554
PT089,5,0.20685647897056314,0.052105051284912496,0.0046562268300586185
PT089,6,0.2234944393128666,0.0548924359898223,0.005102000902266313
PT089,7,0.2375179855512849,0.05765214210928282,0.0077260923781774515
PT089,8,0.25143630932236705,0.0589382881440913,0.008671684820187542
PT089,9,0.26536731111020273,0.06005113013742769,0.009106910496269438
PT089,10,0.2782662460377251,0.06614015713246924,0.009911146296199935
PT089,11,0.29138786476163336,0.07209288387861124,0.010295349691323175
PT089,12,0.3044628063127951,0.07486170239348755,0.010917879048191637
PT089,13,0.31685128090396686,0.07622736920583262,0.012004370474430814
PT089,14,0.3289652568153021,0.07710377556063974,0.01238563117055369
PT089,15,0.3408086176811278,0.07802263754060335,0.012855787401059637
PT089,16,0.3526080756450982,0.07924864578420887,0.013699313008969094
PT089,17,0.36415162409155566,0.07994801007530661,0.014529832082660232
PT089,18,0.3755182422568776,0.08213990375274027,0.015187742526339587
PT089,19,0.3865861201342733,0.08851308747770836,0.01587482761503556
PT089,20,0.3977040896440651,0.08984339621140214,0.016918171997669762
PT089,21,0.40850698231500804,0.09145723209582413,0.017551494380355415
PT039,1,0.13320763532639668,0.024301238300922567,0.0005445304886276814
PT039,2,0.19082220100796943,0.0266823468914138,0.0016558645443746078
PT039,3,0.21808784300979778,0.02896973099810285,0.002208157672968891
PT039,4,0.2405318133030968,0.04022341184659883,0.002617261529660242
PT039,5,0.25606711792463244,0.05988969194941718,0.003536427011656129
PT039,6,0.2717214687745645,0.06332276020892613,0.004071762081657937
PT039,7,0.28537266618423973,0.06650636534921173,0.004757702903770311
PT039,8,0.29855112413518725,0.07085894780945512,0.005447391765589282
PT039,9,0.31164439201678407,0.07243400440662517,0.005714978508492452
PT039,10,0.32443409241430576,0.07776933951255594,0.006246880977222036
PT039,11,0.3360929643384849,0.08100043610060148,0.007259207998166373
PT039,12,0.34742056147729394,0.08464026558119642,0.007761837054176546
PT039,13,0.358415914203456,0.08823043724607438,0.008650983784732613
PT039,14,0.3692722973279412,0.09069796430865962,0.00898743624578413
PT039,15,0.37997720034791416,0.09247095242792935,0.00931210557086637
PT039,16,0.39046581831983884,0.09360491938678439,0.009963773936380926
PT039,17,0.40084735161748586,0.09465426414942812,0.01045326591747453
PT039,18,0.4111674730023288,0.09741954761829907,0.011083039292134722
PT039,19,0.42103855083930486,0.1017362171023346,0.012026335442206215
PT039,20,0.4311258285057168,0.1026218833779039,0.012881271922492776
PT039,21,0.44082480440777616,0.10341688502188562,0.01332271564490628
PT081,1,0.08563553336947338,0.015142722971180023,0.0003222262832388578
PT081,2,0.1405374400021291,0.019280401021332216,0.0012532108936587072
PT081,3,0.16097412081367302,0.023547560483817898,0.0015226005239263873
PT081,4,0.17812258218664256,0.0325721016978493,0.0019020552266932889
PT081,5,0.19275700728769218,0.03678387708669795,0.0030984473137507518
PT081,6,0.20604040187867756,0.0404669824690832,0.0034096044808887838
PT081,7,0.21908391351867385,0.044484397546430854,0.004551708791185827
