cell_id,tumor_id
PT089_P1_A01,PT089
PT089_P1_A03,PT089
PT089_P1_A07,PT089
PT089_P1_A09,PT089
PT089_P1_A10,PT089
PT089_P1_B01,PT089
PT089_P1_B04,PT089
PT089_P1_B08,PT089
PT089_P1_B12,PT089
PT089_P1_D02,PT089
PT089_P1_D09,PT089
PT089_P7_A03_S3,PT089
PT089_P7_A04_S4,PT089
PT089_P7_A06_S6,PT089
PT089_P7_A08_S8,PT089
PT089_P7_A09_S9,PT089
PT089_P7_A12_S12,PT089
PT089_P7_B03_S15,PT089
PT089_P7_B06_S18,PT089
PT089_P7_B07_S19,PT089
PT089_P7_C02_S26,PT089
PT089_P7_C03_S27,PT089
PT089_P7_D02_S38,PT089
PT089_P7_D03_S39,PT089
PT089_P7_D05_S41,PT089
PT089_P7_D07_S43,PT089
PT089_P7_D08_S44,PT089
PT089_P7_D10_S46,PT089
PT089_P7_E02_S50,PT089
PT089_P7_E05_S53,PT089
PT089_P7_E06_S54,PT089
PT089_P7_E07_S55,PT089
PT089_P7_E11_S59,PT089
PT089_P7_F02_S62,PT089
PT089_P7_F03_S63,PT089
PT089_P7_F04_S64,PT089
PT089_P7_F06_S66,PT089
PT089_P7_F08_S68,PT089
PT089_P7_F11_S71,PT089
PT089_P7_G01_S73,PT089
PT089_P7_G02_S74,PT089
PT089_P7_G03_S75,PT089
PT089_P7_G05_S77,PT089
PT089_P7_G09_S81,PT089
PT089_P9_A01_S97,PT089
PT089_P9_A02_S98,PT089
PT089_P9_A03_S99,PT089
PT089_P9_A08_S104,PT089
PT089_P9_A09_S105,PT089
PT089_P9_A10_S106,PT089
PT089_P9_B01_S109,PT089
PT089_P9_B04_S112,PT089
PT089_P9_B05_S113,PT089
PT089_P9_B06_S114,PT089
PT089_P9_B09_S117,PT089
PT089_P9_B10_S118,PT089
PT089_P9_B11_S119,PT089
PT089_P9_C02_S122,PT089
PT089_P9_C03_S123,PT089
PT089_P9_C05_S125,PT089
PT089_P9_C06_S126,PT089
PT089_P9_C07_S127,PT089
PT089_P9_C09_S129,PT089
PT089_P9_C10_S130,PT089
PT089_P9_C12_S132,PT089
PT089_P9_D02_S134,PT089
PT089_P9_D05_S137,PT089
PT089_P9_D06_S138,PT089
PT089_P9_D07_S139,PT089
PT089_P9_D10_S142,PT089
PT089_P9_E01_S145,PT089
PT089_P9_E03_S147,PT089
PT089_P9_E04_S148,PT089
PT089_P9_E06_S150,PT089
PT089_P9_E10_S154,PT089
PT089_P9_E11_S155,PT089
PT089_P9_E12_S156,PT089
PT089_P9_F02_S158,PT089
PT089_P9_F03_S159,PT089
PT089_P9_F04_S160,PT089
PT089_P9_F06_S162,PT089
PT089_P9_F09_S165,PT089
PT089_P9_G01_S169,PT089
PT089_P9_G03_S171,PT089
PT089_P9_G04_S172,PT089
PT089_P9_G05_S173,PT089
PT089_P9_G06_S174,PT089
PT089_P9_G08_S176,PT089
PT089_P9_G09_S177,PT089
PT089_P9_G10_S178,PT089
PT089_P9_H02_S182,PT089
PT089_P9_H03_S183,PT089
PT089_P9_H04_S184,PT089
PT089_P9_H05_S185,PT089
PT089_P9_H06_S186,PT089
PT089_P9_H09_S189,PT089
PT089_P9_H10_S190,PT089
PT039_P11_A02_S2,PT039
PT039_P11_A03_S3,PT039
PT039_P11_A12_S12,PT039
PT039_P11_B02_S14,PT039
PT039_P11_B04_S16,PT039
PT039_P11_B05_S17,PT039
PT039_P11_B08_S20,PT039
PT039_P11_C03_S27,PT039
PT039_P11_C05_S29,PT039
PT039_P11_C06_S30,PT039
PT039_P11_C07_S31,PT039
PT039_P11_C09_S33,PT039
