,PC1,PC2,PC3
PT089_P1_A01,0.2569156199804003,2.499448843385158,4.646124803478293
PT089_P1_A03,2.8292958134989696,-2.793784828505084,10.840447040494311
PT089_P1_A07,0.196907601371347,-0.3187456907054271,8.502528928576751
PT089_P1_A09,2.4502274269235116,-3.4528470266143034,10.95195721900865
PT089_P1_A10,1.5271960662309307,-1.5040027502697844,9.46785419583533
PT089_P1_B01,-0.17308265349197138,-0.2236086011915946,10.688126071428297
PT089_P1_B04,0.33002159990455743,1.203425222005011,7.024553373197202
PT089_P1_B08,-4.23805709422762,5.526172554554622,-2.97908704566254
PT089_P1_B12,-0.835601276454417,3.5114921356617828,5.438110671620296
PT089_P1_D02,1.0015178878962274,-4.1078464127796845,12.642611977231184
PT089_P1_D09,-1.7667033040564608,-0.4458676716672157,2.1711853266166417
PT089_P7_A03_S3,-2.81352220384312,3.2649584850642737,-4.000432218787959
PT089_P7_A04_S4,3.075881518296555,5.0942563441605655,-5.084055252646592
PT089_P7_A06_S6,1.4000160233568306,-0.755759681202082,10.084430291569916
PT089_P7_A08_S8,5.262982810180797,5.546298137915172,-1.4301864128481037
PT089_P7_A09_S9,5.973349916052789,1.2236362085902854,3.3517849796300214
PT089_P7_A12_S12,5.915363922867156,0.21515403206312403,3.035327576260112
PT089_P7_B03_S15,5.051977909323197,4.865128981936393,-1.289610873682438
PT089_P7_B06_S18,1.6730759211375335,9.45310271349812,-9.01363799847822
PT089_P7_B07_S19,5.012053114230347,0.2873354080557876,5.846922242758622
PT089_P7_C02_S26,5.700434971856442,0.6742530146426471,5.651207450984278
PT089_P7_C03_S27,-0.4326252335239443,2.605274566546501,2.37032900285255
PT089_P7_D02_S38,-2.4754234425602326,3.0979259259398684,-3.4368820233715685
PT089_P7_D03_S39,1.8679099909598647,6.571741880761431,-3.7296388761138783
PT089_P7_D05_S41,2.8225618915156483,5.758158360515543,-2.4165338451786615
PT089_P7_D07_S43,4.955308390401659,-0.10539041904103336,6.4075732044324605
PT089_P7_D08_S44,1.9132311791226648,1.7500743107554197,5.247551844785075
PT089_P7_D10_S46,-3.0364866117654845,3.6259142809291935,-1.991850543973845
PT089_P7_E02_S50,1.5249749769752634,0.060230510341105825,8.318644662696286
PT089_P7_E05_S53,2.5881309206603538,5.085748158293797,-3.6133138909238762
PT089_P7_E06_S54,2.084429375746747,-3.936765703972989,6.799327233896739
PT089_P7_E07_S55,7.572626223950108,-3.401002261062952,10.802034938166244
PT089_P7_E11_S59,7.47720559044676,-5.480433880374123,11.66549773571789
PT089_P7_F02_S62,2.719354181495021,7.246207487895821,-3.6538099473327854
PT089_P7_F03_S63,0.8869146356058901,9.232966047277856,-8.548763885993232
PT089_P7_F04_S64,2.5930041643171835,8.85515631697674,-4.1723360253687165
PT089_P7_F06_S66,-1.1935357478800812,3.1076252060118086,1.8141885366227295
PT089_P7_F08_S68,1.413722264427835,-1.0552545645195133,9.793078124558658
PT089_P7_F11_S71,5.549092151254019,2.2175194079431275,3.4694178187353466
PT089_P7_G01_S73,3.6353363667542666,6.201308801988819,-3.8491507393206574
PT089_P7_G02_S74,3.944958619397686,5.45499462330596,0.9011439667858099
PT089_P7_G03_S75,2.388681801785327,4.54971830613333,-0.20199455008337036
PT089_P7_G05_S77,1.7791145101939156,-2.283805002937211,5.384842077802521
PT089_P7_G09_S81,-1.927135820275169,4.117171319739654,-0.6751339553005745
PT089_P9_A01_S97,5.475042307416452,4.062143297258259,0.4359322140911675
PT089_P9_A02_S98,-2.0456172439388816,4.150355162210225,-3.5972345313442684
PT089_P9_A03_S99,-0.08814932542113699,0.045483451747904496,3.478174289578425
PT089_P9_A08_S104,-0.4622675895478834,3.5495564911360575,-0.17260278077764324
PT089_P9_A09_S105,-2.6876508342327257,3.0250095629428313,-1.9548000097185443
PT089_P9_A10_S106,2.8848021690418504,6.756025977740017,-1.4022626648502636
PT089_P9_B01_S109,1.6918659590860918,-3.1503504514171476,5.512751657212224
