,arc1,arc2,arc3,arc4,arc5
m.DMS153,6,5,0,6,8
m.NCIH60,5,8,8,3,0
m.NCIH69,7,3,4,6,1
m.NCIH82,0,8,8,1,2
m.NCIH128,7,0,3,8,6
m.NCIH146,4,3,2,7,3
m.NCIH187,1,2,2,5,3
m.NCIH209,2,3,1,5,6
m.NCIH211,0,8,6,1,7
m.NCIH250,4,4,1,4,5
m.NCIH345,6,1,3,4,3
m.NCIH378,8,4,6,7,1
m.NCIH446,6,6,8,2,0
m.NCIH510,1,5,1,2,5
m.NCIH524,4,7,8,4,0
m.NCIH526,0,6,6,3,4
m.NCIH711,8,0,5,9,4
m.NCIH735,2,6,0,2,8
m.NCIH738,4,0,5,8,5
m.NCIH740,7,0,3,8,4
m.NCIH748,2,3,2,5,5
m.NCIH774,6,6,0,4,8
m.NCIH841,1,9,9,0,7
m.NCIH865,7,4,1,7,6
m.NCIH889,6,5,1,9,4
m.NCIH1048,0,7,7,1,7
m.NCIH1092,8,1,4,8,2
m.NCIH1184,5,2,6,1,2
m.NCIH1238,6,6,0,4,8
m.NCIH1339,2,3,3,1,6
m.NCIH1417,6,1,3,8,3
m.NCIH1436,3,1,4,5,4
m.NCIH1450,0,8,5,1,8
m.NCIH1514,5,0,5,4,3
m.NCIH1522,4,0,5,8,3
m.NCIH1607,0,7,7,0,8
m.NCIH1628,8,4,1,5,7
m.NCIH1672,8,0,4,9,6
m.NCIH1688,2,9,1,3,9
m.NCIH1694,7,6,8,4,0
m.NCIH1836,3,2,2,7,5
m.NCIH1870,3,2,5,4,1
m.NCIH1876,2,2,7,6,6
m.NCIH1882,1,3,6,2,7
m.NCIH1926,5,0,6,9,4
m.NCIH1930,4,2,3,2,3
m.NCIH1963,4,1,7,9,2
m.NCIH1994,3,5,0,5,7
m.NCIH2029,6,4,0,7,7
m.NCIH2081,2,4,1,6,4
m.NCIH2107,7,1,4,9,3
m.NCIH2108,9,0,5,9,5
m.NCIH2141,3,1,4,4,4
m.NCIH2171,2,5,7,5,0
m.NCIH2195,9,7,4,0,9
m.NCIH2196,9,6,2,1,8
m.NCIH2198,9,7,3,1,8
m.NCIH2227,8,3,7,2,1
m.NCIH2679,0,8,6,4,4
m.NCIH3282,9,1,4,6,4
m.HCC33,1,3,7,7,2
m.HCC970,9,5,9,5,0
m.HCC2433,8,5,8,6,0
m.HCC4000,4,5,1,9,5
m.HCC4001,7,6,8,8,0
m.HCC4003,5,2,2,4,5
m.HCC4004,8,1,5,3,2
m.HCC4005,1,4,6,5,1
m.SHP77,5,8,2,2,6
m.HCC4002,8,1,6,3,2
c.COLO668,4,8,0,7,9
c.CORL24,6,3,5,3,1
c.CORL279,7,5,3,6,1
c.CORL311,0,7,6,6,3
c.CORL47,7,3,3,9,2
c.CORL88,3,5,0,7,8
c.CORL95,9,6,0,6,8
c.DMS114,2,9,9,0,6
c.DMS153,8,6,0,6,9
c.DMS273,1,8,8,1,1
c.DMS454,3,9,1,7,9
c.DMS53,1,9,2,2,9
c.DMS79,8,1,4,3,5
c.HCC33,3,2,7,9,1
c.NCIH1048,0,7,8,0,8
c.NCIH1092,9,2,4,9,3
c.NCIH1105,8,0,5,7,6
c.NCIH1184,6,2,7,3,2
c.NCIH1339,5,9,9,0,9
c.NCIH1341,1,7,7,0,2
c.NCIH1436,6,0,3,6,5
c.NCIH146,2,4,2,8,4
c.NCIH1618,4,1,4,4,6
c.NCIH1694,9,6,9,5,0
c.NCIH1836,3,3,1,7,7
c.NCIH1876,3,3,6,3,7
c.NCIH1930,1,2,5,2,2
c.NCIH1963,7,0,7,9,3
c.NCIH196,9,9,9,0,9
c.NCIH2029,7,7,0,8,9
c.NCIH2066,0,8,4,1,6
c.NCIH2081,4,4,2,8,3
c.NCIH209,2,2,3,7,6
c.NCIH211,0,9,8,3,8
c.NCIH2171,5,5,8,5,0
c.NCIH2196,9,7,2,1,9
c.NCIH2227,9,4,7,2,1
c.NCIH2286,5,9,9,0,9
c.NCIH446,7,8,8,1,0
c.NCIH510,1,6,0,3,7
c.NCIH524,4,7,9,5,0
c.NCIH526,0,7,6,3,5
c.NCIH69,6,4,3,8,2
c.NCIH82,1,8,9,2,1
c.NCIH841,3,9,9,0,7
c.NCIH889,5,4,1,8,4
c.SBC5,2,9,9,0,7
c.SCLC21H,5,5,5,6,1
c.SHP77,3,8,2,2,5
c.SW1271,5,9,9,0,9
