subtype,archetype,bin,k_in_bin,bin_size,K_subtype,expected,fold_enrichment,p_value,q_value,significant,peak_bin,sig_peak_at_bin0
A,0,0,0,12,48,4.800000000000001,0.0,1.0,1.0,False,4,False
A,0,1,3,12,48,4.800000000000001,0.625,0.9274124785122616,1.0,False,4,False
A,0,2,6,12,48,4.800000000000001,1.25,0.3276266860749129,1.0,False,4,False
A,0,3,6,12,48,4.800000000000001,1.25,0.3276266860749129,1.0,False,4,False
A,0,4,7,12,48,4.800000000000001,1.4583333333333333,0.145770177076183,0.7753732823201225,False,4,False
A,0,5,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,4,False
A,0,6,6,12,48,4.800000000000001,1.25,0.3276266860749129,1.0,False,4,False
A,0,7,7,12,48,4.800000000000001,1.4583333333333333,0.145770177076183,0.7753732823201225,False,4,False
A,0,8,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,4,False
A,0,9,3,12,48,4.800000000000001,0.625,0.9274124785122616,1.0,False,4,False
A,1,0,12,12,48,4.800000000000001,2.5,6.6081250607170474e-06,0.00020650390814740772,True,0,True
A,1,1,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.020793347526876955,True,0,False
A,1,2,11,12,48,4.800000000000001,2.2916666666666665,0.00016091677512719083,0.003352432815149809,True,0,False
A,1,3,8,12,48,4.800000000000001,1.6666666666666665,0.048056231942537046,0.3754393120510707,False,0,False
A,1,4,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,0,False
A,1,5,2,12,48,4.800000000000001,0.41666666666666663,0.9847827826655515,1.0,False,0,False
A,1,6,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,1,7,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,1,8,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,1,9,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,2,0,0,12,48,4.800000000000001,0.0,1.0,1.0,False,3,False
A,2,1,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,3,False
A,2,2,6,12,48,4.800000000000001,1.25,0.3276266860749129,1.0,False,3,False
A,2,3,11,12,48,4.800000000000001,2.2916666666666665,0.00016091677512719083,0.003352432815149809,True,3,False
A,2,4,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.020793347526876955,True,3,False
A,2,5,8,12,48,4.800000000000001,1.6666666666666665,0.048056231942537046,0.3754393120510707,False,3,False
A,2,6,4,12,48,4.800000000000001,0.8333333333333333,0.7877810504143073,1.0,False,3,False
A,2,7,4,12,48,4.800000000000001,0.8333333333333333,0.7877810504143073,1.0,False,3,False
