subtype,archetype,bin,k_in_bin,bin_size,K_subtype,expected,fold_enrichment,p_value,q_value,significant,peak_bin,sig_peak_at_bin0
A,0,0,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,3,False
A,0,1,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,3,False
A,0,2,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,3,False
A,0,3,2,12,7,0.7,2.8571428571428568,0.14526901423088107,0.7895055121243536,False,3,False
A,0,4,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,3,False
A,0,5,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,3,False
A,0,6,0,12,7,0.7,0.0,1.0,1.0,False,3,False
A,0,7,0,12,7,0.7,0.0,1.0,1.0,False,3,False
A,0,8,0,12,7,0.7,0.0,1.0,1.0,False,3,False
A,0,9,0,12,7,0.7,0.0,1.0,1.0,False,3,False
A,1,0,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,1,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,2,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,3,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,4,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,5,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,6,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,7,0,12,7,0.7,0.0,1.0,1.0,False,8,False
A,1,8,4,12,7,0.7,5.7142857142857135,0.001777413027958716,0.08887065139793579,True,8,False
A,1,9,3,12,7,0.7,4.285714285714286,0.021596694962064015,0.4672207866197326,False,8,False
A,2,0,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,2,False
A,2,1,2,12,7,0.7,2.8571428571428568,0.14526901423088107,0.7895055121243536,False,2,False
A,2,2,3,12,7,0.7,4.285714285714286,0.021596694962064015,0.4672207866197326,False,2,False
A,2,3,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,2,4,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,2,False
A,2,5,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,2,6,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,2,7,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,2,8,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,2,9,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,0,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,1,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,2,False
A,3,2,3,12,7,0.7,4.285714285714286,0.021596694962064015,0.4672207866197326,False,2,False
A,3,3,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,2,False
A,3,4,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,5,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,6,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,7,2,12,7,0.7,2.8571428571428568,0.14526901423088107,0.7895055121243536,False,2,False
A,3,8,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,3,9,0,12,7,0.7,0.0,1.0,1.0,False,2,False
A,4,0,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,1,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,2,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,3,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,4,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,5,1,12,7,0.7,1.4285714285714284,0.5312765561911283,1.0,False,9,False
A,4,6,2,12,7,0.7,2.8571428571428568,0.14526901423088107,0.7895055121243536,False,9,False
A,4,7,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,8,0,12,7,0.7,0.0,1.0,1.0,False,9,False
A,4,9,4,12,7,0.7,5.7142857142857135,0.001777413027958716,0.08887065139793579,True,9,False
A2,0,0,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,1,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,2,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,3,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,4,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,5,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,6,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,7,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,8,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,0,9,1,12,1,0.1,10.0,0.09999999999999999,0.7813582045290713,False,9,False
A2,1,0,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,1,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,2,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,3,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,4,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,5,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,6,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,7,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,8,0,12,1,0.1,0.0,1.0,1.0,False,9,False
A2,1,9,1,12,1,0.1,10.0,0.09999999999999999,0.7813582045290713,False,9,False
