,cluster,subtype_tf,subtype_overlap,author_NEW_10_2020
m.DMS153,3,P,A,A2
m.NCIH60,3,P,A,N
m.NCIH69,3,P,A,A
m.NCIH82,1,N,N,N
m.NCIH128,3,P,A,A
m.NCIH146,3,P,A,A
m.NCIH187,3,P,A,A
m.NCIH209,3,P,A,A
m.NCIH211,3,P,A,P
m.NCIH250,3,P,A,A2
m.NCIH345,3,P,A,A
m.NCIH378,3,P,A,N
m.NCIH446,3,P,A,N
m.NCIH510,3,P,A,A2
m.NCIH524,3,P,A,N
m.NCIH526,3,P,A,P
m.NCIH711,3,P,A,A
m.NCIH735,3,P,A,A2
m.NCIH738,3,P,A,A
m.NCIH740,3,P,A,A
m.NCIH748,3,P,A,A2
m.NCIH774,3,P,A,A2
m.NCIH841,4,Y,Y,Y
m.NCIH865,3,P,A,A2
m.NCIH889,3,P,A,A
m.NCIH1048,3,P,A,P
m.NCIH1092,3,P,A,A
m.NCIH1184,3,P,A,A
m.NCIH1238,3,P,A,A2
m.NCIH1339,3,P,A,A
m.NCIH1417,3,P,A,A
m.NCIH1436,3,P,A,A
m.NCIH1450,3,P,A,P
m.NCIH1514,3,P,A,A
m.NCIH1522,3,P,A,A
m.NCIH1607,3,P,A,P
m.NCIH1628,3,P,A,A2
m.NCIH1672,3,P,A,A
m.NCIH1688,2,A,A2,A2
m.NCIH1694,3,P,A,N
m.NCIH1836,3,P,A,A
m.NCIH1870,3,P,A,A
m.NCIH1876,3,P,A,A
m.NCIH1882,3,P,A,A
m.NCIH1926,3,P,A,A
m.NCIH1930,3,P,A,A
m.NCIH1963,3,P,A,A
m.NCIH1994,3,P,A,A2
m.NCIH2029,3,P,A,A2
m.NCIH2081,3,P,A,A
m.NCIH2107,3,P,A,A
m.NCIH2108,3,P,A,A
m.NCIH2141,3,P,A,A
m.NCIH2171,3,P,A,N
m.NCIH2195,3,P,A,A2
m.NCIH2196,3,P,A,A2
m.NCIH2198,3,P,A,A2
m.NCIH2227,3,P,A,N
m.NCIH2679,3,P,A,P
m.NCIH3282,3,P,A,A
m.HCC33,3,P,A,N
m.HCC970,3,P,A,N
m.HCC2433,3,P,A,N
m.HCC4000,3,P,A,A2
m.HCC4001,3,P,A,N
m.HCC4003,3,P,A,A
m.HCC4004,3,P,A,N
m.HCC4005,3,P,A,N
m.SHP77,2,A,A2,A2
m.HCC4002,3,P,A,N
c.COLO668,2,A,A2,A2
c.CORL24,3,P,A,N
c.CORL279,3,P,A,A
c.CORL311,3,P,A,P
c.CORL47,3,P,A,A
c.CORL88,3,P,A,A2
c.CORL95,3,P,A,A2
c.DMS114,4,Y,Y,Y
c.DMS153,3,P,A,A2
c.DMS273,3,P,A,N
c.DMS454,2,A,A2,A2
c.DMS53,2,A,A2,A2
c.DMS79,3,P,A,A
c.HCC33,3,P,A,N
c.NCIH1048,3,P,A,P
c.NCIH1092,3,P,A,A
c.NCIH1105,3,P,A,A
c.NCIH1184,3,P,A,A
c.NCIH1339,4,Y,Y,Y
c.NCIH1341,1,N,N,Y
c.NCIH1436,3,P,A,A
c.NCIH146,3,P,A,A
c.NCIH1618,3,P,A,A
c.NCIH1694,3,P,A,N
c.NCIH1836,3,P,A,A
c.NCIH1876,3,P,A,A
c.NCIH1930,3,P,A,A
c.NCIH1963,3,P,A,A
c.NCIH196,5,A2,P,Y
c.NCIH2029,3,P,A,A2
c.NCIH2066,2,A,A2,A2
c.NCIH2081,3,P,A,A
c.NCIH209,3,P,A,A
c.NCIH211,3,P,A,P
c.NCIH2171,3,P,A,N
c.NCIH2196,3,P,A,A2
c.NCIH2227,3,P,A,N
c.NCIH2286,4,Y,Y,Y
c.NCIH446,3,P,A,N
c.NCIH510,3,P,A,A2
c.NCIH524,3,P,A,N
c.NCIH526,3,P,A,P
c.NCIH69,3,P,A,A
c.NCIH82,1,N,N,N
c.NCIH841,4,Y,Y,Y
c.NCIH889,3,P,A,A
c.SBC5,4,Y,Y,Y
c.SCLC21H,3,P,A,N
c.SHP77,2,A,A2,A2
c.SW1271,4,Y,Y,Y
