,arc1,arc2,arc3,arc4,arc5
A1BG,1.927856721435892,4.156200911145961,3.317387620747244,3.6394893157259856,4.447548322192357
A2M,0.403488330578898,0.05864384332468148,0.41821053486821536,0.9150441390763686,0.2623010323478198
A2ML1,0.07340775681232115,0.09636770184227174,0.0334837396765531,0.14554154163376312,0.025547816129902916
A4GALT,0.33427146052577594,0.9994772278967581,1.773876103115773,3.3113207798952096,1.1578032591567076
AAAS,5.871837095242377,5.151405642035475,5.252621115758084,5.660831785830567,5.742667946264209
AACS,4.78600502674655,4.691957015983399,5.916473241855786,4.0081152874797645,4.268754370654982
AADAC,0.08021496568890908,-0.0011197510631830165,0.06011192187960086,0.5215089955595433,-0.013158321458063865
AADACL2,0.6054933820056556,0.0722269511735294,0.03854170978831262,-0.12732445799496944,0.06928648000547454
AADAT,3.895628599723126,3.466335970716227,2.4976992473439936,2.2184835773837044,3.0964253398259274
AAGAB,5.512292971888188,5.455898319722551,5.3600325416491525,5.293739475953511,5.040994898669444
AAK1,2.5542992584297197,3.437947817346904,2.8968636171686377,3.8968098592909977,2.8865248505756895
AAMP,6.794631925558981,5.999748852204087,6.29685051649846,6.5174703407076615,6.135093066621036
AANAT,0.38180875061116665,0.1475404305336827,-0.17254410880021576,0.10890145886900021,1.6148854294143051
AARS,6.85470025369919,6.118368323365922,6.397075277840067,6.139017123220886,6.589756492104599
AARS2,3.839416156513753,3.2330066976877445,3.197960899248078,3.075252742820618,3.3863663670384514
AASDH,2.8992340281981877,2.7633065540057573,2.744041283349246,2.537678280735441,2.9366578308018543
AASDHPPT,6.1436678201954065,5.048175133016638,5.150796116485328,4.896647934601909,5.630723475742083
AASS,4.053679945241033,2.2662857771729925,1.276951320275459,2.039814869823654,1.7315189229922432
AATF,6.180021122122396,5.393028416097465,5.109458213121267,5.667817298596419,6.147748540308523
AATK,1.0480427761865758,1.7016351153628504,1.053150573018955,0.8819960008582727,2.574734894449395
ABAT,0.33901895499417023,4.196121327776078,4.031075400071557,1.3303132478788395,2.6589241668104395
ABCA1,0.4302885747625305,0.6612894069723803,0.6065089128239918,1.9563544832963808,0.8740520279106958
ABCA10,0.3321691665917048,0.39326291994627993,0.415839204813239,0.17934121616385856,0.5888292656982445
ABCA12,0.7429721601550726,0.2949176652233778,0.7652496907660635,0.3946971333719159,-0.030256826249930424
ABCA13,0.004774203681499611,-0.03937502072869911,0.669883985609027,0.16640685354353646,0.14163069085900526
ABCA2,3.0651523284290505,3.2853809812325308,4.445129617506559,3.916935481551609,4.470310749845833
ABCA3,3.0782186278480244,3.354014076615529,5.2010671528982675,2.806766966479719,4.863192105910126
ABCA4,0.21691500268367972,0.10992653480801504,0.11159619610974458,0.44418748738303154,0.6928283720577094
ABCA5,3.484565890335139,3.581868430999037,3.8520239410132016,1.5562874299710638,4.008209624949892
ABCA6,0.05161071527726611,0.08385316588328225,0.12809483051487203,0.04327227524503585,0.12707037452914788
ABCA7,2.700130463397132,2.3273423519282184,3.604670242841549,3.0786639668972176,2.397024122592635
ABCA8,-0.300206422436076,0.1420630709401862,0.23990012117001203,0.7098978449932638,0.317596766158845
ABCA9,0.05005433081549252,0.07637306399438193,0.10279771313726892,0.043430590379667657,0.14260597016092366
ABCB1,1.2332706599041598,-0.4636542391368098,1.8978132044991196,0.2149896998540975,0.3467930598976695
ABCB10,3.9942446967374083,3.5736831217090703,3.490093830745222,3.6118140414630746,3.5062419772239712
ABCB4,0.3855748021570486,0.34517664724073677,0.43178591651529263,0.24116522655483247,0.2520589796597982
ABCB6,4.618409183703675,3.7798127587607144,4.674481508565933,4.755170094416745,4.57405474698688
ABCB7,4.778327517780354,4.376986770104365,4.260952362298545,4.17903080627098,5.00988650225502
ABCB8,3.8604756515993564,3.5722209662237203,4.3411130002303295,4.562536304996241,3.730900491239513
ABCB9,3.441185258829007,2.0617990682896106,2.493220022720748,2.294593675639671,2.8702313158286885
ABCC1,3.6084549160470085,3.3194448363132327,3.439381895373043,4.85649460102761,4.2203466902395235
ABCC10,2.9508013935925916,2.605140157548791,3.196312789218334,3.6441006509518266,2.7011498254755404
ABCC3,1.35263976305352,-0.29447612461072525,1.430010746232147,2.6788565031671716,0.2576253741002036
ABCC4,3.902282765602844,1.7344672722024486,1.6303624115093063,3.145268761031857,3.5783834175783733
ABCC5,4.694538274511423,4.476571825220895,4.741834392310757,4.1958464242391855,4.8485608163615135
ABCC6,0.8366953359038248,0.4198808392025075,1.564173733426309,1.5148983801588538,0.44032864121457876
ABCC8,1.338857122004058,2.1809559522304527,3.1707902321484056,0.329119336405602,2.2075732596047324
ABCC9,0.11582722838517048,0.13781545246763482,-0.15898952502370223,0.24584467499403392,1.0445122311792365
ABCD1,1.798577017541475,1.8967226255038308,2.8289212750583164,3.3604399800749567,1.8813260092710777
ABCD2,0.02820163440870571,0.05269211310219479,-0.19892052616964173,0.41171573205435646,1.0298794540590541
ABCD3,5.104459321910335,4.774054125131701,5.160141449740035,5.645337469349406,4.5629356280275095
ABCD4,4.828590514403572,4.999152898872747,4.642564092481966,4.730943990093607,4.907729097229552
ABCE1,6.708872398786591,5.1127073341401585,5.2052675244147775,5.715466013113905,5.849676122441101
ABCF1,6.601763101779803,5.890858835904646,6.031420715220018,6.430937253229586,6.078937147920848
ABCF2,5.853002352287611,4.7927723814770005,4.6937710412500815,5.262706363391318,5.343770616992049
ABCF3,4.845671665167756,4.568420993699104,4.870157176798467,5.417641024791523,4.846173051290252
ABCG1,2.0059755379431135,3.7834465969084343,3.957748461291322,1.2820194942457872,3.0461221067257376
ABCG2,0.333092361834941,0.08030571427166786,0.21299647422751286,0.4187520698939913,0.23735266581486206
ABCG4,0.3253346378350761,0.3945512317049518,0.007243930798000453,0.6782308771304291,0.7568346328079838
ABHD1,0.8895239578900657,0.44149111970779503,0.47846669327703995,0.7112837961928936,1.2704102809863829
ABHD10,4.727176162683071,5.30491750463091,5.268489688379663,4.362159470696405,5.204794459317855
ABHD11,3.9578993640825613,4.540624292084115,5.321331146972068,4.325641085066679,3.944914141717854
ABHD12,5.379202853786253,5.565770149009633,6.5047579896239665,5.246179284982856,5.045377842614858
ABHD12B,0.26007191687067205,-0.014122429716481505,0.18951683264691016,0.23364621335042218,0.18179521049162217
