,arc1,arc2,arc3,arc4,arc5
m.DMS153,7,0,4,8,6
m.NCIH60,0,8,7,1,3
m.NCIH69,1,5,3,7,5
m.NCIH82,3,8,8,1,2
m.NCIH128,4,2,0,6,4
m.NCIH146,5,3,3,7,4
m.NCIH187,2,2,2,4,0
m.NCIH209,5,1,2,3,1
m.NCIH211,6,5,7,1,0
m.NCIH250,4,1,3,4,2
m.NCIH345,2,2,1,3,2
m.NCIH378,0,6,3,5,6
m.NCIH446,1,9,7,2,8
m.NCIH510,4,1,5,2,0
m.NCIH524,0,8,6,3,4
m.NCIH526,5,6,6,3,0
m.NCIH711,3,5,0,8,6
m.NCIH735,7,0,5,1,1
m.NCIH738,4,5,1,7,5
m.NCIH740,4,4,1,7,5
m.NCIH748,5,1,2,4,3
m.NCIH774,8,0,5,5,6
m.NCIH841,7,8,9,0,4
m.NCIH865,4,1,2,6,5
m.NCIH889,6,2,4,9,7
m.NCIH1048,6,6,6,0,0
m.NCIH1092,1,4,1,8,6
m.NCIH1184,2,6,3,1,6
m.NCIH1238,7,0,5,4,3
m.NCIH1339,5,2,2,1,1
m.NCIH1417,3,3,0,7,3
m.NCIH1436,3,3,0,3,2
m.NCIH1450,8,5,7,1,0
m.NCIH1514,2,4,0,3,1
m.NCIH1522,3,5,0,6,2
m.NCIH1607,8,7,8,1,0
m.NCIH1628,6,0,3,5,6
m.NCIH1672,5,3,0,9,6
m.NCIH1688,9,1,9,3,6
m.NCIH1694,0,8,6,3,7
m.NCIH1836,5,2,2,6,3
m.NCIH1870,1,4,1,2,1
m.NCIH1876,5,6,1,5,2
m.NCIH1882,7,6,2,2,2
m.NCIH1926,3,6,0,7,3
m.NCIH1930,5,4,3,2,3
m.NCIH1963,2,6,1,7,5
m.NCIH1994,6,0,5,4,3
m.NCIH2029,6,0,4,8,5
m.NCIH2081,6,2,4,6,4
m.NCIH2107,2,3,1,9,4
m.NCIH2108,3,4,0,9,7
m.NCIH2141,2,3,1,3,1
m.NCIH2171,0,7,6,4,1
m.NCIH2195,9,4,8,1,8
m.NCIH2196,8,3,7,5,9
m.NCIH2198,8,3,7,2,9
m.NCIH2227,2,8,5,4,8
m.NCIH2679,6,7,8,6,0
m.NCIH3282,3,3,2,8,7
m.HCC33,2,7,4,6,5
m.HCC970,0,8,5,5,7
m.HCC2433,0,7,4,5,7
m.HCC4000,6,1,4,8,4
m.HCC4001,0,8,5,4,3
m.HCC4003,3,1,2,3,1
m.HCC4004,1,5,3,5,7
m.HCC4005,1,5,4,4,1
m.SHP77,7,2,8,2,8
m.HCC4002,1,6,3,5,7
c.COLO668,8,0,7,7,4
c.CORL24,2,7,6,9,9
c.CORL279,1,3,5,7,6
c.CORL311,6,7,7,8,0
c.CORL47,4,4,3,9,6
c.CORL88,8,0,4,6,2
c.CORL95,8,0,6,7,7
c.DMS114,7,9,9,0,7
c.DMS153,8,0,5,9,8
c.DMS273,0,8,8,1,2
c.DMS454,9,1,9,7,8
c.DMS53,9,1,9,3,5
c.DMS79,4,5,3,8,5
c.HCC33,3,8,5,9,8
c.NCIH1048,8,7,8,0,0
c.NCIH1092,2,4,1,9,7
c.NCIH1105,4,5,0,8,4
c.NCIH1184,1,7,2,2,5
c.NCIH1339,9,9,9,0,9
c.NCIH1341,2,7,8,0,1
c.NCIH1436,4,2,0,5,4
c.NCIH146,7,4,4,8,5
c.NCIH1618,5,3,1,3,1
c.NCIH1694,0,9,6,6,9
c.NCIH1836,7,1,3,6,5
c.NCIH1876,7,6,2,2,4
c.NCIH1930,4,5,2,2,2
c.NCIH1963,3,6,0,9,7
c.NCIH196,9,9,9,0,9
c.NCIH2029,9,0,7,9,8
c.NCIH2066,6,2,7,0,1
c.NCIH2081,4,2,4,7,3
c.NCIH209,5,2,1,5,2
c.NCIH211,8,8,9,2,0
c.NCIH2171,0,7,6,5,4
c.NCIH2196,9,4,8,8,9
c.NCIH2227,3,8,6,4,9
c.NCIH2286,9,9,9,0,9
c.NCIH446,1,9,8,1,9
c.NCIH510,7,1,6,4,3
c.NCIH524,0,9,7,4,6
c.NCIH526,7,7,7,6,0
c.NCIH69,5,5,5,9,8
c.NCIH82,1,9,8,1,2
c.NCIH841,9,9,9,0,8
c.NCIH889,6,3,4,8,8
c.SBC5,9,9,9,0,8
c.SCLC21H,1,6,6,6,3
c.SHP77,8,4,8,2,9
c.SW1271,9,9,9,0,9
