subtype,archetype,bin,k_in_bin,bin_size,K_subtype,expected,fold_enrichment,p_value,q_value,significant,peak_bin,sig_peak_at_bin0
A,0,0,0,12,48,4.800000000000001,0.0,1.0,1.0,False,5,False
A,0,1,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,5,False
A,0,2,8,12,48,4.800000000000001,1.6666666666666665,0.048056231942537046,0.34325879958955036,False,5,False
A,0,3,9,12,48,4.800000000000001,1.875,0.011233881294747682,0.10401741939581187,False,5,False
A,0,4,9,12,48,4.800000000000001,1.875,0.011233881294747682,0.10401741939581187,False,5,False
A,0,5,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.024258905448023116,True,5,False
A,0,6,3,12,48,4.800000000000001,0.625,0.9274124785122616,1.0,False,5,False
A,0,7,4,12,48,4.800000000000001,0.8333333333333333,0.7877810504143073,1.0,False,5,False
A,0,8,0,12,48,4.800000000000001,0.0,1.0,1.0,False,5,False
A,0,9,0,12,48,4.800000000000001,0.0,1.0,1.0,False,5,False
A,1,0,0,12,48,4.800000000000001,0.0,1.0,1.0,False,2,False
A,1,1,3,12,48,4.800000000000001,0.625,0.9274124785122616,1.0,False,2,False
A,1,2,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.024258905448023116,True,2,False
A,1,3,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.024258905448023116,True,2,False
A,1,4,9,12,48,4.800000000000001,1.875,0.011233881294747682,0.10401741939581187,False,2,False
A,1,5,8,12,48,4.800000000000001,1.6666666666666665,0.048056231942537046,0.34325879958955036,False,2,False
A,1,6,7,12,48,4.800000000000001,1.4583333333333333,0.145770177076183,0.6875951748876558,False,2,False
A,1,7,1,12,48,4.800000000000001,0.20833333333333331,0.9985427782458377,1.0,False,2,False
A,1,8,0,12,48,4.800000000000001,0.0,1.0,1.0,False,2,False
A,1,9,0,12,48,4.800000000000001,0.0,1.0,1.0,False,2,False
A,2,0,12,12,48,4.800000000000001,2.5,6.6081250607170474e-06,0.00018355902946436242,True,0,True
A,2,1,12,12,48,4.800000000000001,2.5,6.6081250607170474e-06,0.00018355902946436242,True,0,False
A,2,2,10,12,48,4.800000000000001,2.0833333333333335,0.0017466411922576644,0.024258905448023116,True,0,False
A,2,3,7,12,48,4.800000000000001,1.4583333333333333,0.145770177076183,0.6875951748876558,False,0,False
A,2,4,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,0,False
A,2,5,2,12,48,4.800000000000001,0.41666666666666663,0.9847827826655515,1.0,False,0,False
A,2,6,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,2,7,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,2,8,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,2,9,0,12,48,4.800000000000001,0.0,1.0,1.0,False,0,False
A,3,0,0,12,48,4.800000000000001,0.0,1.0,1.0,False,7,False
A,3,1,2,12,48,4.800000000000001,0.41666666666666663,0.9847827826655515,1.0,False,7,False
A,3,2,6,12,48,4.800000000000001,1.25,0.3276266860749129,1.0,False,7,False
A,3,3,7,12,48,4.800000000000001,1.4583333333333333,0.145770177076183,0.6875951748876558,False,7,False
A,3,4,1,12,48,4.800000000000001,0.20833333333333331,0.9985427782458377,1.0,False,7,False
A,3,5,3,12,48,4.800000000000001,0.625,0.9274124785122616,1.0,False,7,False
A,3,6,5,12,48,4.800000000000001,1.0416666666666667,0.5668797676812156,1.0,False,7,False
A,3,7,9,12,48,4.800000000000001,1.875,0.011233881294747682,0.10401741939581187,False,7,False
